time,AO,LP,LB
2,0.517,0.661,0
2.25,0.518,0.662,0
2.5,0.517,0.662,0
2.75,0.518,0.663,0
3,0.518,0.663,0
3.25,0.518,0.664,0
3.5,0.518,0.666,0
3.75,0.518,0.666,0
4,0.518,0.667,0
4.25,0.518,0.667,0
4.5,0.518,0.67,0
4.75,0.519,0.671,0
5,0.521,0.672,0
5.25,0.521,0.673,0
5.5,0.521,0.6759999999999999,0
5.75,0.522,0.6779999999999999,0
6,0.522,0.6799999999999999,0
6.25,0.523,0.6839999999999999,0
6.5,0.525,0.6859999999999999,0
6.75,0.525,0.6910000000000001,0
7,0.527,0.694,0
7.25,0.528,0.7,0
7.5,0.529,0.7050000000000001,0
7.75,0.532,0.7110000000000001,0
8,0.534,0.718,0
8.25,0.537,0.724,0
8.5,0.539,0.732,0
8.75,0.542,0.741,0
9,0.546,0.753,0
9.25,0.5489999999999999,0.762,0
9.5,0.552,0.775,0
9.75,0.5549999999999999,0.787,0
10,0.5569999999999999,0.799,0
10.25,0.56,0.815,0
10.5,0.5640000000000001,0.83,0
10.75,0.569,0.846,0
11,0.572,0.864,0
11.25,0.575,0.881,0
11.5,0.579,0.899,0
11.75,0.582,0.916,0
12,0.586,0.934,0
12.25,0.59,0.954,0
12.5,0.594,0.974,0
12.75,0.599,0.993,0
13,0.603,1.014,0
13.25,0.608,1.035,0
13.5,0.614,1.056,0
13.75,0.619,1.078,0
14,0.625,1.101,0
14.25,0.63,1.121,0
14.5,0.635,1.142,0
14.75,0.643,1.1640000000000001,0
15,0.649,1.187,0
15.25,0.655,1.208,0
15.5,0.661,1.2309999999999999,0
15.75,0.6699999999999999,1.2530000000000001,0
16,0.6779999999999999,1.274,0
16.25,0.6859999999999999,1.297,0
16.5,0.6950000000000001,1.313,0
16.75,0.704,1.337,0
17,0.713,1.3519999999999999,0
17.25,0.724,1.377,0
17.5,0.732,1.392,0
17.75,0.742,1.416,0
18,0.753,1.428,0
18.25,0.762,1.45,0
18.5,0.772,1.468,0
18.75,0.781,1.487,0
19,0.789,1.505,0
19.25,0.801,1.522,0
19.5,0.8160000000000001,1.5430000000000001,0
19.75,0.834,1.553,0
20,0.849,1.569,0
20.25,0.864,1.5859999999999999,0
20.5,0.88,1.608,0
20.75,0.897,1.6179999999999999,0
21,0.917,1.638,0
21.25,0.935,1.653,0
21.5,0.959,1.657,0
21.75,0.984,1.682,0
22,1.01,1.702,0
22.25,1.038,1.7189999999999999,0
22.5,1.07,1.733,0
22.75,1.103,1.741,0
23,1.138,1.76,0
23.25,1.177,1.775,0
23.5,1.2189999999999999,1.79,0
23.75,1.254,1.805,0
24,1.287,1.826,0
