time,AO,LB,LP
2,0.16,0.151,0
2.25,0.16,0.151,0
2.5,0.16,0.151,0
2.75,0.16,0.151,0
3,0.16,0.152,0
3.25,0.16,0.152,0
3.5,0.16,0.152,0
3.75,0.16,0.152,0
4,0.16,0.152,0
4.25,0.16,0.153,0
4.5,0.16,0.153,0
4.75,0.16,0.153,0
5,0.161,0.153,0
5.25,0.161,0.154,0
5.5,0.161,0.154,0
5.75,0.161,0.154,0
6,0.161,0.155,0
6.25,0.162,0.156,0
6.5,0.162,0.156,0
6.75,0.162,0.157,0
7,0.163,0.158,0
7.25,0.163,0.159,0
7.5,0.164,0.161,0
7.75,0.165,0.162,0
8,0.165,0.163,0
8.25,0.166,0.165,0
8.5,0.167,0.167,0
8.75,0.168,0.17,0
9,0.169,0.173,0
9.25,0.17,0.175,0
9.5,0.17,0.178,0
9.75,0.171,0.181,0
10,0.172,0.185,0
10.25,0.172,0.189,0
10.5,0.173,0.192,0
10.75,0.174,0.196,0
11,0.175,0.201,0
11.25,0.175,0.205,0
11.5,0.176,0.21,0
11.75,0.176,0.214,0
12,0.177,0.219,0
12.25,0.177,0.224,0
12.5,0.178,0.229,0
12.75,0.179,0.233,0
13,0.179,0.238,0
13.25,0.18,0.244,0
13.5,0.18,0.248,0
13.75,0.181,0.253,0
14,0.182,0.258,0
14.25,0.183,0.264,0
14.5,0.184,0.268,0
14.75,0.185,0.273,0
15,0.186,0.276,0
15.25,0.188,0.282,0
15.5,0.189,0.287,0
15.75,0.19,0.291,0
16,0.191,0.294,0
16.25,0.193,0.299,0
16.5,0.195,0.301,0
16.75,0.196,0.306,0
17,0.198,0.31,0
17.25,0.2,0.313,0
17.5,0.203,0.319,0
17.75,0.206,0.323,0
18,0.208,0.327,0
18.25,0.211,0.331,0
18.5,0.213,0.33,0
18.75,0.216,0.336,0
19,0.219,0.34,0
19.25,0.221,0.343,0
19.5,0.224,0.349,0
19.75,0.226,0.352,0
20,0.229,0.353,0
20.25,0.232,0.356,0
20.5,0.237,0.359,0
20.75,0.241,0.362,0
21,0.246,0.365,0
21.25,0.252,0.368,0
21.5,0.255,0.373,0
21.75,0.261,0.375,0
22,0.269,0.377,0
22.25,0.275,0.378,0
22.5,0.281,0.381,0
22.75,0.286,0.383,0
23,0.295,0.387,0
23.25,0.3,0.391,0
23.5,0.308,0.392,0
23.75,0.319,0.393,0
24,0.33,0.396,0
24.25,0.344,0.399,0
24.5,0.355,0.399,0
24.75,0.372,0.402,0
25,0.386,0.406,0
25.25,0.405,0.407,0
25.5,0.423,0.408,0
25.75,0.436,0.414,0
26,0.454,0.418,0
26.25,0.472,0.419,0
26.5,0.486,0.42,0
26.75,0.5,0.424,0
27,0.513,0.423,0
27.25,0.524,0.424,0
27.5,0.537,0.429,0
27.75,0.55,0.432,0
28,0.565,0.434,0
28.25,0.575,0.436,0
28.5,0.588,0.439,0
28.75,0.601,0.442,0
29,0.612,0.443,0
29.25,0.624,0.446,0
29.5,0.633,0.448,0
29.75,0.643,0.45,0
30,0.655,0.455,0
30.25,0.665,0.456,0
30.5,0.676,0.459,0
30.75,0.683,0.461,0
31,0.695,0.461,0
31.25,0.709,0.463,0
31.5,0.72,0.465,0
31.75,0.729,0.469,0
32,0.739,0.47,0
32.25,0.75,0.472,0
32.5,0.759,0.474,0
32.75,0.764,0.475,0
33,0.764,0.478,0
33.25,0.773,0.48,0
33.5,0.784,0.481,0
33.75,0.789,0.484,0
34,0.8,0.486,0
34.25,0.807,0.488,0
34.5,0.816,0.49,0
34.75,0.822,0.491,0
35,0.832,0.491,0
35.25,0.841,0.495,0
35.5,0.848,0.496,0
35.75,0.859,0.499,0
36,0.87,0.499,0
36.25,0.878,0.501,0
36.5,0.887,0.503,0
36.75,0.897,0.505,0
37,0.908,0.506,0
37.25,0.918,0.507,0
37.5,0.928,0.509,0
37.75,0.938,0.511,0
38,0.947,0.513,0
38.25,0.96,0.515,0
38.5,0.971,0.515,0
38.75,0.982,0.516,0
39,0.993,0.516,0
39.25,1.002,0.517,0
39.5,1.013,0.518,0
39.75,1.023,0.52,0
40,1.03,0.52,0
40.25,1.041,0.521,0
40.5,1.051,0.524,0
40.75,1.058,0.525,0
41,1.068,0.526,0
41.25,1.076,0.527,0
41.5,1.09,0.528,0
41.75,1.1,0.528,0
42,1.109,0.53,0
42.25,1.12,0.531,0
42.5,1.131,0.532,0
42.75,1.141,0.532,0
43,1.15,0.532,0
43.25,1.162,0.532,0
43.5,1.171,0.533,0
43.75,1.182,0.534,0
44,1.189,0.535,0
44.25,1.198,0.536,0
44.5,1.205,0.537,0
44.75,1.215,0.538,0
45,1.224,0.539,0
45.25,1.234,0.54,0
45.5,1.244,0.54,0
45.75,1.254,0.541,0
46,1.264,0.542,0
46.25,1.273,0.543,0
46.5,1.283,0.544,0
46.75,1.293,0.544,0
47,1.304,0.545,0
47.25,1.31,0.546,0
47.5,1.321,0.547,0
47.75,1.331,0.547,0
48,1.339,0.548,0
48.25,1.35,0.548,0
48.5,1.361,0.549,0
48.75,1.369,0.549,0
49,1.378,0.55,0
49.25,1.388,0.551,0
49.5,1.397,0.551,0
49.75,1.405,0.552,0
50,1.415,0.553,0
50.25,1.423,0.553,0
50.5,1.433,0.554,0
50.75,1.44,0.555,0
51,1.448,0.555,0
51.25,1.456,0.556,0
51.5,1.464,0.556,0
51.75,1.472,0.557,0
