Complexity,Loss,Equation
1,225.28365,"10.791518"
3,219.071,"18.297544 - x0"
5,116.48801,"(10.90285 / x0) ^ x0"
7,84.66301,"(11.706724 / x0) ^ (x0 + -0.40336305)"
8,76.49804,"x0 ^ (122.32813 / (square(x0) + 25.651182))"
9,74.08347,"x0 ^ ((32.324276 / (x0 + 3.6392705)) - 1.395534)"
11,71.33205,"(x0 ^ ((21.365456 / (x0 + 2.2169673)) - 0.49837947)) - x0"
13,70.2698,"(x0 ^ (15.787343 / (x0 + 1.4719809))) - ((x0 * 1.6204348) + -1.4017419)"
16,69.85258,"((x0 + -0.18177074) ^ (14.779167 / (x0 + 0.9609183))) - ((1.6159286 / inv(x0)) + -3.2357242)"
20,69.84582,"((((x0 + -0.20201781) ^ (14.596798 / (x0 + 0.8809408))) - (1.5871618 / inv(x0))) + 2.3364108) + (x0 / x0)"
