Complexity,Loss,Equation
1,225.28365,"10.788267"
3,219.07098,"18.298788 - x0"
5,124.094,"(11.358283 - x0) * x0"
6,116.4903,"(10.895599 * inv(x0)) ^ x0"
7,93.908485,"square((sqrt(x0) + -3.4570932) * x0)"
8,80.84291,"square(inv(x0 ^ (sqrt(x0) + -3.4656332)))"
9,75.6409,"inv(x0 ^ ((sqrt(x0) + -3.6306617) / 0.5742084))"
10,74.32214,"inv(square(x0 ^ (sqrt(x0) + -3.6122284)) + 0.010698453)"
11,72.24001,"inv((x0 * 1.2353065) ^ ((sqrt(x0) + -3.720603) / 0.69991684))"
12,71.28623,"square(inv(-0.013679224 - (x0 ^ (sqrt(x0) + -4.807212))) / x0)"
14,70.82857,"inv(square(-0.028873343 - (x0 ^ (sqrt(x0) + -4.2439413)))) / (x0 - 0.262782)"
15,70.80092,"square(inv(-0.028297314 - (x0 ^ (sqrt(x0) + -4.2310953)))) / (x0 + log10(0.45546037))"
16,70.55883,"(square(inv(-0.032900177 - (x0 ^ (sqrt(x0) + -4.302338)))) / (x0 - 0.44145197)) - 1.3361498"
18,70.52784,"((inv(square((x0 ^ (sqrt(x0) + -4.302338)) - -0.032900177)) + 0.44145197) / (x0 - 0.44145197)) - 1.458816"
20,70.46746,"(inv(square((x0 ^ (sqrt(x0) + -4.4307694)) - -0.038700797)) / (x0 - 0.36756447)) - ((x0 * 0.2646626) - -0.86290246)"
