Complexity,Loss,Equation
1,225.28365,"10.788267"
3,219.071,"18.300564 - x0"
5,117.7013,"(11.060965 / x0) ^ x0"
6,103.64942,"sqrt(x0 ^ (9.953053 - x0))"
7,84.42122,"((12.972214 / x0) ^ x0) * 0.40735224"
8,71.39063,"x0 ^ log10((15.329503 / x0) ^ 4.8984113)"
10,70.76129,"x0 ^ log10(((16.218279 / x0) ^ 4.6866193) + -1.8367009)"
11,70.34755,"x0 ^ log10(sqrt(((15.937063 / x0) ^ 9.496606) - 15.009933))"
13,70.335045,"x0 ^ log10(sqrt((((15.89614 / x0) ^ 9.503699) - x0) - 2.9650927))"
15,70.3281,"(x0 ^ log10(sqrt(((15.896722 / x0) ^ 9.507131) - (x0 + 3.1445708)))) + 0.17268613"
16,70.18131,"(x0 ^ log10(sqrt(cube(((15.3511095 / x0) ^ 3.270816) - -2.5158896)))) - (x0 + -1.3189623)"
17,70.00443,"x0 ^ log10(sqrt(((15.896722 / x0) ^ 9.507131) - ((x0 ^ (9.953053 - x0)) + x0)))"
19,69.93084,"x0 ^ log10(sqrt(((15.896722 / x0) ^ 9.507131) - (((0.8454954 + x0) ^ (9.953053 - x0)) + x0)))"
20,69.88392,"x0 ^ log10(sqrt(((15.896722 / x0) ^ 9.507131) - (((log10(x0) + x0) ^ (9.953053 - x0)) + x0)))"
