Complexity,Loss,Equation
1,225.28365,"10.791524"
3,219.071,"18.294 - x0"
5,116.48804,"(10.902111 / x0) ^ x0"
6,116.488,"(-10.902938 / neg(x0)) ^ x0"
7,84.42107,"((12.9757805 / x0) ^ x0) * 0.40706417"
9,72.20547,"x0 ^ ((41.241352 / (x0 + 4.6726904)) + -1.8897508)"
11,70.14369,"(x0 ^ ((20.212551 / (x0 + 2.156974)) + -0.39384925)) - x0"
13,69.89742,"((x0 ^ ((21.592598 / (x0 + 2.3919694)) + -0.5020005)) - x0) + 1.1429882"
15,69.89737,"(((x0 ^ ((21.593433 / (x0 + 2.3918784)) + -0.501995)) - x0) - -1.3951557) + -0.2602986"
16,69.81199,"(((x0 ^ (21.034628 / (x0 + 1.9910386))) / sqrt(x0 + 1.8332777)) - x0) + 1.9581141"
