Complexity,Loss,Equation
1,3.5579684,"1.717285"
3,2.4299188,"3.3243313 - x0"
5,1.8709453,"4.226617 - (x0 ^ 1.7438096)"
6,1.501359,"square((1.9661007 / x0) ^ x0)"
7,0.9465895,"cube((1.7396494 / x0) ^ square(x0))"
8,0.7292069,"square(exp(x0 / (x0 ^ cube(x0))))"
9,0.25434977,"(1.7910984 / x0) ^ ((-2.8653781 / x0) - -6.0046544)"
11,0.2405492,"(2.3158686 / (x0 + 0.5510287)) ^ ((-4.0424175 / x0) - -8.649743)"
12,0.22297585,"square(exp(cube(x0 / (x0 ^ (x0 + 0.17863688))))) - 0.6367157"
13,0.20237032,"square(exp(x0 / (x0 ^ ((x0 + -0.54258835) / 0.2686546)))) + -0.46039373"
14,0.19076768,"exp(square((x0 / cube(x0 ^ (x0 + -0.48578))) - -0.44938746)) - 0.69200784"
15,0.18431075,"square(exp(square(x0 / square(x0 ^ ((x0 + -0.43313634) ^ 0.6460284))))) + -0.56738937"
17,0.17978135,"square(exp(square(x0 / square(x0 ^ ((x0 + -0.4262011) ^ 0.67981887)))) + 0.07823786) + -0.77158296"
19,0.16965131,"square(exp((log10(x0 ^ (x0 + -1.5212421)) * -1.4990638) + (x0 / (x0 ^ (x0 + cube(x0))))))"
20,0.16337182,"square(exp(square(square(x0 / (x0 ^ (x0 + 0.219622))))) + (log10(x0 ^ (x0 + -1.3033763)) * -1.1281686))"
