Complexity,Loss,Equation
1,13.363166,"1.7676618"
3,11.677989,"x0 ^ -1.0706935"
4,11.067871,"0.33373037 / square(x0)"
5,2.5875154,"-0.04372209 / (x0 + -0.31644326)"
7,1.8668916,"(-0.04372209 / (x0 + -0.31647223)) + x0"
8,1.3072627,"square(log10(square(-0.19407973 / (x0 + -0.31669545))))"
9,1.302681,"square(log10(square(cube(0.5844691) / (-0.31669545 + x0))))"
10,1.2347267,"square(log10(square(x0 / (x0 + -0.30689743))) - x0)"
11,0.92997384,"log10(square(square(cube(x0) + (0.1371955 / (x0 + -0.31249607)))))"
12,0.88843596,"log10(square(square(square(square(x0)) + (0.15614517 / (x0 + -0.31183755)))))"
13,0.7847927,"x0 + log10(square(square(-0.15433848 / (x0 + -0.31249607)) - square(x0)))"
14,0.7075308,"square(x0) + log10(square(square(x0) - square(-0.15433848 / (x0 + -0.31249607))))"
15,0.6710737,"log10(square(square(x0 / ((x0 + -0.3124912) / 0.5713754)) - exp(x0 * x0)))"
16,0.5882395,"log10(square(sqrt(x0) - square(x0 * ((-0.4570114 / (x0 + -0.31249186)) + cube(x0)))))"
17,0.54858845,"log10(square(square(cube(x0) + ((-0.4570114 / (-0.31249186 + x0)) * x0)) + -0.5645097)) + x0"
18,0.47415507,"x0 + log10(square(square(x0 / ((x0 + -0.3124912) / 0.52162945)) - (x0 + x0)) * x0)"
20,0.46433017,"(log10(square(((x0 + 0.52162945) - square(x0 / ((-0.3124912 + x0) / 0.52162945))) * x0)) + x0) - -0.49528518"
