Complexity,Loss,Equation
1,0.0015515472,"0.027977405"
3,0.0014949876,"x2 * 0.056175705"
4,0.0013197707,"sqrt(x0) * 0.027889473"
5,0.00090417993,"(-0.02061189 / x0) + 0.059525304"
6,0.000653079,"square((x1 + -0.6104955) * x0)"
7,0.00035237064,"0.09994347 / exp(square(x0 - 1.9215947))"
8,0.000118963086,"0.07705256 / exp(square(cube(x0 - 1.7786986)))"
9,9.83719e-5,"0.074517936 / exp(square(square(square(x0 - 1.779199))))"
10,6.916618e-5,"(0.087919205 / exp(square(cube(x0 - 1.7566909)))) + -0.010203537"
11,4.885055e-5,"(0.084969155 / exp(square(square(square(1.7627093 - x0))))) + -0.010116084"
13,4.5811496e-5,"(0.084187426 / exp(square(square(square((x0 - 1.8162346) / 1.0743647))))) + -0.010428662"
16,3.4793156e-5,"(0.078897685 ^ (x0 ^ (cube(log10(square((x0 * 1.3233774) * x1))) - 0.09606643))) - 0.012492664"
17,3.0707077e-5,"(0.078939155 ^ (x0 ^ (cube(log10(square((x0 * x1) * -1.3385699))) - cube(x1)))) - 0.012523487"
18,2.6265085e-5,"(0.079265505 ^ (x0 ^ (cube(log10(square(x0 * (x1 * 1.3773305)))) - (x0 * 0.050360795)))) - 0.012826058"
19,2.439424e-5,"(0.079420604 ^ (x0 ^ (cube(log10(square((x0 * x1) * -1.349479))) - (square(x2) - 0.28070062)))) - 0.013047406"
20,1.9650926e-5,"(0.08175836 ^ (x0 ^ (cube(log10(square((x0 * x1) * -1.3783054))) - (-0.29813692 - neg(square(x2)))))) - 0.013498052"
