Complexity,Loss,Equation
1,0.66375905,"0.74323815"
3,0.052572068,"x0 * x2"
5,0.023146328,"12717.375 ^ (x1 + -0.4552226)"
9,0.011998843,"((x1 * (2.8908281 / x2)) * x1) ^ 4.322303"
11,0.009127304,"(((x1 * (x1 * 2.7817874)) / x2) ^ 5.0203953) - -0.120835304"
12,0.0024034511,"(2.3241565 ^ exp(0.03390144 / (1.4003572 - x0))) ^ (x0 - 2.3241565)"
14,0.0024011743,"(2.3241565 ^ exp((0.0674212 / (1.4003572 - x0)) / 2.3241565)) ^ (x0 - 2.3241565)"
16,0.0023950194,"(2.3241565 ^ exp((0.0674212 / (1.4003572 - x0)) / (1.4003572 + x2))) ^ (x0 - 2.3241565)"
17,0.0023851425,"(2.3241565 ^ exp((0.0674212 / (1.4003572 - x0)) / (x2 + exp(x2)))) ^ (x0 - 2.3241565)"
19,0.0023748688,"(2.2979076 ^ exp((0.0674212 / (1.4003572 - x0)) / exp((x2 * x0) ^ x0))) ^ (x0 - 2.3241565)"
20,0.0010256814,"((((2.6743443 ^ x1) + -0.82441247) / exp(-2.2521315 / exp(exp(log10(x0))))) ^ (x0 / x2)) - exp(x1)"
