Complexity,Loss,Equation
1,0.015946576,"0.086991146"
3,0.004418001,"x2 ^ 3.7956786"
4,0.0017420532,"exp(x0) * 0.011657982"
5,0.0015315113,"-0.0095240995 / (x1 + -0.5824892)"
7,0.0014215256,"(-0.02022388 / (x1 + -0.60411084)) - 0.04518863"
8,0.0011115017,"exp(x0) * (-0.0018613122 / (x1 - x2))"
11,0.00032697496,"(x0 * x0) * ((x2 * (x1 + -1.0087645)) + 0.35566652)"
13,0.00023551506,"(x0 ^ 1.3586612) * (x0 * (((x1 + -1.069416) * x2) + 0.38799718))"
15,0.00014774677,"x0 * ((((x2 * (x1 + -1.1106353)) + 0.43353248) * (x0 / 0.7271645)) + -0.06286544)"
17,0.00010637969,"(((((((x1 + -1.0414605) * x2) + 0.4002757) * 0.74925756) / x2) * x0) - 0.080311485) * x0"
19,9.283525e-5,"(((((x2 * (x1 + -0.9256312)) + 0.3303628) * (x0 * (0.42527467 / x2))) / x2) - 0.078028664) * x0"
20,6.991869e-5,"x0 * ((((x2 * (x1 + -1.1936651)) + 0.5324279) * ((x0 / x2) ^ exp(-0.63491046 / x0))) + -0.17137589)"
