Complexity,Loss,Equation
1,0.0011299002,"-0.002235189"
3,0.0011169274,"x0 * -0.013182397"
5,0.0010595989,"(x0 * x1) * -0.027481763"
7,0.00092972064,"((x1 + -1.5656067) + x0) * -0.08001129"
9,0.0008840988,"(((x0 - -0.5050746) * -0.081257276) * x1) + 0.0736345"
11,0.00088409754,"(0.25176483 - (x1 * ((x0 * 0.08118852) - -0.040944))) + -0.17829956"
13,0.0008840974,"(x0 * x1) + ((((x0 * -1.0811886) + -0.04094396) * x1) - -0.07346523)"
15,0.00088367175,"(((x1 + x0) * -0.029964173) * ((x1 + x0) + (x0 * 0.55703074))) - -0.080504425"
17,0.00088247185,"((x0 * (-0.032828197 - (x1 * 1.0588961))) + (x1 * x0)) + ((x1 * -0.054482866) - -0.0939311)"
19,0.00088065607,"-0.16651094 - ((((x0 * (x1 * 0.070876434)) + -0.25317663) + ((x0 * x0) * 0.026146514)) - (x1 * -0.05038088))"
