time,AO,LP,LB
2,0.476,0,0
2.25,0.476,0,0
2.5,0.476,0,0
2.75,0.476,0,0
3,0.476,0,0
3.25,0.476,0,0
3.5,0.477,0,0
3.75,0.477,0,0
4,0.477,0,0
4.25,0.477,0,0
4.5,0.478,0,0
4.75,0.478,0,0
5,0.479,0,0
5.25,0.479,0,0
5.5,0.48,0,0
5.75,0.481,0,0
6,0.481,0,0
6.25,0.483,0,0
6.5,0.483,0,0
6.75,0.485,0,0
7,0.485,0,0
7.25,0.488,0,0
7.5,0.488,0,0
7.75,0.492,0,0
8,0.492,0,0
8.25,0.496,0,0
8.5,0.498,0,0
8.75,0.501,0,0
9,0.504,0,0
9.25,0.508,0,0
9.5,0.512,0,0
9.75,0.515,0,0
10,0.518,0,0
10.25,0.522,0,0
10.5,0.525,0,0
10.75,0.529,0,0
11,0.531,0,0
11.25,0.534,0,0
11.5,0.5389999999999999,0,0
11.75,0.5429999999999999,0,0
12,0.546,0,0
12.25,0.5509999999999999,0,0
12.5,0.554,0,0
12.75,0.5589999999999999,0,0
13,0.5640000000000001,0,0
13.25,0.5680000000000001,0,0
13.5,0.573,0,0
13.75,0.578,0,0
14,0.584,0,0
14.25,0.589,0,0
14.5,0.595,0,0
14.75,0.601,0,0
15,0.608,0,0
15.25,0.613,0,0
15.5,0.621,0,0
15.75,0.627,0,0
16,0.634,0,0
16.25,0.64,0,0
16.5,0.646,0,0
16.75,0.655,0,0
17,0.663,0,0
17.25,0.6699999999999999,0,0
17.5,0.679,0,0
17.75,0.6859999999999999,0,0
18,0.6930000000000001,0,0
18.25,0.7010000000000001,0,0
18.5,0.7110000000000001,0,0
18.75,0.7210000000000001,0,0
19,0.729,0,0
19.25,0.74,0,0
19.5,0.75,0,0
19.75,0.762,0,0
20,0.772,0,0
20.25,0.784,0,0
20.5,0.796,0,0
20.75,0.81,0,0
21,0.8220000000000001,0,0
21.25,0.837,0,0
21.5,0.851,0,0
21.75,0.869,0,0
22,0.8840000000000001,0,0
22.25,0.902,0,0
22.5,0.9169999999999999,0,0
22.75,0.9329999999999999,0,0
23,0.946,0,0
23.25,0.961,0,0
23.5,0.975,0,0
23.75,0.99,0,0
24,1.009,0,0
24.25,1.0230000000000001,0,0
24.5,1.038,0,0
24.75,1.053,0,0
25,1.07,0,0
25.25,1.087,0,0
25.5,1.0979999999999999,0,0
25.75,1.1139999999999999,0,0
26,1.127,0,0
26.25,1.14,0,0
26.5,1.153,0,0
26.75,1.166,0,0
27,1.177,0,0
27.25,1.191,0,0
27.5,1.204,0,0
27.75,1.213,0,0
28,1.226,0,0
28.25,1.241,0,0
28.5,1.2510000000000001,0,0
28.75,1.263,0,0
29,1.2770000000000001,0,0
29.25,1.2850000000000001,0,0
29.5,1.297,0,0
29.75,1.31,0,0
30,1.321,0,0
30.25,1.329,0,0
30.5,1.343,0,0
30.75,1.349,0,0
31,1.361,0,0
31.25,1.371,0,0
31.5,1.387,0,0
31.75,1.393,0,0
32,1.4060000000000001,0,0
32.25,1.416,0,0
32.5,1.427,0,0
32.75,1.434,0,0
33,1.447,0,0
33.25,1.458,0,0
33.5,1.47,0,0
33.75,1.48,0,0
34,1.4889999999999999,0,0
34.25,1.501,0,0
34.5,1.505,0,0
34.75,1.517,0,0
35,1.528,0,0
35.25,1.54,0,0
35.5,1.549,0,0
35.75,1.5590000000000002,0,0
36,1.569,0,0
36.25,1.581,0,0
36.5,1.59,0,0
36.75,1.601,0,0
37,1.609,0,0
37.25,1.6230000000000002,0,0
37.5,1.629,0,0
37.75,1.641,0,0
38,1.6480000000000001,0,0
38.25,1.6560000000000001,0,0
38.5,1.6680000000000001,0,0
38.75,1.678,0,0
39,1.684,0,0
39.25,1.696,0,0
39.5,1.7029999999999998,0,0
39.75,1.713,0,0
40,1.725,0,0
40.25,1.7309999999999999,0,0
40.5,1.7389999999999999,0,0
40.75,1.746,0,0
41,1.757,0,0
41.25,1.7639999999999998,0,0
41.5,1.774,0,0
41.75,1.782,0,0
42,1.7879999999999998,0,0
42.25,1.798,0,0
42.5,1.8039999999999998,0,0
42.75,1.811,0,0
43,1.818,0,0
43.25,1.825,0,0
43.5,1.833,0,0
43.75,1.842,0,0
44,1.846,0,0
44.25,1.853,0,0
44.5,1.859,0,0
44.75,1.867,0,0
45,1.876,0,0
45.25,1.881,0,0
45.5,1.887,0,0
45.75,1.892,0,0
46,1.899,0,0
46.25,1.9060000000000001,0,0
46.5,1.9140000000000001,0,0
46.75,1.919,0,0
47,1.925,0,0
47.25,1.9300000000000002,0,0
47.5,1.937,0,0
47.75,1.9420000000000002,0,0
48,1.948,0,0
48.25,1.955,0,0
48.5,1.959,0,0
48.75,1.963,0,0
49,1.9700000000000002,0,0
49.25,1.976,0,0
49.5,1.98,0,0
49.75,1.9849999999999999,0,0
50,1.992,0,0
50.25,1.9969999999999999,0,0
50.5,2.001,0,0
50.75,2.007,0,0
51,2.01,0,0
51.25,2.016,0,0
51.5,2.02,0,0
51.75,2.024,0,0
52,2.028,0,0
52.25,2.033,0,0
52.5,2.036,0,0
52.75,2.043,0,0
53,2.0460000000000003,0,0
53.25,2.051,0,0
53.5,2.0540000000000003,0,0
53.75,2.058,0,0
54,2.0620000000000003,0,0
54.25,2.066,0,0
54.5,2.069,0,0
54.75,2.072,0,0
55,2.077,0,0
55.25,2.083,0,0
55.5,2.084,0,0
55.75,2.088,0,0
56,2.092,0,0
56.25,2.096,0,0
56.5,2.099,0,0
56.75,2.104,0,0
57,2.107,0,0
57.25,2.1109999999999998,0,0
57.5,2.114,0,0
57.75,2.117,0,0
58,2.121,0,0
58.25,2.124,0,0
58.5,2.127,0,0
58.75,2.1310000000000002,0,0
59,2.134,0,0
59.25,2.1390000000000002,0,0
59.5,2.14,0,0
59.75,2.143,0,0
60,2.149,0,0
60.25,2.15,0,0
60.5,2.155,0,0
60.75,2.157,0,0
61,2.162,0,0
61.25,2.1639999999999997,0,0
61.5,2.168,0,0
61.75,2.171,0,0
62,2.174,0,0
62.25,2.178,0,0
62.5,2.181,0,0
62.75,2.184,0,0
63,2.186,0,0
63.25,2.19,0,0
63.5,2.193,0,0
63.75,2.1959999999999997,0,0
64,2.199,0,0
64.25,2.205,0,0
64.5,2.206,0,0
64.75,2.209,0,0
65,2.211,0,0
65.25,2.213,0,0
65.5,2.217,0,0
65.75,2.2199999999999998,0,0
66,2.225,0,0
66.25,2.225,0,0
66.5,2.23,0,0
66.75,2.235,0,0
67,2.2359999999999998,0,0
67.25,2.242,0,0
67.5,2.243,0,0
67.75,2.245,0,0
68,2.248,0,0
68.25,2.251,0,0
68.5,2.254,0,0
68.75,2.257,0,0
69,2.26,0,0
69.25,2.265,0,0
69.5,2.267,0,0
69.75,2.269,0,0
70,2.273,0,0
70.25,2.274,0,0
70.5,2.278,0,0
70.75,2.282,0,0
71,2.284,0,0
71.25,2.287,0,0
71.5,2.29,0,0
71.75,2.293,0,0
72,2.294,0,0
72.25,2.3,0,0
72.5,2.301,0,0
72.75,2.306,0,0
73,2.307,0,0
73.25,2.31,0,0
73.5,2.3120000000000003,0,0
73.75,2.315,0,0
74,2.316,0,0
74.25,2.3200000000000003,0,0
74.5,2.321,0,0
74.75,2.326,0,0
75,2.326,0,0
75.25,2.33,0,0
75.5,2.332,0,0
75.75,2.335,0,0
76,2.337,0,0
76.25,2.34,0,0
76.5,2.342,0,0
76.75,2.3449999999999998,0,0
77,2.3449999999999998,0,0
77.25,2.349,0,0
77.5,2.352,0,0
77.75,2.3529999999999998,0,0
78,2.356,0,0
78.25,2.359,0,0
78.5,2.36,0,0
78.75,2.364,0,0
79,2.366,0,0
79.25,2.367,0,0
79.5,2.3689999999999998,0,0
79.75,2.373,0,0
80,2.3810000000000002,0,0
80.25,2.383,0,0
80.5,2.384,0,0
80.75,2.386,0,0
81,2.388,0,0
81.25,2.39,0,0
81.5,2.391,0,0
81.75,2.394,0,0
82,2.396,0,0
82.25,2.399,0,0
82.5,2.4,0,0
82.75,2.401,0,0
83,2.4130000000000003,0,0
83.25,2.406,0,0
83.5,2.409,0,0
