time,AO,LP,LB
2,0,0,0.533
2.25,0,0,0.535
2.5,0,0,0.535
2.75,0,0,0.535
3,0,0,0.535
3.25,0,0,0.536
3.5,0,0,0.537
3.75,0,0,0.537
4,0,0,0.538
4.25,0,0,0.538
4.5,0,0,0.539
4.75,0,0,0.54
5,0,0,0.541
5.25,0,0,0.542
5.5,0,0,0.543
5.75,0,0,0.545
6,0,0,0.546
6.25,0,0,0.548
6.5,0,0,0.549
6.75,0,0,0.552
7,0,0,0.554
7.25,0,0,0.557
7.5,0,0,0.561
7.75,0,0,0.565
8,0,0,0.5700000000000001
8.25,0,0,0.573
8.5,0,0,0.5800000000000001
8.75,0,0,0.587
9,0,0,0.594
9.25,0,0,0.601
9.5,0,0,0.608
9.75,0,0,0.617
10,0,0,0.626
10.25,0,0,0.636
10.5,0,0,0.648
10.75,0,0,0.658
11,0,0,0.671
11.25,0,0,0.683
11.5,0,0,0.6950000000000001
11.75,0,0,0.708
12,0,0,0.722
12.25,0,0,0.736
12.5,0,0,0.748
12.75,0,0,0.761
13,0,0,0.778
13.25,0,0,0.7909999999999999
13.5,0,0,0.804
13.75,0,0,0.8180000000000001
14,0,0,0.8340000000000001
14.25,0,0,0.8460000000000001
14.5,0,0,0.861
14.75,0,0,0.8720000000000001
15,0,0,0.8880000000000001
15.25,0,0,0.9
15.5,0,0,0.913
15.75,0,0,0.9259999999999999
16,0,0,0.942
16.25,0,0,0.952
16.5,0,0,0.966
16.75,0,0,0.977
17,0,0,0.989
17.25,0,0,1.001
17.5,0,0,1.0110000000000001
17.75,0,0,1.022
18,0,0,1.033
18.25,0,0,1.045
18.5,0,0,1.054
18.75,0,0,1.066
19,0,0,1.075
19.25,0,0,1.087
19.5,0,0,1.0939999999999999
19.75,0,0,1.107
20,0,0,1.116
20.25,0,0,1.123
20.5,0,0,1.133
20.75,0,0,1.142
21,0,0,1.151
21.25,0,0,1.163
21.5,0,0,1.171
21.75,0,0,1.182
22,0,0,1.193
22.25,0,0,1.2
22.5,0,0,1.212
22.75,0,0,1.221
23,0,0,1.228
23.25,0,0,1.237
23.5,0,0,1.248
23.75,0,0,1.256
24,0,0,1.266
24.25,0,0,1.275
24.5,0,0,1.283
24.75,0,0,1.29
25,0,0,1.3
25.25,0,0,1.309
25.5,0,0,1.317
25.75,0,0,1.326
26,0,0,1.3359999999999999
26.25,0,0,1.345
26.5,0,0,1.3519999999999999
26.75,0,0,1.363
27,0,0,1.3719999999999999
27.25,0,0,1.379
27.5,0,0,1.391
27.75,0,0,1.4
28,0,0,1.407
28.25,0,0,1.417
28.5,0,0,1.425
28.75,0,0,1.434
29,0,0,1.444
29.25,0,0,1.45
29.5,0,0,1.457
29.75,0,0,1.466
30,0,0,1.475
30.25,0,0,1.482
30.5,0,0,1.491
30.75,0,0,1.5
31,0,0,1.5030000000000001
31.25,0,0,1.512
31.5,0,0,1.5190000000000001
31.75,0,0,1.524
32,0,0,1.534
32.25,0,0,1.538
32.5,0,0,1.545
32.75,0,0,1.554
33,0,0,1.561
33.25,0,0,1.567
33.5,0,0,1.5739999999999998
33.75,0,0,1.579
34,0,0,1.585
34.25,0,0,1.591
34.5,0,0,1.597
34.75,0,0,1.604
35,0,0,1.609
35.25,0,0,1.616
35.5,0,0,1.62
35.75,0,0,1.629
36,0,0,1.633
36.25,0,0,1.639
36.5,0,0,1.645
36.75,0,0,1.651
37,0,0,1.6560000000000001
37.25,0,0,1.659
37.5,0,0,1.665
37.75,0,0,1.671
38,0,0,1.677
38.25,0,0,1.681
38.5,0,0,1.687
38.75,0,0,1.691
39,0,0,1.695
39.25,0,0,1.702
39.5,0,0,1.706
39.75,0,0,1.71
40,0,0,1.714
40.25,0,0,1.717
40.5,0,0,1.722
40.75,0,0,1.726
41,0,0,1.729
41.25,0,0,1.734
41.5,0,0,1.7389999999999999
41.75,0,0,1.744
42,0,0,1.746
42.25,0,0,1.75
42.5,0,0,1.755
42.75,0,0,1.7570000000000001
43,0,0,1.7610000000000001
43.25,0,0,1.766
43.5,0,0,1.768
43.75,0,0,1.772
44,0,0,1.776
44.25,0,0,1.78
44.5,0,0,1.783
44.75,0,0,1.7850000000000001
45,0,0,1.788
45.25,0,0,1.792
45.5,0,0,1.795
45.75,0,0,1.798
46,0,0,1.8010000000000002
46.25,0,0,1.804
46.5,0,0,1.8079999999999998
46.75,0,0,1.81
47,0,0,1.814
47.25,0,0,1.8159999999999998
47.5,0,0,1.819
47.75,0,0,1.822
48,0,0,1.825
48.25,0,0,1.8279999999999998
48.5,0,0,1.831
48.75,0,0,1.834
49,0,0,1.8359999999999999
49.25,0,0,1.8399999999999999
49.5,0,0,1.842
49.75,0,0,1.845
50,0,0,1.847
50.25,0,0,1.85
50.5,0,0,1.854
50.75,0,0,1.855
51,0,0,1.858
51.25,0,0,1.8599999999999999
51.5,0,0,1.863
51.75,0,0,1.866
52,0,0,1.8679999999999999
52.25,0,0,1.871
