time,AO,LP,LB
2,0,0.46399999999999997,0
2.25,0,0.46399999999999997,0
2.5,0,0.46399999999999997,0
2.75,0,0.46399999999999997,0
3,0,0.46399999999999997,0
3.25,0,0.46399999999999997,0
3.5,0,0.46399999999999997,0
3.75,0,0.46399999999999997,0
4,0,0.46399999999999997,0
4.25,0,0.46399999999999997,0
4.5,0,0.46499999999999997,0
4.75,0,0.46699999999999997,0
5,0,0.46699999999999997,0
5.25,0,0.46799999999999997,0
5.5,0,0.46799999999999997,0
5.75,0,0.471,0
6,0,0.471,0
6.25,0,0.473,0
6.5,0,0.474,0
6.75,0,0.476,0
7,0,0.478,0
7.25,0,0.48,0
7.5,0,0.484,0
7.75,0,0.487,0
8,0,0.491,0
8.25,0,0.495,0
8.5,0,0.499,0
8.75,0,0.504,0
9,0,0.51,0
9.25,0,0.515,0
9.5,0,0.5209999999999999,0
9.75,0,0.5289999999999999,0
10,0,0.536,0
10.25,0,0.5429999999999999,0
10.5,0,0.55,0
10.75,0,0.56,0
11,0,0.569,0
11.25,0,0.5780000000000001,0
11.5,0,0.589,0
11.75,0,0.599,0
12,0,0.609,0
12.25,0,0.62,0
12.5,0,0.631,0
12.75,0,0.642,0
13,0,0.654,0
13.25,0,0.665,0
13.5,0,0.677,0
13.75,0,0.69,0
14,0,0.702,0
14.25,0,0.713,0
14.5,0,0.726,0
14.75,0,0.737,0
15,0,0.748,0
15.25,0,0.76,0
15.5,0,0.773,0
15.75,0,0.785,0
16,0,0.797,0
16.25,0,0.81,0
16.5,0,0.821,0
16.75,0,0.8320000000000001,0
17,0,0.844,0
17.25,0,0.855,0
17.5,0,0.866,0
17.75,0,0.877,0
18,0,0.889,0
18.25,0,0.899,0
18.5,0,0.9099999999999999,0
18.75,0,0.919,0
19,0,0.931,0
19.25,0,0.94,0
19.5,0,0.9510000000000001,0
19.75,0,0.9590000000000001,0
20,0,0.9690000000000001,0
20.25,0,0.978,0
20.5,0,0.987,0
20.75,0,0.997,0
21,0,1.005,0
21.25,0,1.014,0
21.5,0,1.024,0
21.75,0,1.033,0
22,0,1.042,0
22.25,0,1.05,0
22.5,0,1.059,0
22.75,0,1.069,0
23,0,1.078,0
23.25,0,1.086,0
23.5,0,1.095,0
23.75,0,1.104,0
24,0,1.1139999999999999,0
24.25,0,1.123,0
24.5,0,1.13,0
24.75,0,1.138,0
25,0,1.147,0
25.25,0,1.157,0
