time,replicate,AO,LP,LB
0,B7,0.168,0,0
0.25,B7,0.167,0,0
0.5,B7,0.167,0,0
0.75,B7,0.166,0,0
1,B7,0.166,0,0
1.25,B7,0.165,0,0
1.5,B7,0.165,0,0
1.75,B7,0.164,0,0
2,B7,0.162,0,0
2.25,B7,0.162,0,0
2.5,B7,0.162,0,0
2.75,B7,0.162,0,0
3,B7,0.162,0,0
3.25,B7,0.162,0,0
3.5,B7,0.162,0,0
3.75,B7,0.162,0,0
4,B7,0.163,0,0
4.25,B7,0.163,0,0
4.5,B7,0.163,0,0
4.75,B7,0.163,0,0
5,B7,0.163,0,0
5.25,B7,0.163,0,0
5.5,B7,0.164,0,0
5.75,B7,0.164,0,0
6,B7,0.164,0,0
6.25,B7,0.164,0,0
6.5,B7,0.165,0,0
6.75,B7,0.165,0,0
7,B7,0.166,0,0
7.25,B7,0.166,0,0
7.5,B7,0.166,0,0
7.75,B7,0.167,0,0
8,B7,0.168,0,0
8.25,B7,0.168,0,0
8.5,B7,0.169,0,0
8.75,B7,0.17,0,0
9,B7,0.171,0,0
9.25,B7,0.172,0,0
9.5,B7,0.173,0,0
9.75,B7,0.174,0,0
10,B7,0.175,0,0
10.25,B7,0.176,0,0
10.5,B7,0.177,0,0
10.75,B7,0.178,0,0
11,B7,0.178,0,0
11.25,B7,0.179,0,0
11.5,B7,0.18,0,0
11.75,B7,0.181,0,0
12,B7,0.181,0,0
12.25,B7,0.182,0,0
12.5,B7,0.183,0,0
12.75,B7,0.184,0,0
13,B7,0.184,0,0
13.25,B7,0.185,0,0
13.5,B7,0.186,0,0
13.75,B7,0.187,0,0
14,B7,0.189,0,0
14.25,B7,0.19,0,0
14.5,B7,0.191,0,0
14.75,B7,0.192,0,0
15,B7,0.192,0,0
15.25,B7,0.194,0,0
15.5,B7,0.196,0,0
15.75,B7,0.198,0,0
16,B7,0.2,0,0
16.25,B7,0.203,0,0
16.5,B7,0.205,0,0
16.75,B7,0.207,0,0
17,B7,0.21,0,0
17.25,B7,0.212,0,0
17.5,B7,0.214,0,0
17.75,B7,0.216,0,0
18,B7,0.221,0,0
18.25,B7,0.225,0,0
18.5,B7,0.228,0,0
18.75,B7,0.232,0,0
19,B7,0.238,0,0
19.25,B7,0.241,0,0
19.5,B7,0.245,0,0
19.75,B7,0.249,0,0
20,B7,0.252,0,0
20.25,B7,0.256,0,0
20.5,B7,0.258,0,0
20.75,B7,0.262,0,0
21,B7,0.266,0,0
21.25,B7,0.27,0,0
21.5,B7,0.275,0,0
21.75,B7,0.28,0,0
22,B7,0.286,0,0
22.25,B7,0.292,0,0
22.5,B7,0.298,0,0
22.75,B7,0.306,0,0
23,B7,0.316,0,0
23.25,B7,0.325,0,0
23.5,B7,0.332,0,0
23.75,B7,0.343,0,0
24,B7,0.356,0,0
24.25,B7,0.368,0,0
24.5,B7,0.375,0,0
24.75,B7,0.389,0,0
25,B7,0.401,0,0
25.25,B7,0.415,0,0
25.5,B7,0.428,0,0
25.75,B7,0.441,0,0
26,B7,0.457,0,0
26.25,B7,0.467,0,0
26.5,B7,0.483,0,0
26.75,B7,0.492,0,0
27,B7,0.506,0,0
27.25,B7,0.519,0,0
27.5,B7,0.532,0,0
27.75,B7,0.55,0,0
28,B7,0.562,0,0
28.25,B7,0.572,0,0
28.5,B7,0.587,0,0
28.75,B7,0.597,0,0
29,B7,0.613,0,0
29.25,B7,0.625,0,0
29.5,B7,0.636,0,0
29.75,B7,0.649,0,0
30,B7,0.661,0,0
30.25,B7,0.674,0,0
30.5,B7,0.682,0,0
30.75,B7,0.696,0,0
31,B7,0.709,0,0
31.25,B7,0.72,0,0
31.5,B7,0.734,0,0
31.75,B7,0.747,0,0
32,B7,0.759,0,0
32.25,B7,0.772,0,0
32.5,B7,0.784,0,0
32.75,B7,0.796,0,0
33,B7,0.81,0,0
33.25,B7,0.821,0,0
33.5,B7,0.831,0,0
33.75,B7,0.843,0,0
34,B7,0.854,0,0
34.25,B7,0.864,0,0
34.5,B7,0.875,0,0
34.75,B7,0.886,0,0
35,B7,0.895,0,0
35.25,B7,0.907,0,0
35.5,B7,0.919,0,0
35.75,B7,0.929,0,0
36,B7,0.939,0,0
36.25,B7,0.949,0,0
36.5,B7,0.961,0,0
36.75,B7,0.972,0,0
37,B7,0.979,0,0
37.25,B7,0.988,0,0
37.5,B7,0.998,0,0
37.75,B7,1.008,0,0
38,B7,1.017,0,0
38.25,B7,1.02,0,0
38.5,B7,1.028,0,0
38.75,B7,1.039,0,0
39,B7,1.051,0,0
39.25,B7,1.061,0,0
39.5,B7,1.071,0,0
39.75,B7,1.081,0,0
40,B7,1.095,0,0
40.25,B7,1.11,0,0
40.5,B7,1.123,0,0
40.75,B7,1.135,0,0
41,B7,1.147,0,0
41.25,B7,1.155,0,0
41.5,B7,1.163,0,0
41.75,B7,1.17,0,0
42,B7,1.175,0,0
42.25,B7,1.182,0,0
42.5,B7,1.187,0,0
42.75,B7,1.194,0,0
43,B7,1.2,0,0
43.25,B7,1.209,0,0
43.5,B7,1.218,0,0
43.75,B7,1.226,0,0
44,B7,1.233,0,0
44.25,B7,1.24,0,0
44.5,B7,1.247,0,0
44.75,B7,1.256,0,0
45,B7,1.263,0,0
45.25,B7,1.269,0,0
45.5,B7,1.278,0,0
45.75,B7,1.283,0,0
46,B7,1.289,0,0
46.25,B7,1.297,0,0
46.5,B7,1.305,0,0
46.75,B7,1.311,0,0
47,B7,1.318,0,0
47.25,B7,1.325,0,0
47.5,B7,1.332,0,0
47.75,B7,1.339,0,0
48,B7,1.345,0,0
48.25,B7,1.353,0,0
48.5,B7,1.357,0,0
48.75,B7,1.365,0,0
49,B7,1.372,0,0
49.25,B7,1.378,0,0
49.5,B7,1.386,0,0
49.75,B7,1.392,0,0
50,B7,1.397,0,0
50.25,B7,1.404,0,0
50.5,B7,1.409,0,0
50.75,B7,1.416,0,0
51,B7,1.422,0,0
51.25,B7,1.427,0,0
51.5,B7,1.432,0,0
51.75,B7,1.439,0,0
52,B7,1.444,0,0
52.25,B7,1.448,0,0
52.5,B7,1.452,0,0
52.75,B7,1.457,0,0
53,B7,1.46,0,0
53.25,B7,1.468,0,0
53.5,B7,1.471,0,0
53.75,B7,1.477,0,0
54,B7,1.482,0,0
54.25,B7,1.486,0,0
54.5,B7,1.49,0,0
54.75,B7,1.494,0,0
55,B7,1.498,0,0
55.25,B7,1.503,0,0
55.5,B7,1.506,0,0
55.75,B7,1.511,0,0
56,B7,1.515,0,0
56.25,B7,1.519,0,0
56.5,B7,1.523,0,0
56.75,B7,1.527,0,0
57,B7,1.53,0,0
57.25,B7,1.533,0,0
57.5,B7,1.537,0,0
57.75,B7,1.542,0,0
58,B7,1.546,0,0
58.25,B7,1.549,0,0
58.5,B7,1.552,0,0
58.75,B7,1.555,0,0
59,B7,1.559,0,0
59.25,B7,1.563,0,0
59.5,B7,1.565,0,0
59.75,B7,1.569,0,0
60,B7,1.571,0,0
60.25,B7,1.576,0,0
60.5,B7,1.579,0,0
60.75,B7,1.581,0,0
61,B7,1.585,0,0
61.25,B7,1.588,0,0
61.5,B7,1.59,0,0
61.75,B7,1.594,0,0
62,B7,1.596,0,0
62.25,B7,1.599,0,0
62.5,B7,1.602,0,0
62.75,B7,1.605,0,0
63,B7,1.608,0,0
63.25,B7,1.612,0,0
63.5,B7,1.612,0,0
63.75,B7,1.616,0,0
64,B7,1.619,0,0
64.25,B7,1.621,0,0
64.5,B7,1.624,0,0
64.75,B7,1.628,0,0
65,B7,1.63,0,0
65.25,B7,1.631,0,0
65.5,B7,1.633,0,0
65.75,B7,1.637,0,0
66,B7,1.64,0,0
66.25,B7,1.642,0,0
66.5,B7,1.644,0,0
66.75,B7,1.645,0,0
67,B7,1.649,0,0
67.25,B7,1.651,0,0
67.5,B7,1.653,0,0
67.75,B7,1.656,0,0
68,B7,1.658,0,0
68.25,B7,1.66,0,0
68.5,B7,1.662,0,0
68.75,B7,1.665,0,0
69,B7,1.666,0,0
69.25,B7,1.667,0,0
69.5,B7,1.67,0,0
69.75,B7,1.672,0,0
70,B7,1.673,0,0
70.25,B7,1.676,0,0
70.5,B7,1.678,0,0
70.75,B7,1.679,0,0
71,B7,1.68,0,0
71.25,B7,1.684,0,0
71.5,B7,1.685,0,0
71.75,B7,1.687,0,0
72,B7,1.689,0,0
72.25,B7,1.69,0,0
72.5,B7,1.692,0,0
72.75,B7,1.693,0,0
73,B7,1.695,0,0
73.25,B7,1.698,0,0
73.5,B7,1.698,0,0
73.75,B7,1.701,0,0
74,B7,1.703,0,0
74.25,B7,1.704,0,0
74.5,B7,1.705,0,0
74.75,B7,1.707,0,0
75,B7,1.709,0,0
75.25,B7,1.71,0,0
75.5,B7,1.712,0,0
75.75,B7,1.714,0,0
76,B7,1.714,0,0
76.25,B7,1.716,0,0
76.5,B7,1.717,0,0
76.75,B7,1.718,0,0
77,B7,1.721,0,0
77.25,B7,1.722,0,0
77.5,B7,1.723,0,0
77.75,B7,1.724,0,0
78,B7,1.725,0,0
78.25,B7,1.727,0,0
78.5,B7,1.728,0,0
78.75,B7,1.729,0,0
79,B7,1.731,0,0
79.25,B7,1.731,0,0
79.5,B7,1.733,0,0
79.75,B7,1.734,0,0
80,B7,1.734,0,0
80.25,B7,1.736,0,0
80.5,B7,1.737,0,0
80.75,B7,1.738,0,0
81,B7,1.739,0,0
81.25,B7,1.74,0,0
81.5,B7,1.741,0,0
81.75,B7,1.742,0,0
82,B7,1.743,0,0
82.25,B7,1.744,0,0
82.5,B7,1.745,0,0
82.75,B7,1.746,0,0
83,B7,1.748,0,0
83.25,B7,1.748,0,0
83.5,B7,1.749,0,0
83.75,B7,1.75,0,0
84,B7,1.751,0,0
84.25,B7,1.75,0,0
84.5,B7,1.752,0,0
84.75,B7,1.753,0,0
85,B7,1.753,0,0
85.25,B7,1.754,0,0
85.5,B7,1.755,0,0
85.75,B7,1.756,0,0
86,B7,1.757,0,0
86.25,B7,1.757,0,0
