time,AO,LP,LB
0,0.2,0,0
0.25,0.199,0,0
0.5,0.2,0,0
0.75,0.202,0,0
1,0.202,0,0
1.25,0.203,0,0
1.5,0.204,0,0
1.75,0.204,0,0
2,0.205,0,0
2.25,0.206,0,0
2.5,0.206,0,0
2.75,0.206,0,0
3,0.206,0,0
3.25,0.206,0,0
3.5,0.207,0,0
3.75,0.207,0,0
4,0.208,0,0
4.25,0.208,0,0
4.5,0.209,0,0
4.75,0.209,0,0
5,0.21,0,0
5.25,0.211,0,0
5.5,0.212,0,0
5.75,0.212,0,0
6,0.212,0,0
6.25,0.213,0,0
6.5,0.213,0,0
6.75,0.214,0,0
7,0.214,0,0
7.25,0.215,0,0
7.5,0.216,0,0
7.75,0.217,0,0
8,0.218,0,0
8.25,0.219,0,0
8.5,0.22,0,0
8.75,0.221,0,0
9,0.222,0,0
9.25,0.223,0,0
9.5,0.224,0,0
9.75,0.225,0,0
10,0.226,0,0
10.25,0.226,0,0
10.5,0.228,0,0
10.75,0.228,0,0
11,0.229,0,0
11.25,0.23,0,0
11.5,0.231,0,0
11.75,0.232,0,0
12,0.233,0,0
12.25,0.235,0,0
12.5,0.236,0,0
12.75,0.237,0,0
13,0.238,0,0
13.25,0.24,0,0
13.5,0.241,0,0
13.75,0.243,0,0
14,0.245,0,0
14.25,0.246,0,0
14.5,0.248,0,0
14.75,0.25,0,0
15,0.252,0,0
15.25,0.254,0,0
15.5,0.257,0,0
15.75,0.259,0,0
16,0.261,0,0
16.25,0.263,0,0
16.5,0.265,0,0
16.75,0.267,0,0
17,0.269,0,0
17.25,0.273,0,0
17.5,0.276,0,0
17.75,0.279,0,0
18,0.282,0,0
18.25,0.287,0,0
18.5,0.292,0,0
18.75,0.296,0,0
19,0.301,0,0
19.25,0.306,0,0
19.5,0.311,0,0
19.75,0.317,0,0
20,0.321,0,0
20.25,0.324,0,0
20.5,0.33,0,0
20.75,0.333,0,0
21,0.342,0,0
21.25,0.349,0,0
21.5,0.356,0,0
21.75,0.362,0,0
22,0.37,0,0
22.25,0.379,0,0
22.5,0.387,0,0
22.75,0.398,0,0
23,0.409,0,0
23.25,0.42,0,0
23.5,0.432,0,0
23.75,0.444,0,0
24,0.455,0,0
24.25,0.466,0,0
24.5,0.476,0,0
24.75,0.488,0,0
25,0.498,0,0
25.25,0.509,0,0
25.5,0.521,0,0
25.75,0.532,0,0
26,0.542,0,0
26.25,0.554,0,0
26.5,0.564,0,0
26.75,0.577,0,0
27,0.589,0,0
27.25,0.602,0,0
27.5,0.617,0,0
27.75,0.628,0,0
28,0.642,0,0
28.25,0.656,0,0
28.5,0.668,0,0
28.75,0.68,0,0
29,0.692,0,0
29.25,0.706,0,0
29.5,0.717,0,0
29.75,0.727,0,0
30,0.736,0,0
30.25,0.748,0,0
30.5,0.757,0,0
30.75,0.771,0,0
31,0.777,0,0
31.25,0.787,0,0
31.5,0.795,0,0
31.75,0.805,0,0
32,0.813,0,0
32.25,0.824,0,0
32.5,0.831,0,0
32.75,0.839,0,0
33,0.848,0,0
33.25,0.856,0,0
33.5,0.869,0,0
33.75,0.875,0,0
34,0.884,0,0
34.25,0.892,0,0
34.5,0.901,0,0
34.75,0.908,0,0
35,0.921,0,0
35.25,0.926,0,0
35.5,0.935,0,0
35.75,0.945,0,0
36,0.955,0,0
36.25,0.957,0,0
