time,replicate,AO,LP,LB
0,F4,0,0,0.154
0.25,F4,0,0,0.154
0.5,F4,0,0,0.154
0.75,F4,0,0,0.154
1,F4,0,0,0.154
1.25,F4,0,0,0.154
1.5,F4,0,0,0.154
1.75,F4,0,0,0.154
2,F4,0,0,0.154
2.25,F4,0,0,0.154
2.5,F4,0,0,0.154
2.75,F4,0,0,0.154
3,F4,0,0,0.154
3.25,F4,0,0,0.154
3.5,F4,0,0,0.155
3.75,F4,0,0,0.155
4,F4,0,0,0.155
4.25,F4,0,0,0.155
4.5,F4,0,0,0.155
4.75,F4,0,0,0.156
5,F4,0,0,0.156
5.25,F4,0,0,0.156
5.5,F4,0,0,0.157
5.75,F4,0,0,0.158
6,F4,0,0,0.158
6.25,F4,0,0,0.159
6.5,F4,0,0,0.16
6.75,F4,0,0,0.161
7,F4,0,0,0.162
7.25,F4,0,0,0.163
7.5,F4,0,0,0.165
7.75,F4,0,0,0.167
8,F4,0,0,0.169
8.25,F4,0,0,0.171
8.5,F4,0,0,0.174
8.75,F4,0,0,0.177
9,F4,0,0,0.18
9.25,F4,0,0,0.183
9.5,F4,0,0,0.187
9.75,F4,0,0,0.19
10,F4,0,0,0.194
10.25,F4,0,0,0.199
10.5,F4,0,0,0.203
10.75,F4,0,0,0.207
11,F4,0,0,0.212
11.25,F4,0,0,0.217
11.5,F4,0,0,0.222
11.75,F4,0,0,0.227
12,F4,0,0,0.232
12.25,F4,0,0,0.237
12.5,F4,0,0,0.243
12.75,F4,0,0,0.248
13,F4,0,0,0.256
13.25,F4,0,0,0.262
13.5,F4,0,0,0.268
13.75,F4,0,0,0.274
14,F4,0,0,0.279
14.25,F4,0,0,0.285
14.5,F4,0,0,0.29
14.75,F4,0,0,0.295
15,F4,0,0,0.3
15.25,F4,0,0,0.305
15.5,F4,0,0,0.311
15.75,F4,0,0,0.319
16,F4,0,0,0.323
16.25,F4,0,0,0.327
16.5,F4,0,0,0.334
16.75,F4,0,0,0.336
17,F4,0,0,0.342
17.25,F4,0,0,0.347
17.5,F4,0,0,0.351
17.75,F4,0,0,0.357
18,F4,0,0,0.36
18.25,F4,0,0,0.364
18.5,F4,0,0,0.367
18.75,F4,0,0,0.371
19,F4,0,0,0.375
19.25,F4,0,0,0.376
19.5,F4,0,0,0.38
19.75,F4,0,0,0.382
20,F4,0,0,0.388
20.25,F4,0,0,0.391
20.5,F4,0,0,0.395
20.75,F4,0,0,0.396
21,F4,0,0,0.401
21.25,F4,0,0,0.404
21.5,F4,0,0,0.408
21.75,F4,0,0,0.408
22,F4,0,0,0.407
22.25,F4,0,0,0.412
22.5,F4,0,0,0.417
22.75,F4,0,0,0.421
23,F4,0,0,0.425
23.25,F4,0,0,0.425
23.5,F4,0,0,0.427
23.75,F4,0,0,0.428
24,F4,0,0,0.436
24.25,F4,0,0,0.435
24.5,F4,0,0,0.437
24.75,F4,0,0,0.436
25,F4,0,0,0.442
25.25,F4,0,0,0.444
25.5,F4,0,0,0.45
25.75,F4,0,0,0.452
26,F4,0,0,0.455
26.25,F4,0,0,0.458
26.5,F4,0,0,0.461
26.75,F4,0,0,0.461
27,F4,0,0,0.467
27.25,F4,0,0,0.468
27.5,F4,0,0,0.472
27.75,F4,0,0,0.473
28,F4,0,0,0.477
28.25,F4,0,0,0.479
28.5,F4,0,0,0.48
28.75,F4,0,0,0.486
29,F4,0,0,0.485
29.25,F4,0,0,0.489
29.5,F4,0,0,0.488
29.75,F4,0,0,0.492
30,F4,0,0,0.496
30.25,F4,0,0,0.499
30.5,F4,0,0,0.5
30.75,F4,0,0,0.502
31,F4,0,0,0.504
31.25,F4,0,0,0.505
31.5,F4,0,0,0.508
31.75,F4,0,0,0.509
32,F4,0,0,0.511
32.25,F4,0,0,0.515
32.5,F4,0,0,0.515
32.75,F4,0,0,0.517
33,F4,0,0,0.519
33.25,F4,0,0,0.522
33.5,F4,0,0,0.523
33.75,F4,0,0,0.524
34,F4,0,0,0.527
34.25,F4,0,0,0.53
34.5,F4,0,0,0.531
34.75,F4,0,0,0.533
35,F4,0,0,0.535
35.25,F4,0,0,0.537
35.5,F4,0,0,0.537
35.75,F4,0,0,0.54
36,F4,0,0,0.541
36.25,F4,0,0,0.541
36.5,F4,0,0,0.544
36.75,F4,0,0,0.545
37,F4,0,0,0.547
37.25,F4,0,0,0.548
37.5,F4,0,0,0.548
37.75,F4,0,0,0.551
38,F4,0,0,0.551
38.25,F4,0,0,0.552
38.5,F4,0,0,0.554
38.75,F4,0,0,0.554
39,F4,0,0,0.555
39.25,F4,0,0,0.556
39.5,F4,0,0,0.558
39.75,F4,0,0,0.559
40,F4,0,0,0.56
40.25,F4,0,0,0.561
40.5,F4,0,0,0.562
40.75,F4,0,0,0.563
41,F4,0,0,0.564
41.25,F4,0,0,0.564
41.5,F4,0,0,0.566
41.75,F4,0,0,0.567
42,F4,0,0,0.567
42.25,F4,0,0,0.568
42.5,F4,0,0,0.569
42.75,F4,0,0,0.569
43,F4,0,0,0.57
43.25,F4,0,0,0.571
43.5,F4,0,0,0.572
43.75,F4,0,0,0.573
44,F4,0,0,0.574
44.25,F4,0,0,0.574
44.5,F4,0,0,0.575
44.75,F4,0,0,0.576
45,F4,0,0,0.577
45.25,F4,0,0,0.578
45.5,F4,0,0,0.578
45.75,F4,0,0,0.579
46,F4,0,0,0.579
46.25,F4,0,0,0.579
46.5,F4,0,0,0.58
46.75,F4,0,0,0.581
47,F4,0,0,0.582
47.25,F4,0,0,0.582
47.5,F4,0,0,0.583
47.75,F4,0,0,0.583
48,F4,0,0,0.585
48.25,F4,0,0,0.585
48.5,F4,0,0,0.585
48.75,F4,0,0,0.585
49,F4,0,0,0.586
49.25,F4,0,0,0.587
49.5,F4,0,0,0.587
49.75,F4,0,0,0.588
50,F4,0,0,0.589
50.25,F4,0,0,0.589
50.5,F4,0,0,0.59
50.75,F4,0,0,0.59
51,F4,0,0,0.59
51.25,F4,0,0,0.591
51.5,F4,0,0,0.591
51.75,F4,0,0,0.592
52,F4,0,0,0.592
52.25,F4,0,0,0.593
52.5,F4,0,0,0.593
52.75,F4,0,0,0.593
53,F4,0,0,0.594
53.25,F4,0,0,0.594
53.5,F4,0,0,0.595
53.75,F4,0,0,0.595
54,F4,0,0,0.595
54.25,F4,0,0,0.596
54.5,F4,0,0,0.596
54.75,F4,0,0,0.597
55,F4,0,0,0.597
55.25,F4,0,0,0.598
55.5,F4,0,0,0.598
55.75,F4,0,0,0.598
56,F4,0,0,0.599
56.25,F4,0,0,0.599
56.5,F4,0,0,0.599
56.75,F4,0,0,0.6
57,F4,0,0,0.6
57.25,F4,0,0,0.601
57.5,F4,0,0,0.601
57.75,F4,0,0,0.602
58,F4,0,0,0.602
58.25,F4,0,0,0.602
58.5,F4,0,0,0.603
58.75,F4,0,0,0.603
59,F4,0,0,0.603
59.25,F4,0,0,0.603
59.5,F4,0,0,0.604
59.75,F4,0,0,0.605
60,F4,0,0,0.605
60.25,F4,0,0,0.605
60.5,F4,0,0,0.605
60.75,F4,0,0,0.605
61,F4,0,0,0.606
61.25,F4,0,0,0.606
61.5,F4,0,0,0.607
61.75,F4,0,0,0.607
62,F4,0,0,0.607
62.25,F4,0,0,0.608
62.5,F4,0,0,0.608
62.75,F4,0,0,0.608
63,F4,0,0,0.609
63.25,F4,0,0,0.609
63.5,F4,0,0,0.61
63.75,F4,0,0,0.61
64,F4,0,0,0.61
64.25,F4,0,0,0.61
64.5,F4,0,0,0.611
64.75,F4,0,0,0.611
65,F4,0,0,0.611
65.25,F4,0,0,0.612
65.5,F4,0,0,0.612
65.75,F4,0,0,0.612
66,F4,0,0,0.612
66.25,F4,0,0,0.613
66.5,F4,0,0,0.613
66.75,F4,0,0,0.613
67,F4,0,0,0.613
67.25,F4,0,0,0.614
67.5,F4,0,0,0.614
67.75,F4,0,0,0.614
68,F4,0,0,0.615
68.25,F4,0,0,0.615
68.5,F4,0,0,0.615
68.75,F4,0,0,0.615
69,F4,0,0,0.615
69.25,F4,0,0,0.616
69.5,F4,0,0,0.616
69.75,F4,0,0,0.616
70,F4,0,0,0.616
70.25,F4,0,0,0.617
70.5,F4,0,0,0.617
70.75,F4,0,0,0.618
71,F4,0,0,0.617
71.25,F4,0,0,0.618
71.5,F4,0,0,0.618
71.75,F4,0,0,0.618
72,F4,0,0,0.618
72.25,F4,0,0,0.619
72.5,F4,0,0,0.619
72.75,F4,0,0,0.619
73,F4,0,0,0.619
73.25,F4,0,0,0.62
