time,replicate,AO,LP,LB
0,A8,0,0.155,0
0.25,A8,0,0.155,0
0.5,A8,0,0.155,0
0.75,A8,0,0.155,0
1,A8,0,0.155,0
1.25,A8,0,0.155,0
1.5,A8,0,0.155,0
1.75,A8,0,0.155,0
2,A8,0,0.155,0
2.25,A8,0,0.156,0
2.5,A8,0,0.156,0
2.75,A8,0,0.156,0
3,A8,0,0.156,0
3.25,A8,0,0.156,0
3.5,A8,0,0.157,0
3.75,A8,0,0.157,0
4,A8,0,0.157,0
4.25,A8,0,0.157,0
4.5,A8,0,0.158,0
4.75,A8,0,0.158,0
5,A8,0,0.159,0
5.25,A8,0,0.159,0
5.5,A8,0,0.16,0
5.75,A8,0,0.16,0
6,A8,0,0.161,0
6.25,A8,0,0.162,0
6.5,A8,0,0.163,0
6.75,A8,0,0.164,0
7,A8,0,0.165,0
7.25,A8,0,0.167,0
7.5,A8,0,0.168,0
7.75,A8,0,0.17,0
8,A8,0,0.172,0
8.25,A8,0,0.174,0
8.5,A8,0,0.176,0
8.75,A8,0,0.179,0
9,A8,0,0.182,0
9.25,A8,0,0.185,0
9.5,A8,0,0.189,0
9.75,A8,0,0.192,0
10,A8,0,0.196,0
10.25,A8,0,0.201,0
10.5,A8,0,0.205,0
10.75,A8,0,0.21,0
11,A8,0,0.215,0
11.25,A8,0,0.22,0
11.5,A8,0,0.225,0
11.75,A8,0,0.229,0
12,A8,0,0.233,0
12.25,A8,0,0.238,0
12.5,A8,0,0.243,0
12.75,A8,0,0.248,0
13,A8,0,0.253,0
13.25,A8,0,0.259,0
13.5,A8,0,0.266,0
13.75,A8,0,0.273,0
14,A8,0,0.281,0
14.25,A8,0,0.286,0
14.5,A8,0,0.292,0
14.75,A8,0,0.297,0
15,A8,0,0.303,0
15.25,A8,0,0.309,0
15.5,A8,0,0.315,0
15.75,A8,0,0.32,0
16,A8,0,0.326,0
16.25,A8,0,0.332,0
16.5,A8,0,0.335,0
16.75,A8,0,0.343,0
17,A8,0,0.345,0
17.25,A8,0,0.354,0
17.5,A8,0,0.357,0
17.75,A8,0,0.366,0
18,A8,0,0.366,0
18.25,A8,0,0.373,0
18.5,A8,0,0.378,0
18.75,A8,0,0.383,0
19,A8,0,0.39,0
19.25,A8,0,0.394,0
19.5,A8,0,0.401,0
19.75,A8,0,0.404,0
20,A8,0,0.409,0
20.25,A8,0,0.411,0
20.5,A8,0,0.421,0
20.75,A8,0,0.421,0
21,A8,0,0.431,0
21.25,A8,0,0.431,0
21.5,A8,0,0.434,0
21.75,A8,0,0.442,0
22,A8,0,0.446,0
22.25,A8,0,0.45,0
22.5,A8,0,0.453,0
22.75,A8,0,0.453,0
23,A8,0,0.461,0
23.25,A8,0,0.467,0
23.5,A8,0,0.469,0
23.75,A8,0,0.474,0
24,A8,0,0.481,0
24.25,A8,0,0.482,0
24.5,A8,0,0.487,0
24.75,A8,0,0.489,0
25,A8,0,0.494,0
25.25,A8,0,0.499,0
25.5,A8,0,0.504,0
25.75,A8,0,0.505,0
26,A8,0,0.511,0
26.25,A8,0,0.514,0
