time,replicate,AO,LP,LB
0,D1,0.157,0,0
0.25,D1,0.157,0,0
0.5,D1,0.157,0,0
0.75,D1,0.157,0,0
1,D1,0.157,0,0
1.25,D1,0.157,0,0
1.5,D1,0.157,0,0
1.75,D1,0.157,0,0
2,D1,0.157,0,0
2.25,D1,0.157,0,0
2.5,D1,0.157,0,0
2.75,D1,0.157,0,0
3,D1,0.157,0,0
3.25,D1,0.157,0,0
3.5,D1,0.157,0,0
3.75,D1,0.157,0,0
4,D1,0.157,0,0
4.25,D1,0.157,0,0
4.5,D1,0.157,0,0
4.75,D1,0.157,0,0
5,D1,0.158,0,0
5.25,D1,0.158,0,0
5.5,D1,0.158,0,0
5.75,D1,0.158,0,0
6,D1,0.158,0,0
6.25,D1,0.158,0,0
6.5,D1,0.159,0,0
6.75,D1,0.159,0,0
7,D1,0.159,0,0
7.25,D1,0.16,0,0
7.5,D1,0.16,0,0
7.75,D1,0.161,0,0
8,D1,0.161,0,0
8.25,D1,0.162,0,0
8.5,D1,0.163,0,0
8.75,D1,0.164,0,0
9,D1,0.165,0,0
9.25,D1,0.166,0,0
9.5,D1,0.167,0,0
9.75,D1,0.168,0,0
10,D1,0.169,0,0
10.25,D1,0.17,0,0
10.5,D1,0.171,0,0
10.75,D1,0.173,0,0
11,D1,0.174,0,0
11.25,D1,0.174,0,0
11.5,D1,0.176,0,0
11.75,D1,0.176,0,0
12,D1,0.178,0,0
12.25,D1,0.179,0,0
12.5,D1,0.18,0,0
12.75,D1,0.182,0,0
13,D1,0.183,0,0
13.25,D1,0.185,0,0
13.5,D1,0.186,0,0
13.75,D1,0.188,0,0
14,D1,0.19,0,0
14.25,D1,0.192,0,0
14.5,D1,0.194,0,0
14.75,D1,0.197,0,0
15,D1,0.199,0,0
15.25,D1,0.201,0,0
15.5,D1,0.203,0,0
15.75,D1,0.207,0,0
16,D1,0.209,0,0
16.25,D1,0.212,0,0
16.5,D1,0.215,0,0
16.75,D1,0.219,0,0
17,D1,0.222,0,0
17.25,D1,0.225,0,0
17.5,D1,0.229,0,0
17.75,D1,0.232,0,0
18,D1,0.236,0,0
18.25,D1,0.239,0,0
18.5,D1,0.243,0,0
18.75,D1,0.246,0,0
19,D1,0.248,0,0
19.25,D1,0.251,0,0
19.5,D1,0.255,0,0
19.75,D1,0.259,0,0
20,D1,0.263,0,0
20.25,D1,0.266,0,0
20.5,D1,0.269,0,0
20.75,D1,0.272,0,0
21,D1,0.277,0,0
21.25,D1,0.28,0,0
21.5,D1,0.287,0,0
21.75,D1,0.293,0,0
22,D1,0.3,0,0
22.25,D1,0.305,0,0
22.5,D1,0.312,0,0
22.75,D1,0.32,0,0
23,D1,0.327,0,0
23.25,D1,0.338,0,0
23.5,D1,0.349,0,0
23.75,D1,0.36,0,0
24,D1,0.372,0,0
24.25,D1,0.386,0,0
24.5,D1,0.402,0,0
24.75,D1,0.42,0,0
25,D1,0.439,0,0
25.25,D1,0.456,0,0
25.5,D1,0.477,0,0
25.75,D1,0.502,0,0
26,D1,0.52,0,0
26.25,D1,0.54,0,0
26.5,D1,0.557,0,0
26.75,D1,0.576,0,0
27,D1,0.598,0,0
27.25,D1,0.618,0,0
27.5,D1,0.64,0,0
27.75,D1,0.662,0,0
28,D1,0.688,0,0
28.25,D1,0.706,0,0
28.5,D1,0.717,0,0
28.75,D1,0.736,0,0
29,D1,0.752,0,0
29.25,D1,0.77,0,0
29.5,D1,0.796,0,0
29.75,D1,0.824,0,0
30,D1,0.854,0,0
30.25,D1,0.878,0,0
30.5,D1,0.899,0,0
30.75,D1,0.914,0,0
31,D1,0.93,0,0
31.25,D1,0.944,0,0
31.5,D1,0.964,0,0
31.75,D1,0.974,0,0
32,D1,0.987,0,0
32.25,D1,0.991,0,0
32.5,D1,1,0,0
32.75,D1,1.009,0,0
33,D1,1.019,0,0
33.25,D1,1.02,0,0
33.5,D1,1.023,0,0
33.75,D1,1.028,0,0
34,D1,1.034,0,0
34.25,D1,1.042,0,0
34.5,D1,1.047,0,0
34.75,D1,1.053,0,0
35,D1,1.059,0,0
35.25,D1,1.068,0,0
35.5,D1,1.079,0,0
35.75,D1,1.084,0,0
36,D1,1.087,0,0
36.25,D1,1.093,0,0
36.5,D1,1.106,0,0
36.75,D1,1.119,0,0
37,D1,1.134,0,0
37.25,D1,1.153,0,0
37.5,D1,1.167,0,0
37.75,D1,1.181,0,0
38,D1,1.199,0,0
38.25,D1,1.206,0,0
38.5,D1,1.215,0,0
38.75,D1,1.218,0,0
39,D1,1.223,0,0
39.25,D1,1.233,0,0
39.5,D1,1.245,0,0
39.75,D1,1.255,0,0
40,D1,1.275,0,0
40.25,D1,1.298,0,0
40.5,D1,1.321,0,0
40.75,D1,1.344,0,0
41,D1,1.363,0,0
41.25,D1,1.382,0,0
41.5,D1,1.399,0,0
41.75,D1,1.412,0,0
42,D1,1.424,0,0
42.25,D1,1.432,0,0
42.5,D1,1.438,0,0
42.75,D1,1.44,0,0
43,D1,1.443,0,0
43.25,D1,1.446,0,0
43.5,D1,1.446,0,0
43.75,D1,1.45,0,0
44,D1,1.453,0,0
44.25,D1,1.458,0,0
44.5,D1,1.456,0,0
44.75,D1,1.465,0,0
45,D1,1.47,0,0
45.25,D1,1.475,0,0
45.5,D1,1.481,0,0
45.75,D1,1.487,0,0
46,D1,1.489,0,0
46.25,D1,1.497,0,0
46.5,D1,1.502,0,0
46.75,D1,1.506,0,0
47,D1,1.51,0,0
47.25,D1,1.515,0,0
47.5,D1,1.519,0,0
47.75,D1,1.524,0,0
48,D1,1.527,0,0
48.25,D1,1.531,0,0
48.5,D1,1.531,0,0
48.75,D1,1.532,0,0
49,D1,1.532,0,0
49.25,D1,1.536,0,0
49.5,D1,1.534,0,0
49.75,D1,1.532,0,0
50,D1,1.532,0,0
50.25,D1,1.528,0,0
50.5,D1,1.523,0,0
50.75,D1,1.521,0,0
51,D1,1.518,0,0
51.25,D1,1.513,0,0
51.5,D1,1.512,0,0
51.75,D1,1.505,0,0
52,D1,1.503,0,0
52.25,D1,1.503,0,0
52.5,D1,1.503,0,0
52.75,D1,1.506,0,0
53,D1,1.51,0,0
53.25,D1,1.514,0,0
53.5,D1,1.518,0,0
53.75,D1,1.527,0,0
54,D1,1.532,0,0
54.25,D1,1.538,0,0
54.5,D1,1.544,0,0
54.75,D1,1.549,0,0
55,D1,1.555,0,0
55.25,D1,1.559,0,0
55.5,D1,1.565,0,0
55.75,D1,1.568,0,0
56,D1,1.571,0,0
56.25,D1,1.575,0,0
56.5,D1,1.582,0,0
56.75,D1,1.58,0,0
57,D1,1.587,0,0
57.25,D1,1.589,0,0
57.5,D1,1.594,0,0
57.75,D1,1.597,0,0
58,D1,1.602,0,0
58.25,D1,1.604,0,0
58.5,D1,1.609,0,0
58.75,D1,1.611,0,0
59,D1,1.614,0,0
59.25,D1,1.618,0,0
59.5,D1,1.621,0,0
59.75,D1,1.623,0,0
60,D1,1.627,0,0
60.25,D1,1.63,0,0
60.5,D1,1.633,0,0
60.75,D1,1.636,0,0
61,D1,1.638,0,0
61.25,D1,1.642,0,0
61.5,D1,1.645,0,0
61.75,D1,1.649,0,0
62,D1,1.651,0,0
62.25,D1,1.654,0,0
62.5,D1,1.657,0,0
62.75,D1,1.658,0,0
63,D1,1.662,0,0
63.25,D1,1.663,0,0
63.5,D1,1.666,0,0
63.75,D1,1.668,0,0
64,D1,1.671,0,0
64.25,D1,1.673,0,0
64.5,D1,1.676,0,0
64.75,D1,1.677,0,0
65,D1,1.679,0,0
65.25,D1,1.683,0,0
65.5,D1,1.684,0,0
65.75,D1,1.686,0,0
66,D1,1.688,0,0
66.25,D1,1.69,0,0
66.5,D1,1.692,0,0
66.75,D1,1.693,0,0
67,D1,1.696,0,0
67.25,D1,1.699,0,0
67.5,D1,1.7,0,0
67.75,D1,1.702,0,0
68,D1,1.702,0,0
68.25,D1,1.704,0,0
68.5,D1,1.706,0,0
68.75,D1,1.708,0,0
69,D1,1.712,0,0
69.25,D1,1.711,0,0
69.5,D1,1.715,0,0
69.75,D1,1.718,0,0
70,D1,1.72,0,0
70.25,D1,1.721,0,0
70.5,D1,1.724,0,0
70.75,D1,1.726,0,0
71,D1,1.728,0,0
71.25,D1,1.729,0,0
71.5,D1,1.732,0,0
71.75,D1,1.733,0,0
72,D1,1.736,0,0
72.25,D1,1.738,0,0
72.5,D1,1.738,0,0
72.75,D1,1.741,0,0
73,D1,1.742,0,0
73.25,D1,1.746,0,0
73.5,D1,1.746,0,0
73.75,D1,1.748,0,0
74,D1,1.752,0,0
74.25,D1,1.754,0,0
74.5,D1,1.755,0,0
74.75,D1,1.758,0,0
75,D1,1.758,0,0
75.25,D1,1.76,0,0
75.5,D1,1.762,0,0
75.75,D1,1.765,0,0
76,D1,1.765,0,0
76.25,D1,1.766,0,0
76.5,D1,1.768,0,0
76.75,D1,1.771,0,0
77,D1,1.772,0,0
77.25,D1,1.774,0,0
77.5,D1,1.776,0,0
77.75,D1,1.777,0,0
78,D1,1.78,0,0
78.25,D1,1.781,0,0
78.5,D1,1.781,0,0
78.75,D1,1.783,0,0
79,D1,1.784,0,0
79.25,D1,1.786,0,0
79.5,D1,1.787,0,0
79.75,D1,1.788,0,0
80,D1,1.79,0,0
80.25,D1,1.792,0,0
80.5,D1,1.792,0,0
80.75,D1,1.796,0,0
81,D1,1.798,0,0
81.25,D1,1.797,0,0
81.5,D1,1.8,0,0
