time,AO,LP,LB
0,0,0.248,0
0.25,0,0.201,0
0.5,0,0.201,0
0.75,0,0.201,0
1,0,0.201,0
1.25,0,0.201,0
1.5,0,0.201,0
1.75,0,0.201,0
2,0,0.201,0
2.25,0,0.201,0
2.5,0,0.201,0
2.75,0,0.201,0
3,0,0.201,0
3.25,0,0.201,0
3.5,0,0.202,0
3.75,0,0.202,0
4,0,0.202,0
4.25,0,0.202,0
4.5,0,0.203,0
4.75,0,0.203,0
5,0,0.203,0
5.25,0,0.203,0
5.5,0,0.204,0
5.75,0,0.204,0
6,0,0.205,0
6.25,0,0.206,0
6.5,0,0.206,0
6.75,0,0.207,0
7,0,0.208,0
7.25,0,0.209,0
7.5,0,0.211,0
7.75,0,0.212,0
8,0,0.213,0
8.25,0,0.215,0
8.5,0,0.217,0
8.75,0,0.219,0
9,0,0.222,0
9.25,0,0.224,0
9.5,0,0.227,0
9.75,0,0.23,0
10,0,0.232,0
10.25,0,0.236,0
10.5,0,0.239,0
10.75,0,0.243,0
11,0,0.247,0
11.25,0,0.251,0
11.5,0,0.255,0
11.75,0,0.259,0
12,0,0.263,0
12.25,0,0.268,0
12.5,0,0.273,0
12.75,0,0.277,0
13,0,0.282,0
13.25,0,0.287,0
13.5,0,0.292,0
13.75,0,0.297,0
14,0,0.302,0
14.25,0,0.308,0
14.5,0,0.312,0
14.75,0,0.317,0
15,0,0.322,0
15.25,0,0.327,0
15.5,0,0.332,0
15.75,0,0.337,0
16,0,0.342,0
16.25,0,0.347,0
16.5,0,0.351,0
16.75,0,0.356,0
17,0,0.361,0
17.25,0,0.366,0
17.5,0,0.37,0
17.75,0,0.375,0
18,0,0.379,0
18.25,0,0.383,0
18.5,0,0.387,0
18.75,0,0.392,0
19,0,0.396,0
19.25,0,0.401,0
19.5,0,0.404,0
19.75,0,0.408,0
20,0,0.412,0
20.25,0,0.415,0
20.5,0,0.419,0
20.75,0,0.423,0
21,0,0.427,0
21.25,0,0.432,0
21.5,0,0.434,0
21.75,0,0.438,0
22,0,0.441,0
22.25,0,0.446,0
22.5,0,0.449,0
22.75,0,0.453,0
23,0,0.457,0
23.25,0,0.46,0
23.5,0,0.464,0
23.75,0,0.468,0
24,0,0.472,0
24.25,0,0.474,0
24.5,0,0.478,0
24.75,0,0.482,0
25,0,0.486,0
25.25,0,0.489,0
25.5,0,0.493,0
25.75,0,0.495,0
26,0,0.497,0
26.25,0,0.499,0
26.5,0,0.503,0
26.75,0,0.505,0
27,0,0.51,0
27.25,0,0.515,0
27.5,0,0.514,0
27.75,0,0.52,0
28,0,0.524,0
28.25,0,0.53,0
28.5,0,0.534,0
28.75,0,0.535,0
29,0,0.539,0
29.25,0,0.543,0
29.5,0,0.546,0
29.75,0,0.549,0
30,0,0.554,0
30.25,0,0.556,0
30.5,0,0.56,0
30.75,0,0.563,0
31,0,0.567,0
31.25,0,0.571,0
31.5,0,0.574,0
31.75,0,0.579,0
32,0,0.581,0
32.25,0,0.584,0
32.5,0,0.587,0
32.75,0,0.59,0
33,0,0.593,0
33.25,0,0.596,0
33.5,0,0.599,0
33.75,0,0.602,0
34,0,0.605,0
34.25,0,0.609,0
34.5,0,0.611,0
34.75,0,0.614,0
35,0,0.617,0
35.25,0,0.62,0
35.5,0,0.623,0
35.75,0,0.626,0
36,0,0.629,0
36.25,0,0.631,0
36.5,0,0.634,0
36.75,0,0.637,0
37,0,0.639,0
37.25,0,0.642,0
37.5,0,0.645,0
37.75,0,0.648,0
38,0,0.65,0
38.25,0,0.653,0
38.5,0,0.655,0
38.75,0,0.657,0
39,0,0.66,0
39.25,0,0.663,0
39.5,0,0.665,0
39.75,0,0.668,0
40,0,0.67,0
40.25,0,0.673,0
40.5,0,0.675,0
40.75,0,0.678,0
41,0,0.68,0
41.25,0,0.682,0
41.5,0,0.685,0
41.75,0,0.687,0
42,0,0.69,0
42.25,0,0.692,0
42.5,0,0.694,0
42.75,0,0.696,0
43,0,0.698,0
43.25,0,0.701,0
43.5,0,0.703,0
43.75,0,0.705,0
44,0,0.707,0
44.25,0,0.709,0
