time,replicate,AO,LP,LB
0,F1,0.165,0,0
0.25,F1,0.165,0,0
0.5,F1,0.165,0,0
0.75,F1,0.164,0,0
1,F1,0.164,0,0
1.25,F1,0.164,0,0
1.5,F1,0.164,0,0
1.75,F1,0.164,0,0
2,F1,0.164,0,0
2.25,F1,0.164,0,0
2.5,F1,0.163,0,0
2.75,F1,0.164,0,0
3,F1,0.164,0,0
3.25,F1,0.164,0,0
3.5,F1,0.164,0,0
3.75,F1,0.164,0,0
4,F1,0.164,0,0
4.25,F1,0.164,0,0
4.5,F1,0.164,0,0
4.75,F1,0.165,0,0
5,F1,0.165,0,0
5.25,F1,0.165,0,0
5.5,F1,0.165,0,0
5.75,F1,0.166,0,0
6,F1,0.166,0,0
6.25,F1,0.166,0,0
6.5,F1,0.167,0,0
6.75,F1,0.167,0,0
7,F1,0.168,0,0
7.25,F1,0.168,0,0
7.5,F1,0.168,0,0
7.75,F1,0.17,0,0
8,F1,0.171,0,0
8.25,F1,0.172,0,0
8.5,F1,0.173,0,0
8.75,F1,0.174,0,0
9,F1,0.175,0,0
9.25,F1,0.176,0,0
9.5,F1,0.177,0,0
9.75,F1,0.178,0,0
10,F1,0.179,0,0
10.25,F1,0.18,0,0
10.5,F1,0.182,0,0
10.75,F1,0.184,0,0
11,F1,0.185,0,0
11.25,F1,0.187,0,0
11.5,F1,0.188,0,0
11.75,F1,0.19,0,0
12,F1,0.192,0,0
12.25,F1,0.193,0,0
12.5,F1,0.195,0,0
12.75,F1,0.197,0,0
13,F1,0.199,0,0
13.25,F1,0.201,0,0
13.5,F1,0.204,0,0
13.75,F1,0.206,0,0
14,F1,0.208,0,0
14.25,F1,0.21,0,0
14.5,F1,0.212,0,0
14.75,F1,0.215,0,0
15,F1,0.217,0,0
15.25,F1,0.22,0,0
15.5,F1,0.222,0,0
15.75,F1,0.225,0,0
16,F1,0.228,0,0
16.25,F1,0.231,0,0
16.5,F1,0.234,0,0
16.75,F1,0.237,0,0
17,F1,0.24,0,0
17.25,F1,0.245,0,0
17.5,F1,0.247,0,0
17.75,F1,0.252,0,0
18,F1,0.256,0,0
18.25,F1,0.259,0,0
18.5,F1,0.263,0,0
18.75,F1,0.265,0,0
19,F1,0.27,0,0
19.25,F1,0.275,0,0
19.5,F1,0.282,0,0
19.75,F1,0.291,0,0
20,F1,0.298,0,0
20.25,F1,0.306,0,0
20.5,F1,0.316,0,0
20.75,F1,0.325,0,0
21,F1,0.335,0,0
21.25,F1,0.345,0,0
21.5,F1,0.358,0,0
21.75,F1,0.371,0,0
22,F1,0.384,0,0
22.25,F1,0.4,0,0
22.5,F1,0.417,0,0
22.75,F1,0.435,0,0
23,F1,0.453,0,0
23.25,F1,0.472,0,0
23.5,F1,0.494,0,0
23.75,F1,0.511,0,0
24,F1,0.524,0,0
24.25,F1,0.539,0,0
24.5,F1,0.557,0,0
24.75,F1,0.57,0,0
25,F1,0.586,0,0
25.25,F1,0.598,0,0
25.5,F1,0.622,0,0
25.75,F1,0.64,0,0
26,F1,0.659,0,0
26.25,F1,0.678,0,0
26.5,F1,0.695,0,0
26.75,F1,0.714,0,0
27,F1,0.726,0,0
27.25,F1,0.743,0,0
27.5,F1,0.765,0,0
27.75,F1,0.788,0,0
28,F1,0.8,0,0
28.25,F1,0.811,0,0
28.5,F1,0.829,0,0
28.75,F1,0.841,0,0
29,F1,0.859,0,0
29.25,F1,0.875,0,0
29.5,F1,0.893,0,0
29.75,F1,0.904,0,0
30,F1,0.926,0,0
30.25,F1,0.943,0,0
30.5,F1,0.957,0,0
30.75,F1,0.982,0,0
31,F1,1.004,0,0
31.25,F1,0.922,0,0
31.5,F1,0.914,0,0
31.75,F1,0.942,0,0
32,F1,0.961,0,0
32.25,F1,0.98,0,0
32.5,F1,0.998,0,0
32.75,F1,1.003,0,0
33,F1,0.999,0,0
33.25,F1,1,0,0
33.5,F1,1.002,0,0
33.75,F1,1.014,0,0
34,F1,1.03,0,0
34.25,F1,1.046,0,0
34.5,F1,1.066,0,0
34.75,F1,1.099,0,0
35,F1,1.141,0,0
35.25,F1,1.159,0,0
35.5,F1,1.183,0,0
35.75,F1,1.206,0,0
36,F1,1.208,0,0
36.25,F1,1.194,0,0
36.5,F1,1.192,0,0
36.75,F1,1.217,0,0
37,F1,1.25,0,0
37.25,F1,1.274,0,0
37.5,F1,1.295,0,0
37.75,F1,1.312,0,0
38,F1,1.317,0,0
38.25,F1,1.324,0,0
38.5,F1,1.324,0,0
38.75,F1,1.318,0,0
39,F1,1.319,0,0
39.25,F1,1.318,0,0
39.5,F1,1.325,0,0
39.75,F1,1.33,0,0
40,F1,1.333,0,0
40.25,F1,1.336,0,0
40.5,F1,1.341,0,0
40.75,F1,1.347,0,0
41,F1,1.354,0,0
41.25,F1,1.364,0,0
41.5,F1,1.373,0,0
41.75,F1,1.385,0,0
42,F1,1.399,0,0
42.25,F1,1.41,0,0
42.5,F1,1.423,0,0
42.75,F1,1.435,0,0
43,F1,1.443,0,0
43.25,F1,1.45,0,0
43.5,F1,1.457,0,0
43.75,F1,1.466,0,0
44,F1,1.474,0,0
44.25,F1,1.476,0,0
44.5,F1,1.478,0,0
44.75,F1,1.482,0,0
45,F1,1.484,0,0
45.25,F1,1.49,0,0
45.5,F1,1.495,0,0
45.75,F1,1.498,0,0
46,F1,1.501,0,0
46.25,F1,1.5,0,0
46.5,F1,1.506,0,0
46.75,F1,1.503,0,0
47,F1,1.502,0,0
47.25,F1,1.5,0,0
47.5,F1,1.505,0,0
47.75,F1,1.509,0,0
48,F1,1.51,0,0
48.25,F1,1.513,0,0
48.5,F1,1.515,0,0
48.75,F1,1.521,0,0
49,F1,1.526,0,0
49.25,F1,1.537,0,0
49.5,F1,1.546,0,0
49.75,F1,1.554,0,0
50,F1,1.563,0,0
50.25,F1,1.572,0,0
50.5,F1,1.582,0,0
50.75,F1,1.593,0,0
51,F1,1.601,0,0
51.25,F1,1.607,0,0
51.5,F1,1.615,0,0
51.75,F1,1.619,0,0
52,F1,1.624,0,0
52.25,F1,1.627,0,0
52.5,F1,1.629,0,0
52.75,F1,1.633,0,0
53,F1,1.635,0,0
53.25,F1,1.634,0,0
53.5,F1,1.64,0,0
53.75,F1,1.643,0,0
54,F1,1.646,0,0
54.25,F1,1.648,0,0
54.5,F1,1.65,0,0
54.75,F1,1.653,0,0
55,F1,1.656,0,0
55.25,F1,1.663,0,0
55.5,F1,1.663,0,0
55.75,F1,1.668,0,0
56,F1,1.671,0,0
56.25,F1,1.674,0,0
56.5,F1,1.677,0,0
56.75,F1,1.675,0,0
57,F1,1.68,0,0
57.25,F1,1.685,0,0
57.5,F1,1.683,0,0
57.75,F1,1.687,0,0
58,F1,1.689,0,0
58.25,F1,1.695,0,0
58.5,F1,1.699,0,0
58.75,F1,1.699,0,0
59,F1,1.702,0,0
59.25,F1,1.705,0,0
59.5,F1,1.707,0,0
59.75,F1,1.713,0,0
60,F1,1.712,0,0
60.25,F1,1.717,0,0
60.5,F1,1.717,0,0
60.75,F1,1.719,0,0
61,F1,1.722,0,0
61.25,F1,1.723,0,0
61.5,F1,1.726,0,0
61.75,F1,1.729,0,0
62,F1,1.728,0,0
62.25,F1,1.731,0,0
62.5,F1,1.735,0,0
62.75,F1,1.738,0,0
63,F1,1.739,0,0
63.25,F1,1.739,0,0
63.5,F1,1.741,0,0
63.75,F1,1.742,0,0
64,F1,1.745,0,0
64.25,F1,1.747,0,0
64.5,F1,1.748,0,0
64.75,F1,1.749,0,0
65,F1,1.752,0,0
65.25,F1,1.755,0,0
65.5,F1,1.754,0,0
