time,AO,LP,LB
0,0,0.155,0
0.25,0,0.155,0
0.5,0,0.155,0
0.75,0,0.155,0
1,0,0.155,0
1.25,0,0.156,0
1.5,0,0.155,0
1.75,0,0.156,0
2,0,0.156,0
2.25,0,0.156,0
2.5,0,0.156,0
2.75,0,0.156,0
3,0,0.156,0
3.25,0,0.157,0
3.5,0,0.157,0
3.75,0,0.157,0
4,0,0.157,0
4.25,0,0.157,0
4.5,0,0.158,0
4.75,0,0.158,0
5,0,0.158,0
5.25,0,0.159,0
5.5,0,0.159,0
5.75,0,0.16,0
6,0,0.16,0
6.25,0,0.161,0
6.5,0,0.162,0
6.75,0,0.163,0
7,0,0.163,0
7.25,0,0.165,0
7.5,0,0.166,0
7.75,0,0.167,0
8,0,0.169,0
8.25,0,0.17,0
8.5,0,0.172,0
8.75,0,0.174,0
9,0,0.177,0
9.25,0,0.179,0
9.5,0,0.182,0
9.75,0,0.185,0
10,0,0.188,0
10.25,0,0.191,0
10.5,0,0.195,0
10.75,0,0.199,0
11,0,0.203,0
11.25,0,0.207,0
11.5,0,0.211,0
11.75,0,0.216,0
12,0,0.22,0
12.25,0,0.225,0
12.5,0,0.23,0
12.75,0,0.235,0
13,0,0.241,0
13.25,0,0.246,0
13.5,0,0.251,0
13.75,0,0.256,0
14,0,0.262,0
14.25,0,0.267,0
14.5,0,0.272,0
14.75,0,0.278,0
15,0,0.284,0
15.25,0,0.289,0
15.5,0,0.296,0
15.75,0,0.302,0
16,0,0.307,0
16.25,0,0.313,0
16.5,0,0.318,0
16.75,0,0.322,0
17,0,0.326,0
17.25,0,0.332,0
17.5,0,0.336,0
17.75,0,0.341,0
18,0,0.344,0
18.25,0,0.35,0
18.5,0,0.355,0
18.75,0,0.359,0
19,0,0.362,0
19.25,0,0.366,0
19.5,0,0.372,0
19.75,0,0.372,0
20,0,0.375,0
20.25,0,0.383,0
20.5,0,0.386,0
20.75,0,0.388,0
21,0,0.391,0
21.25,0,0.397,0
21.5,0,0.392,0
21.75,0,0.401,0
22,0,0.41,0
22.25,0,0.415,0
22.5,0,0.418,0
22.75,0,0.419,0
23,0,0.422,0
23.25,0,0.424,0
23.5,0,0.429,0
23.75,0,0.431,0
24,0,0.437,0
24.25,0,0.442,0
24.5,0,0.444,0
24.75,0,0.447,0
25,0,0.454,0
25.25,0,0.456,0
25.5,0,0.462,0
25.75,0,0.464,0
26,0,0.468,0
26.25,0,0.472,0
26.5,0,0.476,0
26.75,0,0.48,0
27,0,0.482,0
27.25,0,0.486,0
27.5,0,0.489,0
27.75,0,0.493,0
28,0,0.496,0
28.25,0,0.5,0
28.5,0,0.503,0
28.75,0,0.506,0
29,0,0.51,0
29.25,0,0.513,0
29.5,0,0.517,0
29.75,0,0.52,0
30,0,0.525,0
30.25,0,0.528,0
30.5,0,0.532,0
30.75,0,0.535,0
31,0,0.538,0
31.25,0,0.542,0
31.5,0,0.546,0
31.75,0,0.549,0
32,0,0.552,0
32.25,0,0.556,0
32.5,0,0.56,0
32.75,0,0.563,0
33,0,0.566,0
33.25,0,0.57,0
33.5,0,0.573,0
33.75,0,0.576,0
34,0,0.579,0
34.25,0,0.583,0
34.5,0,0.585,0
34.75,0,0.589,0
35,0,0.592,0
35.25,0,0.595,0
35.5,0,0.598,0
35.75,0,0.601,0
36,0,0.605,0
36.25,0,0.608,0
36.5,0,0.61,0
36.75,0,0.616,0
37,0,0.618,0
37.25,0,0.621,0
37.5,0,0.625,0
37.75,0,0.628,0
38,0,0.63,0
38.25,0,0.632,0
38.5,0,0.636,0
38.75,0,0.638,0
39,0,0.641,0
39.25,0,0.645,0
39.5,0,0.647,0
39.75,0,0.65,0
40,0,0.653,0
40.25,0,0.655,0
40.5,0,0.658,0
40.75,0,0.661,0
41,0,0.663,0
41.25,0,0.666,0
41.5,0,0.669,0
41.75,0,0.671,0
42,0,0.674,0
42.25,0,0.677,0
42.5,0,0.679,0
42.75,0,0.681,0
43,0,0.684,0
43.25,0,0.687,0
43.5,0,0.689,0
43.75,0,0.692,0
44,0,0.694,0
44.25,0,0.696,0
