time,AO,LP
2,0.196,0.149
2.25,0.197,0.149
2.5,0.197,0.149
2.75,0.197,0.15
3,0.197,0.15
3.25,0.197,0.15
3.5,0.197,0.15
3.75,0.197,0.15
4,0.197,0.151
4.25,0.197,0.151
4.5,0.197,0.151
4.75,0.197,0.152
5,0.198,0.152
5.25,0.198,0.152
5.5,0.198,0.153
5.75,0.198,0.154
6,0.198,0.154
6.25,0.199,0.155
6.5,0.199,0.155
6.75,0.199,0.157
7,0.2,0.158
7.25,0.2,0.159
7.5,0.201,0.16
7.75,0.201,0.162
8,0.202,0.164
8.25,0.203,0.165
8.5,0.203,0.167
8.75,0.204,0.169
9,0.206,0.172
9.25,0.207,0.174
9.5,0.208,0.177
9.75,0.209,0.18
10,0.209,0.183
10.25,0.21,0.187
10.5,0.211,0.191
10.75,0.212,0.194
11,0.213,0.199
11.25,0.214,0.203
11.5,0.215,0.208
11.75,0.216,0.212
12,0.216,0.218
12.25,0.218,0.223
12.5,0.219,0.228
12.75,0.22,0.233
13,0.221,0.238
13.25,0.222,0.243
13.5,0.224,0.247
13.75,0.225,0.252
14,0.227,0.256
14.25,0.228,0.26
14.5,0.229,0.266
14.75,0.231,0.272
15,0.233,0.278
15.25,0.234,0.283
15.5,0.236,0.288
15.75,0.238,0.294
16,0.241,0.299
16.25,0.243,0.305
16.5,0.246,0.309
16.75,0.248,0.316
17,0.251,0.32
17.25,0.254,0.325
17.5,0.256,0.329
17.75,0.258,0.334
18,0.261,0.339
18.25,0.264,0.344
18.5,0.266,0.348
18.75,0.27,0.353
19,0.271,0.357
19.25,0.275,0.361
19.5,0.279,0.366
19.75,0.284,0.369
20,0.288,0.373
20.25,0.292,0.377
20.5,0.295,0.382
20.75,0.3,0.386
21,0.305,0.389
21.25,0.31,0.393
21.5,0.314,0.397
21.75,0.32,0.401
22,0.326,0.405
22.25,0.333,0.408
22.5,0.341,0.413
22.75,0.348,0.416
23,0.358,0.42
23.25,0.367,0.424
23.5,0.376,0.428
23.75,0.383,0.432
24,0.391,0.436
24.25,0.398,0.44
24.5,0.407,0.443
24.75,0.419,0.447
25,0.432,0.452
25.25,0.443,0.454
25.5,0.458,0.459
25.75,0.473,0.463
26,0.486,0.465
26.25,0.503,0.465
26.5,0.519,0.468
26.75,0.54,0.47
27,0.558,0.473
27.25,0.576,0.477
27.5,0.596,0.479
27.75,0.611,0.481
28,0.623,0.485
28.25,0.635,0.49
28.5,0.649,0.497
28.75,0.686,0.501
29,0.727,0.506
29.25,0.756,0.51
29.5,0.785,0.512
29.75,0.801,0.516
30,0.807,0.52
30.25,0.834,0.524
30.5,0.869,0.526
30.75,0.883,0.53
31,0.898,0.534
31.25,0.912,0.537
31.5,0.926,0.542
31.75,0.898,0.545
32,0.886,0.549
32.25,0.895,0.553
32.5,0.9,0.557
32.75,0.904,0.56
33,0.916,0.563
33.25,0.93,0.566
33.5,0.944,0.569
33.75,0.96,0.572
34,0.981,0.576
34.25,0.99,0.58
34.5,0.999,0.583
34.75,0.999,0.585
35,0.996,0.589
35.25,0.995,0.591
35.5,0.994,0.595
35.75,0.997,0.598
36,1.007,0.601
36.25,1,0.604
36.5,1.004,0.607
36.75,1.015,0.61
37,1.029,0.612
37.25,1.039,0.615
37.5,1.047,0.617
37.75,1.057,0.621
38,1.069,0.622
38.25,1.083,0.625
38.5,1.096,0.629
38.75,1.111,0.631
39,1.125,0.634
39.25,1.137,0.636
39.5,1.153,0.639
39.75,1.165,0.642
40,1.18,0.644
40.25,1.188,0.646
40.5,1.203,0.649
