time,AO,LB,LP
2,0.157,0,0.201
2.25,0.157,0,0.201
2.5,0.157,0,0.201
2.75,0.157,0,0.201
3,0.157,0,0.201
3.25,0.157,0,0.201
3.5,0.157,0,0.202
3.75,0.157,0,0.202
4,0.157,0,0.202
4.25,0.157,0,0.202
4.5,0.157,0,0.203
4.75,0.157,0,0.203
5,0.158,0,0.203
5.25,0.158,0,0.203
5.5,0.158,0,0.204
5.75,0.158,0,0.204
6,0.158,0,0.205
6.25,0.158,0,0.206
6.5,0.159,0,0.206
6.75,0.159,0,0.207
7,0.159,0,0.208
7.25,0.16,0,0.209
7.5,0.16,0,0.211
7.75,0.161,0,0.212
8,0.161,0,0.213
8.25,0.162,0,0.215
8.5,0.163,0,0.217
8.75,0.164,0,0.219
9,0.165,0,0.222
9.25,0.166,0,0.224
9.5,0.167,0,0.227
9.75,0.168,0,0.23
10,0.169,0,0.232
10.25,0.17,0,0.236
10.5,0.171,0,0.239
10.75,0.173,0,0.243
11,0.174,0,0.247
11.25,0.174,0,0.251
11.5,0.176,0,0.255
11.75,0.176,0,0.259
12,0.178,0,0.263
12.25,0.179,0,0.268
12.5,0.18,0,0.273
12.75,0.182,0,0.277
13,0.183,0,0.282
13.25,0.185,0,0.287
13.5,0.186,0,0.292
13.75,0.188,0,0.297
14,0.19,0,0.302
14.25,0.192,0,0.308
14.5,0.194,0,0.312
14.75,0.197,0,0.317
15,0.199,0,0.322
15.25,0.201,0,0.327
15.5,0.203,0,0.332
15.75,0.207,0,0.337
16,0.209,0,0.342
16.25,0.212,0,0.347
16.5,0.215,0,0.351
16.75,0.219,0,0.356
17,0.222,0,0.361
17.25,0.225,0,0.366
17.5,0.229,0,0.37
17.75,0.232,0,0.375
18,0.236,0,0.379
18.25,0.239,0,0.383
18.5,0.243,0,0.387
18.75,0.246,0,0.392
19,0.248,0,0.396
19.25,0.251,0,0.401
19.5,0.255,0,0.404
19.75,0.259,0,0.408
20,0.263,0,0.412
20.25,0.266,0,0.415
20.5,0.269,0,0.419
20.75,0.272,0,0.423
21,0.277,0,0.427
21.25,0.28,0,0.432
21.5,0.287,0,0.434
21.75,0.293,0,0.438
22,0.3,0,0.441
22.25,0.305,0,0.446
22.5,0.312,0,0.449
22.75,0.32,0,0.453
23,0.327,0,0.457
23.25,0.338,0,0.46
23.5,0.349,0,0.464
23.75,0.36,0,0.468
24,0.372,0,0.472
24.25,0.386,0,0.474
24.5,0.402,0,0.478
24.75,0.42,0,0.482
25,0.439,0,0.486
25.25,0.456,0,0.489
25.5,0.477,0,0.493
25.75,0.502,0,0.495
26,0.52,0,0.497
26.25,0.54,0,0.499
26.5,0.557,0,0.503
26.75,0.576,0,0.505
27,0.598,0,0.51
27.25,0.618,0,0.515
27.5,0.64,0,0.514
27.75,0.662,0,0.52
28,0.688,0,0.524
28.25,0.706,0,0.53
28.5,0.717,0,0.534
28.75,0.736,0,0.535
29,0.752,0,0.539
29.25,0.77,0,0.543
29.5,0.796,0,0.546
29.75,0.824,0,0.549
30,0.854,0,0.554
30.25,0.878,0,0.556
30.5,0.899,0,0.56
30.75,0.914,0,0.563
31,0.93,0,0.567
31.25,0.944,0,0.571
31.5,0.964,0,0.574
31.75,0.974,0,0.579
32,0.987,0,0.581
32.25,0.991,0,0.584
32.5,1,0,0.587
32.75,1.009,0,0.59
33,1.019,0,0.593
33.25,1.02,0,0.596
33.5,1.023,0,0.599
33.75,1.028,0,0.602
34,1.034,0,0.605
34.25,1.042,0,0.609
34.5,1.047,0,0.611
34.75,1.053,0,0.614
35,1.059,0,0.617
35.25,1.068,0,0.62
35.5,1.079,0,0.623
35.75,1.084,0,0.626
36,1.087,0,0.629
36.25,1.093,0,0.631
36.5,1.106,0,0.634
36.75,1.119,0,0.637
37,1.134,0,0.639
37.25,1.153,0,0.642
37.5,1.167,0,0.645
37.75,1.181,0,0.648
38,1.199,0,0.65
38.25,1.206,0,0.653
38.5,1.215,0,0.655
38.75,1.218,0,0.657
39,1.223,0,0.66
39.25,1.233,0,0.663
39.5,1.245,0,0.665
39.75,1.255,0,0.668
40,1.275,0,0.67
40.25,1.298,0,0.673
40.5,1.321,0,0.675
40.75,1.344,0,0.678
41,1.363,0,0.68
41.25,1.382,0,0.682
41.5,1.399,0,0.685
41.75,1.412,0,0.687
42,1.424,0,0.69
42.25,1.432,0,0.692
42.5,1.438,0,0.694
42.75,1.44,0,0.696
43,1.443,0,0.698
43.25,1.446,0,0.701
43.5,1.446,0,0.703
43.75,1.45,0,0.705
44,1.453,0,0.707
44.25,1.458,0,0.709
44.5,1.456,0,0.711
44.75,1.465,0,0.714
45,1.47,0,0.716
45.25,1.475,0,0.718
45.5,1.481,0,0.72
45.75,1.487,0,0.721
46,1.489,0,0.724
46.25,1.497,0,0.726
46.5,1.502,0,0.728
46.75,1.506,0,0.729
47,1.51,0,0.732
47.25,1.515,0,0.733
47.5,1.519,0,0.735
47.75,1.524,0,0.737
48,1.527,0,0.739
48.25,1.531,0,0.741
48.5,1.531,0,0.743
48.75,1.532,0,0.745
49,1.532,0,0.746
49.25,1.536,0,0.748
49.5,1.534,0,0.75
49.75,1.532,0,0.752
50,1.532,0,0.754
50.25,1.528,0,0.755
50.5,1.523,0,0.757
50.75,1.521,0,0.758
51,1.518,0,0.76
51.25,1.513,0,0.762
51.5,1.512,0,0.763
51.75,1.505,0,0.765
52,1.503,0,0.767
52.25,1.503,0,0.768
52.5,1.503,0,0.77
52.75,1.506,0,0.772
53,1.51,0,0.773
53.25,1.514,0,0.775
53.5,1.518,0,0.776
53.75,1.527,0,0.778
54,1.532,0,0.779
54.25,1.538,0,0.781
54.5,1.544,0,0.783
54.75,1.549,0,0.784
55,1.555,0,0.786
55.25,1.559,0,0.787
55.5,1.565,0,0.788
55.75,1.568,0,0.79
56,1.571,0,0.791
56.25,1.575,0,0.793
56.5,1.582,0,0.794
56.75,1.58,0,0.795
57,1.587,0,0.796
57.25,1.589,0,0.798
57.5,1.594,0,0.799
57.75,1.597,0,0.8
58,1.602,0,0.802
58.25,1.604,0,0.803
58.5,1.609,0,0.804
58.75,1.611,0,0.806
59,1.614,0,0.807
59.25,1.618,0,0.808
59.5,1.621,0,0.809
59.75,1.623,0,0.811
60,1.627,0,0.812
60.25,1.63,0,0.813
60.5,1.633,0,0.814
60.75,1.636,0,0.816
61,1.638,0,0.817
61.25,1.642,0,0.818
61.5,1.645,0,0.819
61.75,1.649,0,0.82
62,1.651,0,0.821
62.25,1.654,0,0.822
62.5,1.657,0,0.823
62.75,1.658,0,0.824
63,1.662,0,0.825
63.25,1.663,0,0.827
63.5,1.666,0,0.827
63.75,1.668,0,0.829
64,1.671,0,0.83
64.25,1.673,0,0.831
64.5,1.676,0,0.832
64.75,1.677,0,0.833
65,1.679,0,0.833
65.25,1.683,0,0.834
65.5,1.684,0,0.836
65.75,1.686,0,0.836
66,1.688,0,0.837
66.25,1.69,0,0.838
66.5,1.692,0,0.839
66.75,1.693,0,0.84
67,1.696,0,0.841
67.25,1.699,0,0.842
67.5,1.7,0,0.843
67.75,1.702,0,0.844
68,1.702,0,0.844
68.25,1.704,0,0.845
68.5,1.706,0,0.846
68.75,1.708,0,0.847
69,1.712,0,0.848
69.25,1.711,0,0.849
69.5,1.715,0,0.849
69.75,1.718,0,0.85
70,1.72,0,0.851
70.25,1.721,0,0.852
70.5,1.724,0,0.853
70.75,1.726,0,0.853
71,1.728,0,0.854
71.25,1.729,0,0.855
71.5,1.732,0,0.855
71.75,1.733,0,0.856
72,1.736,0,0.857
72.25,1.738,0,0.857
72.5,1.738,0,0.858
72.75,1.741,0,0.858
73,1.742,0,0.859
73.25,1.746,0,0.859
73.5,1.746,0,0.859
73.75,1.748,0,0.859
74,1.752,0,0.859
74.25,1.754,0,0.859
74.5,1.755,0,0.859
74.75,1.758,0,0.859
75,1.758,0,0.859
75.25,1.76,0,0.858
75.5,1.762,0,0.858
75.75,1.765,0,0.857
76,1.765,0,0.856
76.25,1.766,0,0.855
76.5,1.768,0,0.854
76.75,1.771,0,0.854
77,1.772,0,0.853
77.25,1.774,0,0.853
77.5,1.776,0,0.852
77.75,1.777,0,0.851
78,1.78,0,0.851
78.25,1.781,0,0.85
78.5,1.781,0,0.849
78.75,1.783,0,0.849
79,1.784,0,0.848
79.25,1.786,0,0.848
79.5,1.787,0,0.847
79.75,1.788,0,0.847
80,1.79,0,0.846
80.25,1.792,0,0.846
80.5,1.792,0,0.846
80.75,1.796,0,0.846
81,1.798,0,0.845
81.25,1.797,0,0.844
81.5,1.8,0,0.844
81.75,1.801,0,0.844
82,1.804,0,0.844
82.25,1.805,0,0.843
82.5,1.806,0,0.843
82.75,1.806,0,0.843
83,1.809,0,0.842
83.25,1.808,0,0.842
83.5,1.812,0,0.841
83.75,1.812,0,0.841
84,1.815,0,0.841
84.25,1.815,0,0.841
84.5,1.817,0,0.84
84.75,1.818,0,0.84
85,1.819,0,0.839
85.25,1.816,0,0.839
85.5,1.82,0,0.839
85.75,1.821,0,0.839
86,1.823,0,0.838
86.25,1.824,0,0.838
86.5,1.824,0,0.838
86.75,1.827,0,0.838
87,1.825,0,0.837
87.25,1.827,0,0.837
87.5,1.828,0,0.837
87.75,1.827,0,0.837
88,1.828,0,0.837
88.25,1.829,0,0.836
88.5,1.83,0,0.836
88.75,1.833,0,0.836
89,1.832,0,0.836
89.25,1.834,0,0.836
89.5,1.833,0,0.836
89.75,1.834,0,0.836
90,1.836,0,0.836
90.25,1.835,0,0.836
90.5,1.837,0,0.835
90.75,1.838,0,0.835
91,1.837,0,0.835
91.25,1.838,0,0.835
91.5,1.838,0,0.835
91.75,1.84,0,0.835
92,1.841,0,0.835
92.25,1.842,0,0.835
92.5,1.844,0,0.835
92.75,1.843,0,0.835
93,1.844,0,0.835
93.25,1.844,0,0.835
93.5,1.846,0,0.835
93.75,1.846,0,0.835
94,1.845,0,0.835
94.25,1.847,0,0.835
94.5,1.847,0,0.835
94.75,1.847,0,0.836
95,1.848,0,0.835
95.25,1.849,0,0.835
95.5,1.849,0,0.836
95.75,1.849,0,0.836
96,1.851,0,0.836
