time,replicate,AO,LP,LB
0,A1,0.159,0,0
0.25,A1,0.159,0,0
0.5,A1,0.159,0,0
0.75,A1,0.159,0,0
1,A1,0.159,0,0
1.25,A1,0.159,0,0
1.5,A1,0.159,0,0
1.75,A1,0.159,0,0
2,A1,0.159,0,0
2.25,A1,0.159,0,0
2.5,A1,0.159,0,0
2.75,A1,0.159,0,0
3,A1,0.159,0,0
3.25,A1,0.159,0,0
3.5,A1,0.159,0,0
3.75,A1,0.159,0,0
4,A1,0.159,0,0
4.25,A1,0.159,0,0
4.5,A1,0.159,0,0
4.75,A1,0.159,0,0
5,A1,0.16,0,0
5.25,A1,0.16,0,0
5.5,A1,0.16,0,0
5.75,A1,0.16,0,0
6,A1,0.16,0,0
6.25,A1,0.161,0,0
6.5,A1,0.161,0,0
6.75,A1,0.161,0,0
7,A1,0.161,0,0
7.25,A1,0.162,0,0
7.5,A1,0.162,0,0
7.75,A1,0.163,0,0
8,A1,0.163,0,0
8.25,A1,0.164,0,0
8.5,A1,0.165,0,0
8.75,A1,0.166,0,0
9,A1,0.167,0,0
9.25,A1,0.168,0,0
9.5,A1,0.169,0,0
9.75,A1,0.17,0,0
10,A1,0.171,0,0
10.25,A1,0.172,0,0
10.5,A1,0.173,0,0
10.75,A1,0.174,0,0
11,A1,0.174,0,0
11.25,A1,0.175,0,0
11.5,A1,0.176,0,0
11.75,A1,0.177,0,0
12,A1,0.178,0,0
12.25,A1,0.18,0,0
12.5,A1,0.18,0,0
12.75,A1,0.182,0,0
13,A1,0.183,0,0
13.25,A1,0.184,0,0
13.5,A1,0.185,0,0
13.75,A1,0.187,0,0
14,A1,0.189,0,0
14.25,A1,0.19,0,0
14.5,A1,0.191,0,0
14.75,A1,0.193,0,0
15,A1,0.195,0,0
15.25,A1,0.196,0,0
15.5,A1,0.198,0,0
15.75,A1,0.2,0,0
16,A1,0.202,0,0
16.25,A1,0.204,0,0
16.5,A1,0.205,0,0
16.75,A1,0.208,0,0
17,A1,0.211,0,0
17.25,A1,0.213,0,0
17.5,A1,0.216,0,0
17.75,A1,0.218,0,0
18,A1,0.22,0,0
18.25,A1,0.223,0,0
18.5,A1,0.226,0,0
18.75,A1,0.229,0,0
19,A1,0.231,0,0
19.25,A1,0.234,0,0
19.5,A1,0.236,0,0
19.75,A1,0.239,0,0
20,A1,0.241,0,0
20.25,A1,0.244,0,0
