time,replicate,AO,LP,LB
0,C1,0.153,0,0
0.25,C1,0.154,0,0
0.5,C1,0.153,0,0
0.75,C1,0.153,0,0
1,C1,0.153,0,0
1.25,C1,0.153,0,0
1.5,C1,0.153,0,0
1.75,C1,0.153,0,0
2,C1,0.153,0,0
2.25,C1,0.153,0,0
2.5,C1,0.153,0,0
2.75,C1,0.153,0,0
3,C1,0.153,0,0
3.25,C1,0.153,0,0
3.5,C1,0.154,0,0
3.75,C1,0.154,0,0
4,C1,0.154,0,0
4.25,C1,0.154,0,0
4.5,C1,0.154,0,0
4.75,C1,0.154,0,0
5,C1,0.154,0,0
5.25,C1,0.154,0,0
5.5,C1,0.155,0,0
5.75,C1,0.155,0,0
6,C1,0.155,0,0
6.25,C1,0.155,0,0
6.5,C1,0.155,0,0
6.75,C1,0.156,0,0
7,C1,0.156,0,0
7.25,C1,0.157,0,0
7.5,C1,0.157,0,0
7.75,C1,0.158,0,0
8,C1,0.158,0,0
8.25,C1,0.159,0,0
8.5,C1,0.159,0,0
8.75,C1,0.16,0,0
9,C1,0.161,0,0
9.25,C1,0.163,0,0
9.5,C1,0.164,0,0
9.75,C1,0.165,0,0
10,C1,0.166,0,0
10.25,C1,0.167,0,0
10.5,C1,0.168,0,0
10.75,C1,0.169,0,0
11,C1,0.17,0,0
11.25,C1,0.171,0,0
11.5,C1,0.173,0,0
11.75,C1,0.174,0,0
12,C1,0.175,0,0
12.25,C1,0.176,0,0
12.5,C1,0.178,0,0
12.75,C1,0.179,0,0
13,C1,0.181,0,0
13.25,C1,0.182,0,0
13.5,C1,0.184,0,0
13.75,C1,0.185,0,0
14,C1,0.187,0,0
14.25,C1,0.189,0,0
14.5,C1,0.191,0,0
14.75,C1,0.193,0,0
15,C1,0.195,0,0
15.25,C1,0.197,0,0
15.5,C1,0.199,0,0
15.75,C1,0.201,0,0
16,C1,0.204,0,0
16.25,C1,0.206,0,0
16.5,C1,0.208,0,0
16.75,C1,0.211,0,0
17,C1,0.213,0,0
17.25,C1,0.216,0,0
17.5,C1,0.219,0,0
17.75,C1,0.222,0,0
18,C1,0.224,0,0
18.25,C1,0.227,0,0
18.5,C1,0.23,0,0
18.75,C1,0.234,0,0
19,C1,0.236,0,0
