time,replicate,AO,LP,LB
0,E1,0.164,0,0
0.25,E1,0.164,0,0
0.5,E1,0.164,0,0
0.75,E1,0.164,0,0
1,E1,0.163,0,0
1.25,E1,0.163,0,0
1.5,E1,0.163,0,0
1.75,E1,0.164,0,0
2,E1,0.164,0,0
2.25,E1,0.164,0,0
2.5,E1,0.164,0,0
2.75,E1,0.164,0,0
3,E1,0.164,0,0
3.25,E1,0.164,0,0
3.5,E1,0.164,0,0
3.75,E1,0.164,0,0
4,E1,0.164,0,0
4.25,E1,0.164,0,0
4.5,E1,0.165,0,0
4.75,E1,0.165,0,0
5,E1,0.165,0,0
5.25,E1,0.165,0,0
5.5,E1,0.165,0,0
5.75,E1,0.166,0,0
6,E1,0.166,0,0
6.25,E1,0.167,0,0
6.5,E1,0.167,0,0
6.75,E1,0.168,0,0
7,E1,0.168,0,0
7.25,E1,0.169,0,0
7.5,E1,0.169,0,0
7.75,E1,0.171,0,0
8,E1,0.171,0,0
8.25,E1,0.173,0,0
8.5,E1,0.174,0,0
8.75,E1,0.175,0,0
9,E1,0.176,0,0
9.25,E1,0.177,0,0
9.5,E1,0.179,0,0
9.75,E1,0.18,0,0
10,E1,0.181,0,0
10.25,E1,0.183,0,0
10.5,E1,0.184,0,0
10.75,E1,0.186,0,0
11,E1,0.187,0,0
11.25,E1,0.188,0,0
11.5,E1,0.19,0,0
11.75,E1,0.192,0,0
12,E1,0.193,0,0
12.25,E1,0.195,0,0
12.5,E1,0.196,0,0
12.75,E1,0.198,0,0
13,E1,0.2,0,0
13.25,E1,0.202,0,0
13.5,E1,0.204,0,0
13.75,E1,0.206,0,0
14,E1,0.208,0,0
14.25,E1,0.21,0,0
14.5,E1,0.213,0,0
14.75,E1,0.215,0,0
15,E1,0.218,0,0
15.25,E1,0.22,0,0
15.5,E1,0.224,0,0
15.75,E1,0.226,0,0
16,E1,0.228,0,0
16.25,E1,0.23,0,0
16.5,E1,0.233,0,0
16.75,E1,0.236,0,0
17,E1,0.239,0,0
17.25,E1,0.241,0,0
17.5,E1,0.244,0,0
17.75,E1,0.246,0,0
18,E1,0.249,0,0
18.25,E1,0.251,0,0
18.5,E1,0.255,0,0
18.75,E1,0.258,0,0
19,E1,0.262,0,0
19.25,E1,0.267,0,0
19.5,E1,0.272,0,0
19.75,E1,0.277,0,0
20,E1,0.282,0,0
20.25,E1,0.288,0,0
20.5,E1,0.294,0,0
20.75,E1,0.3,0,0
21,E1,0.307,0,0
21.25,E1,0.313,0,0
21.5,E1,0.319,0,0
21.75,E1,0.327,0,0
22,E1,0.333,0,0
22.25,E1,0.34,0,0
22.5,E1,0.346,0,0
22.75,E1,0.354,0,0
23,E1,0.359,0,0
23.25,E1,0.364,0,0
23.5,E1,0.368,0,0
23.75,E1,0.374,0,0
24,E1,0.381,0,0
24.25,E1,0.385,0,0
24.5,E1,0.39,0,0
24.75,E1,0.394,0,0
25,E1,0.399,0,0
25.25,E1,0.404,0,0
25.5,E1,0.408,0,0
25.75,E1,0.413,0,0
26,E1,0.417,0,0
26.25,E1,0.42,0,0
26.5,E1,0.425,0,0
26.75,E1,0.428,0,0
27,E1,0.433,0,0
27.25,E1,0.437,0,0
27.5,E1,0.44,0,0
27.75,E1,0.442,0,0
28,E1,0.447,0,0
28.25,E1,0.451,0,0
28.5,E1,0.454,0,0
28.75,E1,0.457,0,0
29,E1,0.461,0,0
29.25,E1,0.462,0,0
29.5,E1,0.465,0,0
29.75,E1,0.469,0,0
30,E1,0.471,0,0
30.25,E1,0.474,0,0
30.5,E1,0.478,0,0
30.75,E1,0.48,0,0
31,E1,0.481,0,0
31.25,E1,0.484,0,0
31.5,E1,0.487,0,0
31.75,E1,0.489,0,0
32,E1,0.493,0,0
32.25,E1,0.494,0,0
32.5,E1,0.498,0,0
32.75,E1,0.5,0,0
33,E1,0.502,0,0
