time,AO
2,0.164
2.25,0.164
2.5,0.164
2.75,0.164
3,0.164
3.25,0.164
3.5,0.164
3.75,0.164
4,0.164
4.25,0.164
4.5,0.165
4.75,0.165
5,0.165
5.25,0.165
5.5,0.165
5.75,0.166
6,0.166
6.25,0.167
6.5,0.167
6.75,0.168
7,0.168
7.25,0.169
7.5,0.169
7.75,0.171
8,0.171
8.25,0.173
8.5,0.174
8.75,0.175
9,0.176
9.25,0.177
9.5,0.179
9.75,0.18
10,0.181
10.25,0.183
10.5,0.184
10.75,0.186
11,0.187
11.25,0.188
11.5,0.19
11.75,0.192
12,0.193
12.25,0.195
12.5,0.196
12.75,0.198
13,0.2
13.25,0.202
13.5,0.204
13.75,0.206
14,0.208
14.25,0.21
14.5,0.213
14.75,0.215
15,0.218
15.25,0.22
15.5,0.224
15.75,0.226
16,0.228
16.25,0.23
16.5,0.233
16.75,0.236
17,0.239
17.25,0.241
17.5,0.244
17.75,0.246
18,0.249
18.25,0.251
18.5,0.255
18.75,0.258
19,0.262
19.25,0.267
19.5,0.272
19.75,0.277
20,0.282
20.25,0.288
20.5,0.294
20.75,0.3
21,0.307
21.25,0.313
21.5,0.319
21.75,0.327
22,0.333
22.25,0.34
22.5,0.346
22.75,0.354
23,0.359
23.25,0.364
23.5,0.368
23.75,0.374
24,0.381
24.25,0.385
24.5,0.39
24.75,0.394
25,0.399
25.25,0.404
25.5,0.408
25.75,0.413
26,0.417
26.25,0.42
26.5,0.425
26.75,0.428
27,0.433
27.25,0.437
27.5,0.44
27.75,0.442
28,0.447
28.25,0.451
28.5,0.454
28.75,0.457
29,0.461
29.25,0.462
29.5,0.465
29.75,0.469
30,0.471
30.25,0.474
30.5,0.478
30.75,0.48
31,0.481
31.25,0.484
31.5,0.487
31.75,0.489
32,0.493
32.25,0.494
32.5,0.498
32.75,0.5
33,0.502
33.25,0.505
33.5,0.509
33.75,0.512
34,0.513
34.25,0.518
34.5,0.518
34.75,0.519
35,0.523
35.25,0.526
35.5,0.528
35.75,0.53
36,0.533
36.25,0.535
36.5,0.538
36.75,0.541
37,0.543
37.25,0.546
37.5,0.549
37.75,0.552
38,0.553
38.25,0.556
38.5,0.557
38.75,0.561
39,0.563
39.25,0.566
39.5,0.568
39.75,0.572
40,0.574
40.25,0.576
40.5,0.578
40.75,0.58
41,0.582
41.25,0.584
41.5,0.588
41.75,0.589
42,0.591
42.25,0.595
42.5,0.596
42.75,0.598
43,0.6
43.25,0.603
43.5,0.606
43.75,0.609
44,0.611
44.25,0.613
44.5,0.615
44.75,0.618
45,0.621
45.25,0.623
45.5,0.625
45.75,0.626
46,0.629
46.25,0.631
46.5,0.634
46.75,0.636
47,0.639
47.25,0.64
47.5,0.642
47.75,0.644
48,0.645
48.25,0.648
48.5,0.65
48.75,0.65
49,0.653
49.25,0.655
49.5,0.656
49.75,0.658
50,0.66
50.25,0.662
50.5,0.663
50.75,0.666
51,0.666
51.25,0.669
51.5,0.67
51.75,0.671
52,0.673
52.25,0.674
52.5,0.676
52.75,0.678
53,0.679
53.25,0.681
53.5,0.682
53.75,0.683
54,0.685
54.25,0.686
54.5,0.688
54.75,0.689
55,0.691
55.25,0.693
55.5,0.693
55.75,0.695
56,0.696
56.25,0.698
56.5,0.698
56.75,0.7
57,0.701
57.25,0.703
57.5,0.704
57.75,0.705
58,0.706
58.25,0.707
58.5,0.708
58.75,0.71
59,0.711
59.25,0.713
59.5,0.713
59.75,0.714
60,0.716
60.25,0.717
60.5,0.718
60.75,0.719
61,0.721
61.25,0.721
61.5,0.723
61.75,0.723
62,0.724
62.25,0.726
62.5,0.727
62.75,0.728
63,0.729
63.25,0.73
63.5,0.731
63.75,0.732
64,0.734
64.25,0.737
64.5,0.735
64.75,0.736
65,0.737
65.25,0.738
65.5,0.739
65.75,0.741
66,0.742
66.25,0.742
66.5,0.743
66.75,0.744
67,0.745
67.25,0.746
67.5,0.748
67.75,0.748
68,0.749
68.25,0.749
68.5,0.751
68.75,0.752
69,0.752
69.25,0.754
69.5,0.755
69.75,0.756
70,0.757
70.25,0.757
70.5,0.759
70.75,0.76
71,0.761
71.25,0.762
71.5,0.763
71.75,0.764
72,0.764
72.25,0.766
72.5,0.767
72.75,0.768
73,0.768
73.25,0.769
73.5,0.77
73.75,0.771
74,0.771
74.25,0.773
74.5,0.773
74.75,0.775
75,0.775
75.25,0.776
75.5,0.777
75.75,0.778
76,0.778
76.25,0.779
76.5,0.78
76.75,0.78
77,0.781
77.25,0.782
77.5,0.783
77.75,0.783
78,0.785
78.25,0.785
78.5,0.785
78.75,0.787
79,0.788
79.25,0.788
79.5,0.789
79.75,0.79
80,0.791
80.25,0.791
80.5,0.792
80.75,0.792
81,0.793
81.25,0.794
81.5,0.794
81.75,0.795
82,0.796
82.25,0.797
82.5,0.797
82.75,0.798
83,0.798
83.25,0.799
83.5,0.8
83.75,0.8
84,0.801
84.25,0.802
84.5,0.803
84.75,0.803
85,0.804
85.25,0.805
85.5,0.806
85.75,0.806
86,0.807
86.25,0.808
86.5,0.809
86.75,0.809
87,0.81
87.25,0.811
87.5,0.811
87.75,0.812
88,0.813
88.25,0.813
88.5,0.813
88.75,0.814
89,0.815
89.25,0.816
89.5,0.817
89.75,0.818
90,0.818
90.25,0.818
90.5,0.819
90.75,0.82
91,0.82
91.25,0.821
91.5,0.822
91.75,0.822
92,0.823
92.25,0.824
92.5,0.824
92.75,0.824
93,0.824
93.25,0.825
93.5,0.826
93.75,0.826
94,0.827
94.25,0.827
94.5,0.828
94.75,0.828
95,0.829
95.25,0.829
95.5,0.829
95.75,0.829
96,0.83
