time,replicate,AO,LP,LB
0,A4,0,0,0.154
0.25,A4,0,0,0.154
0.5,A4,0,0,0.154
0.75,A4,0,0,0.154
1,A4,0,0,0.154
1.25,A4,0,0,0.154
1.5,A4,0,0,0.154
1.75,A4,0,0,0.154
2,A4,0,0,0.154
2.25,A4,0,0,0.155
2.5,A4,0,0,0.155
2.75,A4,0,0,0.155
3,A4,0,0,0.155
3.25,A4,0,0,0.155
3.5,A4,0,0,0.155
3.75,A4,0,0,0.155
4,A4,0,0,0.156
4.25,A4,0,0,0.156
4.5,A4,0,0,0.156
4.75,A4,0,0,0.156
5,A4,0,0,0.157
5.25,A4,0,0,0.157
5.5,A4,0,0,0.157
5.75,A4,0,0,0.158
6,A4,0,0,0.158
6.25,A4,0,0,0.159
6.5,A4,0,0,0.159
6.75,A4,0,0,0.16
7,A4,0,0,0.161
7.25,A4,0,0,0.162
7.5,A4,0,0,0.163
7.75,A4,0,0,0.164
8,A4,0,0,0.166
8.25,A4,0,0,0.167
8.5,A4,0,0,0.169
8.75,A4,0,0,0.171
9,A4,0,0,0.173
9.25,A4,0,0,0.176
9.5,A4,0,0,0.178
9.75,A4,0,0,0.181
10,A4,0,0,0.184
10.25,A4,0,0,0.188
10.5,A4,0,0,0.191
10.75,A4,0,0,0.195
11,A4,0,0,0.2
11.25,A4,0,0,0.204
11.5,A4,0,0,0.207
11.75,A4,0,0,0.213
12,A4,0,0,0.217
12.25,A4,0,0,0.222
12.5,A4,0,0,0.226
12.75,A4,0,0,0.23
13,A4,0,0,0.236
13.25,A4,0,0,0.24
13.5,A4,0,0,0.245
13.75,A4,0,0,0.249
14,A4,0,0,0.255
14.25,A4,0,0,0.259
14.5,A4,0,0,0.263
14.75,A4,0,0,0.267
15,A4,0,0,0.272
15.25,A4,0,0,0.275
15.5,A4,0,0,0.279
15.75,A4,0,0,0.284
16,A4,0,0,0.289
16.25,A4,0,0,0.292
16.5,A4,0,0,0.296
16.75,A4,0,0,0.299
17,A4,0,0,0.302
17.25,A4,0,0,0.306
17.5,A4,0,0,0.31
17.75,A4,0,0,0.313
18,A4,0,0,0.317
18.25,A4,0,0,0.319
18.5,A4,0,0,0.322
18.75,A4,0,0,0.325
19,A4,0,0,0.329
19.25,A4,0,0,0.332
19.5,A4,0,0,0.334
19.75,A4,0,0,0.338
20,A4,0,0,0.341
20.25,A4,0,0,0.343
20.5,A4,0,0,0.346
20.75,A4,0,0,0.35
21,A4,0,0,0.352
21.25,A4,0,0,0.355
21.5,A4,0,0,0.357
