time,LB
2,0.154
2.25,0.155
2.5,0.155
2.75,0.155
3,0.155
3.25,0.155
3.5,0.155
3.75,0.155
4,0.156
4.25,0.156
4.5,0.156
4.75,0.156
5,0.157
5.25,0.157
5.5,0.157
5.75,0.158
6,0.158
6.25,0.159
6.5,0.159
6.75,0.16
7,0.161
7.25,0.162
7.5,0.163
7.75,0.164
8,0.166
8.25,0.167
8.5,0.169
8.75,0.171
9,0.173
9.25,0.176
9.5,0.178
9.75,0.181
10,0.184
10.25,0.188
10.5,0.191
10.75,0.195
11,0.2
11.25,0.204
11.5,0.207
11.75,0.213
12,0.217
12.25,0.222
12.5,0.226
12.75,0.23
13,0.236
13.25,0.24
13.5,0.245
13.75,0.249
14,0.255
14.25,0.259
14.5,0.263
14.75,0.267
15,0.272
15.25,0.275
15.5,0.279
15.75,0.284
16,0.289
16.25,0.292
16.5,0.296
16.75,0.299
17,0.302
17.25,0.306
17.5,0.31
17.75,0.313
18,0.317
18.25,0.319
18.5,0.322
18.75,0.325
19,0.329
19.25,0.332
19.5,0.334
19.75,0.338
20,0.341
20.25,0.343
20.5,0.346
20.75,0.35
21,0.352
21.25,0.355
21.5,0.357
21.75,0.362
22,0.364
22.25,0.367
22.5,0.369
22.75,0.374
23,0.375
23.25,0.378
23.5,0.382
23.75,0.384
24,0.387
24.25,0.392
24.5,0.393
24.75,0.395
25,0.397
25.25,0.401
25.5,0.403
25.75,0.406
26,0.409
26.25,0.41
26.5,0.413
26.75,0.417
27,0.419
27.25,0.421
27.5,0.425
27.75,0.429
28,0.431
28.25,0.433
28.5,0.436
28.75,0.44
29,0.442
29.25,0.445
29.5,0.446
29.75,0.449
30,0.452
30.25,0.455
30.5,0.458
30.75,0.461
31,0.461
31.25,0.465
31.5,0.468
31.75,0.468
32,0.472
32.25,0.473
32.5,0.475
32.75,0.478
33,0.48
33.25,0.482
33.5,0.484
33.75,0.486
34,0.488
34.25,0.49
34.5,0.491
34.75,0.495
35,0.496
35.25,0.498
35.5,0.5
35.75,0.503
36,0.503
36.25,0.505
36.5,0.507
36.75,0.51
37,0.511
37.25,0.512
37.5,0.514
37.75,0.516
38,0.518
38.25,0.52
38.5,0.521
38.75,0.522
39,0.524
39.25,0.527
39.5,0.528
39.75,0.53
40,0.531
40.25,0.532
40.5,0.533
40.75,0.535
41,0.535
41.25,0.537
41.5,0.539
41.75,0.541
42,0.541
42.25,0.543
42.5,0.544
42.75,0.545
43,0.546
43.25,0.548
43.5,0.549
43.75,0.55
44,0.552
44.25,0.553
44.5,0.554
44.75,0.555
45,0.555
45.25,0.557
45.5,0.558
45.75,0.559
46,0.56
46.25,0.561
46.5,0.563
46.75,0.563
47,0.565
47.25,0.565
47.5,0.566
47.75,0.567
48,0.568
48.25,0.569
48.5,0.57
48.75,0.571
49,0.572
49.25,0.573
49.5,0.574
49.75,0.575
50,0.576
50.25,0.577
50.5,0.578
50.75,0.578
51,0.58
51.25,0.58
51.5,0.581
51.75,0.583
52,0.583
52.25,0.584
52.5,0.584
52.75,0.586
53,0.586
53.25,0.587
53.5,0.588
53.75,0.588
54,0.59
54.25,0.59
54.5,0.591
54.75,0.592
55,0.593
55.25,0.593
55.5,0.594
55.75,0.595
56,0.596
56.25,0.596
56.5,0.597
56.75,0.598
57,0.599
57.25,0.6
57.5,0.6
57.75,0.601
58,0.602
58.25,0.602
58.5,0.603
58.75,0.604
59,0.604
59.25,0.606
59.5,0.606
59.75,0.607
60,0.607
60.25,0.608
60.5,0.608
60.75,0.609
61,0.61
61.25,0.61
61.5,0.61
61.75,0.611
62,0.611
62.25,0.612
62.5,0.613
62.75,0.613
63,0.614
63.25,0.615
63.5,0.615
63.75,0.616
64,0.616
64.25,0.617
64.5,0.617
64.75,0.618
65,0.618
65.25,0.619
65.5,0.619
65.75,0.621
66,0.621
66.25,0.621
66.5,0.622
66.75,0.622
67,0.623
67.25,0.623
67.5,0.624
67.75,0.624
68,0.624
68.25,0.625
68.5,0.625
68.75,0.626
69,0.626
69.25,0.627
69.5,0.627
69.75,0.628
70,0.628
70.25,0.629
70.5,0.629
70.75,0.629
71,0.63
71.25,0.631
71.5,0.631
71.75,0.631
72,0.632
72.25,0.632
72.5,0.633
72.75,0.633
73,0.634
73.25,0.634
73.5,0.635
73.75,0.635
74,0.636
74.25,0.636
74.5,0.636
74.75,0.637
75,0.637
75.25,0.637
75.5,0.638
75.75,0.638
76,0.639
76.25,0.639
76.5,0.64
76.75,0.64
77,0.64
77.25,0.64
77.5,0.641
77.75,0.641
78,0.642
78.25,0.642
78.5,0.643
78.75,0.643
79,0.643
79.25,0.644
79.5,0.644
79.75,0.644
80,0.645
80.25,0.645
80.5,0.645
80.75,0.645
81,0.646
81.25,0.646
81.5,0.646
81.75,0.647
82,0.647
82.25,0.648
82.5,0.648
82.75,0.648
83,0.648
83.25,0.649
83.5,0.649
83.75,0.649
84,0.65
84.25,0.65
84.5,0.651
84.75,0.651
85,0.651
85.25,0.651
85.5,0.652
85.75,0.652
86,0.652
86.25,0.653
86.5,0.652
86.75,0.653
87,0.654
87.25,0.653
87.5,0.653
87.75,0.654
88,0.654
88.25,0.654
88.5,0.654
88.75,0.655
89,0.655
89.25,0.655
89.5,0.655
89.75,0.655
90,0.656
90.25,0.656
90.5,0.656
90.75,0.656
91,0.656
91.25,0.657
91.5,0.657
91.75,0.657
92,0.657
92.25,0.657
92.5,0.657
92.75,0.658
93,0.658
93.25,0.658
93.5,0.658
93.75,0.658
94,0.659
94.25,0.658
