time,AO,LB,LP
2,0,0.154,0
2.25,0,0.154,0
2.5,0,0.154,0
2.75,0,0.154,0
3,0,0.154,0
3.25,0,0.155,0
3.5,0,0.155,0
3.75,0,0.155,0
4,0,0.155,0
4.25,0,0.155,0
4.5,0,0.156,0
4.75,0,0.156,0
5,0,0.156,0
5.25,0,0.157,0
5.5,0,0.157,0
5.75,0,0.158,0
6,0,0.158,0
6.25,0,0.159,0
6.5,0,0.159,0
6.75,0,0.16,0
7,0,0.161,0
7.25,0,0.162,0
7.5,0,0.164,0
7.75,0,0.165,0
8,0,0.167,0
8.25,0,0.168,0
8.5,0,0.171,0
8.75,0,0.174,0
9,0,0.177,0
9.25,0,0.179,0
9.5,0,0.182,0
9.75,0,0.185,0
10,0,0.188,0
10.25,0,0.191,0
10.5,0,0.196,0
10.75,0,0.199,0
11,0,0.203,0
11.25,0,0.207,0
11.5,0,0.212,0
11.75,0,0.216,0
12,0,0.221,0
12.25,0,0.226,0
12.5,0,0.229,0
12.75,0,0.234,0
13,0,0.24,0
13.25,0,0.244,0
13.5,0,0.248,0
13.75,0,0.253,0
14,0,0.257,0
14.25,0,0.261,0
14.5,0,0.267,0
14.75,0,0.27,0
15,0,0.276,0
15.25,0,0.281,0
15.5,0,0.286,0
15.75,0,0.29,0
16,0,0.296,0
16.25,0,0.3,0
16.5,0,0.306,0
16.75,0,0.311,0
17,0,0.316,0
17.25,0,0.321,0
17.5,0,0.323,0
17.75,0,0.328,0
18,0,0.331,0
18.25,0,0.336,0
18.5,0,0.34,0
18.75,0,0.344,0
19,0,0.346,0
19.25,0,0.351,0
19.5,0,0.353,0
19.75,0,0.358,0
20,0,0.361,0
20.25,0,0.363,0
20.5,0,0.366,0
20.75,0,0.369,0
21,0,0.372,0
21.25,0,0.377,0
21.5,0,0.38,0
21.75,0,0.383,0
22,0,0.388,0
22.25,0,0.39,0
22.5,0,0.395,0
22.75,0,0.397,0
23,0,0.401,0
23.25,0,0.403,0
23.5,0,0.407,0
23.75,0,0.409,0
24,0,0.413,0
24.25,0,0.416,0
24.5,0,0.419,0
24.75,0,0.422,0
25,0,0.426,0
25.25,0,0.428,0
25.5,0,0.431,0
25.75,0,0.435,0
26,0,0.438,0
26.25,0,0.442,0
26.5,0,0.444,0
26.75,0,0.449,0
27,0,0.452,0
27.25,0,0.454,0
27.5,0,0.459,0
27.75,0,0.461,0
28,0,0.464,0
28.25,0,0.468,0
28.5,0,0.47,0
28.75,0,0.473,0
29,0,0.477,0
29.25,0,0.478,0
29.5,0,0.481,0
29.75,0,0.484,0
30,0,0.488,0
30.25,0,0.49,0
30.5,0,0.493,0
30.75,0,0.496,0
31,0,0.497,0
31.25,0,0.5,0
31.5,0,0.502,0
31.75,0,0.505,0
32,0,0.507,0
32.25,0,0.509,0
32.5,0,0.511,0
32.75,0,0.514,0
33,0,0.517,0
33.25,0,0.519,0
33.5,0,0.522,0
33.75,0,0.523,0
34,0,0.524,0
34.25,0,0.527,0
34.5,0,0.529,0
34.75,0,0.53,0
35,0,0.532,0
35.25,0,0.535,0
35.5,0,0.536,0
35.75,0,0.539,0
36,0,0.541,0
36.25,0,0.543,0
36.5,0,0.544,0
36.75,0,0.546,0
37,0,0.548,0
37.25,0,0.549,0
37.5,0,0.551,0
37.75,0,0.553,0
38,0,0.555,0
38.25,0,0.556,0
38.5,0,0.558,0
38.75,0,0.559,0
39,0,0.56,0
39.25,0,0.562,0
39.5,0,0.563,0
39.75,0,0.564,0
40,0,0.565,0
40.25,0,0.567,0
40.5,0,0.568,0
40.75,0,0.57,0
41,0,0.571,0
41.25,0,0.573,0
41.5,0,0.574,0
41.75,0,0.576,0
42,0,0.577,0
42.25,0,0.578,0
42.5,0,0.58,0
42.75,0,0.58,0
43,0,0.582,0
43.25,0,0.582,0
43.5,0,0.583,0
43.75,0,0.585,0
44,0,0.586,0
44.25,0,0.587,0
44.5,0,0.588,0
44.75,0,0.588,0
45,0,0.59,0
45.25,0,0.591,0
45.5,0,0.592,0
45.75,0,0.592,0
46,0,0.593,0
46.25,0,0.594,0
46.5,0,0.595,0
46.75,0,0.596,0
47,0,0.597,0
47.25,0,0.598,0
47.5,0,0.599,0
47.75,0,0.6,0
48,0,0.601,0
48.25,0,0.602,0
48.5,0,0.603,0
48.75,0,0.604,0
49,0,0.604,0
49.25,0,0.606,0
49.5,0,0.606,0
49.75,0,0.607,0
50,0,0.608,0
50.25,0,0.609,0
50.5,0,0.61,0
50.75,0,0.611,0
51,0,0.611,0
51.25,0,0.612,0
51.5,0,0.613,0
51.75,0,0.613,0
52,0,0.614,0
52.25,0,0.615,0
52.5,0,0.616,0
52.75,0,0.616,0
53,0,0.618,0
53.25,0,0.618,0
53.5,0,0.618,0
53.75,0,0.619,0
54,0,0.62,0
54.25,0,0.621,0
54.5,0,0.622,0
54.75,0,0.622,0
55,0,0.623,0
55.25,0,0.624,0
55.5,0,0.624,0
55.75,0,0.625,0
56,0,0.626,0
56.25,0,0.627,0
56.5,0,0.627,0
56.75,0,0.628,0
57,0,0.629,0
57.25,0,0.629,0
57.5,0,0.63,0
57.75,0,0.63,0
58,0,0.63,0
58.25,0,0.631,0
58.5,0,0.632,0
58.75,0,0.633,0
59,0,0.634,0
59.25,0,0.635,0
59.5,0,0.635,0
59.75,0,0.636,0
60,0,0.637,0
60.25,0,0.638,0
60.5,0,0.638,0
60.75,0,0.638,0
61,0,0.639,0
61.25,0,0.64,0
61.5,0,0.641,0
61.75,0,0.641,0
62,0,0.642,0
62.25,0,0.642,0
62.5,0,0.643,0
62.75,0,0.644,0
63,0,0.644,0
63.25,0,0.645,0
63.5,0,0.646,0
63.75,0,0.647,0
64,0,0.647,0
64.25,0,0.648,0
64.5,0,0.648,0
64.75,0,0.649,0
65,0,0.649,0
65.25,0,0.65,0
65.5,0,0.651,0
65.75,0,0.652,0
66,0,0.652,0
66.25,0,0.653,0
66.5,0,0.653,0
66.75,0,0.654,0
67,0,0.655,0
67.25,0,0.655,0
67.5,0,0.656,0
67.75,0,0.656,0
68,0,0.656,0
68.25,0,0.657,0
68.5,0,0.657,0
68.75,0,0.658,0
69,0,0.659,0
69.25,0,0.66,0
69.5,0,0.659,0
69.75,0,0.66,0
70,0,0.661,0
70.25,0,0.661,0
70.5,0,0.662,0
70.75,0,0.662,0
71,0,0.662,0
71.25,0,0.664,0
71.5,0,0.664,0
71.75,0,0.664,0
72,0,0.665,0
72.25,0,0.666,0
72.5,0,0.666,0
72.75,0,0.667,0
73,0,0.667,0
73.25,0,0.667,0
73.5,0,0.668,0
73.75,0,0.668,0
74,0,0.669,0
74.25,0,0.669,0
74.5,0,0.669,0
74.75,0,0.67,0
75,0,0.67,0
75.25,0,0.671,0
75.5,0,0.671,0
75.75,0,0.672,0
