time,replicate,AO,LP,LB
0,B6,0,0,0.161
0.25,B6,0,0,0.163
0.5,B6,0,0,0.163
0.75,B6,0,0,0.163
1,B6,0,0,0.163
1.25,B6,0,0,0.164
1.5,B6,0,0,0.164
1.75,B6,0,0,0.164
2,B6,0,0,0.164
2.25,B6,0,0,0.164
2.5,B6,0,0,0.165
2.75,B6,0,0,0.165
3,B6,0,0,0.165
3.25,B6,0,0,0.165
3.5,B6,0,0,0.165
3.75,B6,0,0,0.165
4,B6,0,0,0.166
4.25,B6,0,0,0.166
4.5,B6,0,0,0.166
4.75,B6,0,0,0.166
5,B6,0,0,0.167
5.25,B6,0,0,0.167
5.5,B6,0,0,0.167
5.75,B6,0,0,0.168
6,B6,0,0,0.168
6.25,B6,0,0,0.169
6.5,B6,0,0,0.169
6.75,B6,0,0,0.17
7,B6,0,0,0.17
7.25,B6,0,0,0.172
7.5,B6,0,0,0.172
7.75,B6,0,0,0.173
8,B6,0,0,0.174
8.25,B6,0,0,0.175
8.5,B6,0,0,0.177
8.75,B6,0,0,0.179
9,B6,0,0,0.18
9.25,B6,0,0,0.182
9.5,B6,0,0,0.184
9.75,B6,0,0,0.186
10,B6,0,0,0.189
10.25,B6,0,0,0.192
10.5,B6,0,0,0.195
10.75,B6,0,0,0.197
11,B6,0,0,0.2
11.25,B6,0,0,0.203
11.5,B6,0,0,0.206
11.75,B6,0,0,0.209
12,B6,0,0,0.211
12.25,B6,0,0,0.215
12.5,B6,0,0,0.218
12.75,B6,0,0,0.22
13,B6,0,0,0.223
13.25,B6,0,0,0.227
13.5,B6,0,0,0.231
13.75,B6,0,0,0.234
14,B6,0,0,0.237
14.25,B6,0,0,0.24
14.5,B6,0,0,0.242
14.75,B6,0,0,0.246
15,B6,0,0,0.249
15.25,B6,0,0,0.251
15.5,B6,0,0,0.254
15.75,B6,0,0,0.256
16,B6,0,0,0.259
16.25,B6,0,0,0.261
16.5,B6,0,0,0.263
16.75,B6,0,0,0.265
17,B6,0,0,0.266
17.25,B6,0,0,0.268
17.5,B6,0,0,0.268
17.75,B6,0,0,0.268
18,B6,0,0,0.271
18.25,B6,0,0,0.273
18.5,B6,0,0,0.277
18.75,B6,0,0,0.279
19,B6,0,0,0.28
19.25,B6,0,0,0.28
19.5,B6,0,0,0.282
19.75,B6,0,0,0.284
20,B6,0,0,0.284
20.25,B6,0,0,0.286
20.5,B6,0,0,0.287
20.75,B6,0,0,0.288
21,B6,0,0,0.289
21.25,B6,0,0,0.29
21.5,B6,0,0,0.292
21.75,B6,0,0,0.293
22,B6,0,0,0.294
22.25,B6,0,0,0.293
22.5,B6,0,0,0.294
22.75,B6,0,0,0.295
23,B6,0,0,0.296
23.25,B6,0,0,0.298
23.5,B6,0,0,0.298
23.75,B6,0,0,0.299
24,B6,0,0,0.299
24.25,B6,0,0,0.3
24.5,B6,0,0,0.301
24.75,B6,0,0,0.303
25,B6,0,0,0.304
25.25,B6,0,0,0.304
25.5,B6,0,0,0.304
25.75,B6,0,0,0.304
26,B6,0,0,0.304
26.25,B6,0,0,0.306
26.5,B6,0,0,0.306
26.75,B6,0,0,0.307
27,B6,0,0,0.308
27.25,B6,0,0,0.308
27.5,B6,0,0,0.309
27.75,B6,0,0,0.309
28,B6,0,0,0.309
28.25,B6,0,0,0.31
28.5,B6,0,0,0.311
28.75,B6,0,0,0.311
29,B6,0,0,0.311
29.25,B6,0,0,0.312
29.5,B6,0,0,0.313
29.75,B6,0,0,0.314
30,B6,0,0,0.314
30.25,B6,0,0,0.315
30.5,B6,0,0,0.316
30.75,B6,0,0,0.316
31,B6,0,0,0.317
31.25,B6,0,0,0.317
31.5,B6,0,0,0.317
31.75,B6,0,0,0.318
32,B6,0,0,0.318
32.25,B6,0,0,0.319
32.5,B6,0,0,0.32
32.75,B6,0,0,0.32
33,B6,0,0,0.32
33.25,B6,0,0,0.321
33.5,B6,0,0,0.321
33.75,B6,0,0,0.322
34,B6,0,0,0.322
34.25,B6,0,0,0.322
34.5,B6,0,0,0.323
34.75,B6,0,0,0.323
35,B6,0,0,0.323
35.25,B6,0,0,0.323
35.5,B6,0,0,0.324
35.75,B6,0,0,0.324
36,B6,0,0,0.325
36.25,B6,0,0,0.325
36.5,B6,0,0,0.325
36.75,B6,0,0,0.326
37,B6,0,0,0.327
37.25,B6,0,0,0.327
37.5,B6,0,0,0.327
37.75,B6,0,0,0.327
38,B6,0,0,0.327
38.25,B6,0,0,0.328
38.5,B6,0,0,0.328
38.75,B6,0,0,0.328
39,B6,0,0,0.328
39.25,B6,0,0,0.329
39.5,B6,0,0,0.329
39.75,B6,0,0,0.329
40,B6,0,0,0.33
40.25,B6,0,0,0.33
40.5,B6,0,0,0.33
40.75,B6,0,0,0.331
41,B6,0,0,0.331
41.25,B6,0,0,0.331
41.5,B6,0,0,0.332
41.75,B6,0,0,0.332
42,B6,0,0,0.332
42.25,B6,0,0,0.332
42.5,B6,0,0,0.333
42.75,B6,0,0,0.333
43,B6,0,0,0.333
43.25,B6,0,0,0.334
43.5,B6,0,0,0.334
43.75,B6,0,0,0.334
44,B6,0,0,0.334
44.25,B6,0,0,0.335
44.5,B6,0,0,0.335
44.75,B6,0,0,0.335
45,B6,0,0,0.335
45.25,B6,0,0,0.336
45.5,B6,0,0,0.336
45.75,B6,0,0,0.336
46,B6,0,0,0.336
46.25,B6,0,0,0.337
46.5,B6,0,0,0.337
46.75,B6,0,0,0.337
47,B6,0,0,0.337
47.25,B6,0,0,0.338
47.5,B6,0,0,0.338
