time,replicate,AO,LP,LB
0,C8,0,0,0.151
0.25,C8,0,0,0.151
0.5,C8,0,0,0.151
0.75,C8,0,0,0.151
1,C8,0,0,0.15
1.25,C8,0,0,0.15
1.5,C8,0,0,0.15
1.75,C8,0,0,0.151
2,C8,0,0,0.151
2.25,C8,0,0,0.151
2.5,C8,0,0,0.151
2.75,C8,0,0,0.151
3,C8,0,0,0.151
3.25,C8,0,0,0.151
3.5,C8,0,0,0.152
3.75,C8,0,0,0.152
4,C8,0,0,0.152
4.25,C8,0,0,0.152
4.5,C8,0,0,0.153
4.75,C8,0,0,0.153
5,C8,0,0,0.153
5.25,C8,0,0,0.154
5.5,C8,0,0,0.154
5.75,C8,0,0,0.155
6,C8,0,0,0.155
6.25,C8,0,0,0.157
6.5,C8,0,0,0.157
6.75,C8,0,0,0.158
7,C8,0,0,0.159
7.25,C8,0,0,0.161
7.5,C8,0,0,0.163
7.75,C8,0,0,0.164
8,C8,0,0,0.167
8.25,C8,0,0,0.169
8.5,C8,0,0,0.172
8.75,C8,0,0,0.174
9,C8,0,0,0.177
9.25,C8,0,0,0.18
9.5,C8,0,0,0.184
9.75,C8,0,0,0.189
10,C8,0,0,0.192
10.25,C8,0,0,0.196
10.5,C8,0,0,0.2
10.75,C8,0,0,0.205
11,C8,0,0,0.209
11.25,C8,0,0,0.214
11.5,C8,0,0,0.218
11.75,C8,0,0,0.224
12,C8,0,0,0.227
12.25,C8,0,0,0.23
12.5,C8,0,0,0.235
12.75,C8,0,0,0.24
13,C8,0,0,0.244
13.25,C8,0,0,0.246
13.5,C8,0,0,0.248
13.75,C8,0,0,0.254
14,C8,0,0,0.255
14.25,C8,0,0,0.26
14.5,C8,0,0,0.264
14.75,C8,0,0,0.266
15,C8,0,0,0.269
15.25,C8,0,0,0.27
15.5,C8,0,0,0.274
15.75,C8,0,0,0.275
16,C8,0,0,0.278
16.25,C8,0,0,0.281
16.5,C8,0,0,0.283
16.75,C8,0,0,0.285
17,C8,0,0,0.284
17.25,C8,0,0,0.285
17.5,C8,0,0,0.285
17.75,C8,0,0,0.288
18,C8,0,0,0.291
18.25,C8,0,0,0.293
18.5,C8,0,0,0.297
18.75,C8,0,0,0.295
19,C8,0,0,0.299
19.25,C8,0,0,0.299
19.5,C8,0,0,0.302
19.75,C8,0,0,0.305
20,C8,0,0,0.302
20.25,C8,0,0,0.301
20.5,C8,0,0,0.303
20.75,C8,0,0,0.306
21,C8,0,0,0.306
21.25,C8,0,0,0.306
21.5,C8,0,0,0.307
21.75,C8,0,0,0.309
22,C8,0,0,0.314
22.25,C8,0,0,0.311
22.5,C8,0,0,0.314
22.75,C8,0,0,0.316
23,C8,0,0,0.314
23.25,C8,0,0,0.315
23.5,C8,0,0,0.316
23.75,C8,0,0,0.317
24,C8,0,0,0.32
24.25,C8,0,0,0.321
24.5,C8,0,0,0.32
24.75,C8,0,0,0.322
25,C8,0,0,0.321
25.25,C8,0,0,0.323
25.5,C8,0,0,0.323
25.75,C8,0,0,0.326
26,C8,0,0,0.328
26.25,C8,0,0,0.328
26.5,C8,0,0,0.326
26.75,C8,0,0,0.328
27,C8,0,0,0.328
27.25,C8,0,0,0.329
27.5,C8,0,0,0.33
27.75,C8,0,0,0.332
28,C8,0,0,0.332
28.25,C8,0,0,0.334
28.5,C8,0,0,0.333
28.75,C8,0,0,0.334
29,C8,0,0,0.335
29.25,C8,0,0,0.335
29.5,C8,0,0,0.336
29.75,C8,0,0,0.338
30,C8,0,0,0.338
30.25,C8,0,0,0.339
30.5,C8,0,0,0.34
30.75,C8,0,0,0.34
31,C8,0,0,0.341
31.25,C8,0,0,0.341
31.5,C8,0,0,0.342
31.75,C8,0,0,0.343
32,C8,0,0,0.343
32.25,C8,0,0,0.343
32.5,C8,0,0,0.344
32.75,C8,0,0,0.344
33,C8,0,0,0.346
33.25,C8,0,0,0.346
33.5,C8,0,0,0.346
33.75,C8,0,0,0.347
34,C8,0,0,0.348
34.25,C8,0,0,0.349
34.5,C8,0,0,0.349
34.75,C8,0,0,0.35
35,C8,0,0,0.35
35.25,C8,0,0,0.351
35.5,C8,0,0,0.351
35.75,C8,0,0,0.352
36,C8,0,0,0.352
36.25,C8,0,0,0.353
36.5,C8,0,0,0.353
36.75,C8,0,0,0.354
37,C8,0,0,0.354
37.25,C8,0,0,0.355
37.5,C8,0,0,0.355
37.75,C8,0,0,0.356
38,C8,0,0,0.356
38.25,C8,0,0,0.357
38.5,C8,0,0,0.357
38.75,C8,0,0,0.358
39,C8,0,0,0.358
39.25,C8,0,0,0.359
39.5,C8,0,0,0.359
39.75,C8,0,0,0.359
40,C8,0,0,0.36
40.25,C8,0,0,0.361
40.5,C8,0,0,0.362
40.75,C8,0,0,0.362
41,C8,0,0,0.362
41.25,C8,0,0,0.362
41.5,C8,0,0,0.363
41.75,C8,0,0,0.363
42,C8,0,0,0.363
42.25,C8,0,0,0.364
42.5,C8,0,0,0.364
42.75,C8,0,0,0.365
43,C8,0,0,0.366
43.25,C8,0,0,0.366
43.5,C8,0,0,0.366
43.75,C8,0,0,0.367
44,C8,0,0,0.368
44.25,C8,0,0,0.368
44.5,C8,0,0,0.368
44.75,C8,0,0,0.368
45,C8,0,0,0.368
45.25,C8,0,0,0.369
45.5,C8,0,0,0.369
45.75,C8,0,0,0.37
46,C8,0,0,0.37
46.25,C8,0,0,0.371
46.5,C8,0,0,0.371
46.75,C8,0,0,0.371
47,C8,0,0,0.372
47.25,C8,0,0,0.372
47.5,C8,0,0,0.373
47.75,C8,0,0,0.372
48,C8,0,0,0.373
48.25,C8,0,0,0.374
48.5,C8,0,0,0.374
48.75,C8,0,0,0.374
49,C8,0,0,0.374
49.25,C8,0,0,0.375
49.5,C8,0,0,0.375
49.75,C8,0,0,0.376
50,C8,0,0,0.376
50.25,C8,0,0,0.376
50.5,C8,0,0,0.377
50.75,C8,0,0,0.377
51,C8,0,0,0.377
51.25,C8,0,0,0.377
51.5,C8,0,0,0.377
51.75,C8,0,0,0.377
52,C8,0,0,0.378
52.25,C8,0,0,0.378
52.5,C8,0,0,0.378
52.75,C8,0,0,0.379
53,C8,0,0,0.379
53.25,C8,0,0,0.379
53.5,C8,0,0,0.379
53.75,C8,0,0,0.38
54,C8,0,0,0.38
54.25,C8,0,0,0.38
54.5,C8,0,0,0.38
54.75,C8,0,0,0.38
55,C8,0,0,0.38
55.25,C8,0,0,0.381
55.5,C8,0,0,0.381
55.75,C8,0,0,0.382
56,C8,0,0,0.382
56.25,C8,0,0,0.382
56.5,C8,0,0,0.382
56.75,C8,0,0,0.382
57,C8,0,0,0.382
57.25,C8,0,0,0.383
57.5,C8,0,0,0.383
57.75,C8,0,0,0.383
58,C8,0,0,0.383
58.25,C8,0,0,0.383
58.5,C8,0,0,0.384
58.75,C8,0,0,0.384
59,C8,0,0,0.384
59.25,C8,0,0,0.384
59.5,C8,0,0,0.385
59.75,C8,0,0,0.385
60,C8,0,0,0.385
60.25,C8,0,0,0.385
60.5,C8,0,0,0.385
60.75,C8,0,0,0.386
61,C8,0,0,0.386
61.25,C8,0,0,0.386
61.5,C8,0,0,0.386
61.75,C8,0,0,0.387
62,C8,0,0,0.387
62.25,C8,0,0,0.387
62.5,C8,0,0,0.387
62.75,C8,0,0,0.387
63,C8,0,0,0.387
63.25,C8,0,0,0.388
63.5,C8,0,0,0.388
63.75,C8,0,0,0.388
64,C8,0,0,0.388
64.25,C8,0,0,0.388
64.5,C8,0,0,0.388
64.75,C8,0,0,0.388
65,C8,0,0,0.389
65.25,C8,0,0,0.389
65.5,C8,0,0,0.389
65.75,C8,0,0,0.389
66,C8,0,0,0.389
66.25,C8,0,0,0.389
66.5,C8,0,0,0.389
66.75,C8,0,0,0.389
67,C8,0,0,0.389
67.25,C8,0,0,0.39
67.5,C8,0,0,0.39
67.75,C8,0,0,0.39
68,C8,0,0,0.39
68.25,C8,0,0,0.39
68.5,C8,0,0,0.39
68.75,C8,0,0,0.39
69,C8,0,0,0.39
69.25,C8,0,0,0.391
69.5,C8,0,0,0.391
69.75,C8,0,0,0.391
70,C8,0,0,0.391
70.25,C8,0,0,0.391
70.5,C8,0,0,0.392
70.75,C8,0,0,0.392
71,C8,0,0,0.392
71.25,C8,0,0,0.392
71.5,C8,0,0,0.392
71.75,C8,0,0,0.392
72,C8,0,0,0.392
72.25,C8,0,0,0.392
72.5,C8,0,0,0.392
72.75,C8,0,0,0.393
73,C8,0,0,0.393
73.25,C8,0,0,0.393
73.5,C8,0,0,0.393
73.75,C8,0,0,0.393
74,C8,0,0,0.393
74.25,C8,0,0,0.393
74.5,C8,0,0,0.393
74.75,C8,0,0,0.393
75,C8,0,0,0.393
75.25,C8,0,0,0.393
75.5,C8,0,0,0.393
75.75,C8,0,0,0.393
76,C8,0,0,0.393
76.25,C8,0,0,0.393
76.5,C8,0,0,0.394
76.75,C8,0,0,0.394
77,C8,0,0,0.394
77.25,C8,0,0,0.394
77.5,C8,0,0,0.394
77.75,C8,0,0,0.394
78,C8,0,0,0.394
78.25,C8,0,0,0.394
78.5,C8,0,0,0.394
78.75,C8,0,0,0.394
79,C8,0,0,0.394
79.25,C8,0,0,0.394
79.5,C8,0,0,0.395
79.75,C8,0,0,0.395
80,C8,0,0,0.395
80.25,C8,0,0,0.395
80.5,C8,0,0,0.395
80.75,C8,0,0,0.395
81,C8,0,0,0.394
81.25,C8,0,0,0.395
81.5,C8,0,0,0.395
81.75,C8,0,0,0.395
82,C8,0,0,0.395
82.25,C8,0,0,0.395
82.5,C8,0,0,0.395
82.75,C8,0,0,0.395
83,C8,0,0,0.395
83.25,C8,0,0,0.395
83.5,C8,0,0,0.395
83.75,C8,0,0,0.396
84,C8,0,0,0.395
84.25,C8,0,0,0.395
84.5,C8,0,0,0.395
84.75,C8,0,0,0.396
85,C8,0,0,0.395
85.25,C8,0,0,0.396
85.5,C8,0,0,0.396
85.75,C8,0,0,0.396
86,C8,0,0,0.396
86.25,C8,0,0,0.396
86.5,C8,0,0,0.396
86.75,C8,0,0,0.396
87,C8,0,0,0.396
87.25,C8,0,0,0.396
87.5,C8,0,0,0.396
87.75,C8,0,0,0.396
88,C8,0,0,0.396
88.25,C8,0,0,0.396
88.5,C8,0,0,0.396
88.75,C8,0,0,0.396
89,C8,0,0,0.396
89.25,C8,0,0,0.396
89.5,C8,0,0,0.396
89.75,C8,0,0,0.396
90,C8,0,0,0.396
90.25,C8,0,0,0.396
90.5,C8,0,0,0.396
90.75,C8,0,0,0.396
91,C8,0,0,0.397
91.25,C8,0,0,0.396
