time,replicate,AO,LP,LB
0,D6,0,0,0.16
0.25,D6,0,0,0.159
0.5,D6,0,0,0.159
0.75,D6,0,0,0.159
1,D6,0,0,0.158
1.25,D6,0,0,0.158
1.5,D6,0,0,0.159
1.75,D6,0,0,0.159
2,D6,0,0,0.159
2.25,D6,0,0,0.159
2.5,D6,0,0,0.159
2.75,D6,0,0,0.159
3,D6,0,0,0.159
3.25,D6,0,0,0.159
3.5,D6,0,0,0.16
3.75,D6,0,0,0.16
4,D6,0,0,0.16
4.25,D6,0,0,0.16
4.5,D6,0,0,0.161
4.75,D6,0,0,0.162
5,D6,0,0,0.162
5.25,D6,0,0,0.163
5.5,D6,0,0,0.163
5.75,D6,0,0,0.163
6,D6,0,0,0.164
6.25,D6,0,0,0.165
6.5,D6,0,0,0.165
6.75,D6,0,0,0.166
7,D6,0,0,0.167
7.25,D6,0,0,0.168
7.5,D6,0,0,0.169
7.75,D6,0,0,0.171
8,D6,0,0,0.172
8.25,D6,0,0,0.173
8.5,D6,0,0,0.175
8.75,D6,0,0,0.177
9,D6,0,0,0.178
9.25,D6,0,0,0.18
9.5,D6,0,0,0.183
9.75,D6,0,0,0.185
10,D6,0,0,0.188
10.25,D6,0,0,0.191
10.5,D6,0,0,0.193
10.75,D6,0,0,0.196
11,D6,0,0,0.199
11.25,D6,0,0,0.202
11.5,D6,0,0,0.205
11.75,D6,0,0,0.209
12,D6,0,0,0.213
12.25,D6,0,0,0.215
12.5,D6,0,0,0.219
12.75,D6,0,0,0.222
13,D6,0,0,0.222
13.25,D6,0,0,0.226
13.5,D6,0,0,0.23
13.75,D6,0,0,0.233
14,D6,0,0,0.237
14.25,D6,0,0,0.239
14.5,D6,0,0,0.24
14.75,D6,0,0,0.243
15,D6,0,0,0.246
15.25,D6,0,0,0.248
15.5,D6,0,0,0.25
15.75,D6,0,0,0.253
16,D6,0,0,0.254
16.25,D6,0,0,0.256
16.5,D6,0,0,0.258
16.75,D6,0,0,0.259
17,D6,0,0,0.258
17.25,D6,0,0,0.262
17.5,D6,0,0,0.264
17.75,D6,0,0,0.265
18,D6,0,0,0.267
18.25,D6,0,0,0.268
18.5,D6,0,0,0.27
18.75,D6,0,0,0.271
19,D6,0,0,0.272
19.25,D6,0,0,0.273
19.5,D6,0,0,0.274
19.75,D6,0,0,0.275
20,D6,0,0,0.275
20.25,D6,0,0,0.277
20.5,D6,0,0,0.279
20.75,D6,0,0,0.279
21,D6,0,0,0.281
21.25,D6,0,0,0.281
21.5,D6,0,0,0.282
21.75,D6,0,0,0.283
22,D6,0,0,0.283
22.25,D6,0,0,0.285
22.5,D6,0,0,0.285
22.75,D6,0,0,0.285
23,D6,0,0,0.287
23.25,D6,0,0,0.288
23.5,D6,0,0,0.288
23.75,D6,0,0,0.289
24,D6,0,0,0.289
24.25,D6,0,0,0.29
24.5,D6,0,0,0.29
24.75,D6,0,0,0.291
25,D6,0,0,0.293
25.25,D6,0,0,0.293
25.5,D6,0,0,0.294
25.75,D6,0,0,0.295
26,D6,0,0,0.295
26.25,D6,0,0,0.296
26.5,D6,0,0,0.296
26.75,D6,0,0,0.297
27,D6,0,0,0.297
27.25,D6,0,0,0.298
27.5,D6,0,0,0.299
27.75,D6,0,0,0.299
28,D6,0,0,0.3
28.25,D6,0,0,0.3
28.5,D6,0,0,0.3
28.75,D6,0,0,0.301
29,D6,0,0,0.302
29.25,D6,0,0,0.303
29.5,D6,0,0,0.304
29.75,D6,0,0,0.304
30,D6,0,0,0.305
30.25,D6,0,0,0.305
30.5,D6,0,0,0.306
30.75,D6,0,0,0.306
31,D6,0,0,0.306
31.25,D6,0,0,0.307
31.5,D6,0,0,0.307
31.75,D6,0,0,0.308
32,D6,0,0,0.308
32.25,D6,0,0,0.309
32.5,D6,0,0,0.31
32.75,D6,0,0,0.31
33,D6,0,0,0.31
33.25,D6,0,0,0.31
33.5,D6,0,0,0.311
33.75,D6,0,0,0.311
34,D6,0,0,0.312
34.25,D6,0,0,0.312
34.5,D6,0,0,0.313
34.75,D6,0,0,0.313
35,D6,0,0,0.314
35.25,D6,0,0,0.314
35.5,D6,0,0,0.315
35.75,D6,0,0,0.315
36,D6,0,0,0.315
36.25,D6,0,0,0.316
36.5,D6,0,0,0.316
36.75,D6,0,0,0.317
37,D6,0,0,0.317
37.25,D6,0,0,0.317
37.5,D6,0,0,0.318
37.75,D6,0,0,0.318
38,D6,0,0,0.319
38.25,D6,0,0,0.319
38.5,D6,0,0,0.32
38.75,D6,0,0,0.32
39,D6,0,0,0.32
39.25,D6,0,0,0.321
39.5,D6,0,0,0.321
39.75,D6,0,0,0.321
40,D6,0,0,0.322
40.25,D6,0,0,0.322
40.5,D6,0,0,0.322
40.75,D6,0,0,0.322
41,D6,0,0,0.323
41.25,D6,0,0,0.323
41.5,D6,0,0,0.324
41.75,D6,0,0,0.324
42,D6,0,0,0.324
42.25,D6,0,0,0.325
42.5,D6,0,0,0.325
42.75,D6,0,0,0.325
43,D6,0,0,0.325
43.25,D6,0,0,0.326
43.5,D6,0,0,0.326
43.75,D6,0,0,0.327
44,D6,0,0,0.327
44.25,D6,0,0,0.327
44.5,D6,0,0,0.327
44.75,D6,0,0,0.327
45,D6,0,0,0.328
45.25,D6,0,0,0.328
45.5,D6,0,0,0.328
45.75,D6,0,0,0.329
46,D6,0,0,0.329
46.25,D6,0,0,0.329
46.5,D6,0,0,0.329
46.75,D6,0,0,0.329
47,D6,0,0,0.33
47.25,D6,0,0,0.33
47.5,D6,0,0,0.33
47.75,D6,0,0,0.33
48,D6,0,0,0.331
48.25,D6,0,0,0.331
48.5,D6,0,0,0.331
48.75,D6,0,0,0.331
49,D6,0,0,0.331
49.25,D6,0,0,0.332
49.5,D6,0,0,0.332
49.75,D6,0,0,0.332
50,D6,0,0,0.332
50.25,D6,0,0,0.333
50.5,D6,0,0,0.333
50.75,D6,0,0,0.333
51,D6,0,0,0.333
51.25,D6,0,0,0.333
51.5,D6,0,0,0.333
51.75,D6,0,0,0.334
52,D6,0,0,0.334
52.25,D6,0,0,0.334
52.5,D6,0,0,0.334
52.75,D6,0,0,0.335
53,D6,0,0,0.335
53.25,D6,0,0,0.335
53.5,D6,0,0,0.335
53.75,D6,0,0,0.335
54,D6,0,0,0.335
54.25,D6,0,0,0.336
54.5,D6,0,0,0.336
54.75,D6,0,0,0.336
55,D6,0,0,0.336
55.25,D6,0,0,0.336
55.5,D6,0,0,0.336
55.75,D6,0,0,0.336
56,D6,0,0,0.336
56.25,D6,0,0,0.336
56.5,D6,0,0,0.337
56.75,D6,0,0,0.337
57,D6,0,0,0.337
57.25,D6,0,0,0.337
57.5,D6,0,0,0.337
57.75,D6,0,0,0.338
58,D6,0,0,0.337
58.25,D6,0,0,0.338
58.5,D6,0,0,0.338
58.75,D6,0,0,0.338
59,D6,0,0,0.338
59.25,D6,0,0,0.338
59.5,D6,0,0,0.338
59.75,D6,0,0,0.338
60,D6,0,0,0.339
60.25,D6,0,0,0.338
60.5,D6,0,0,0.338
60.75,D6,0,0,0.339
61,D6,0,0,0.339
61.25,D6,0,0,0.339
61.5,D6,0,0,0.339
61.75,D6,0,0,0.339
62,D6,0,0,0.339
62.25,D6,0,0,0.339
62.5,D6,0,0,0.339
62.75,D6,0,0,0.339
63,D6,0,0,0.339
63.25,D6,0,0,0.339
63.5,D6,0,0,0.34
63.75,D6,0,0,0.34
64,D6,0,0,0.34
64.25,D6,0,0,0.34
64.5,D6,0,0,0.34
64.75,D6,0,0,0.34
65,D6,0,0,0.34
65.25,D6,0,0,0.34
65.5,D6,0,0,0.34
65.75,D6,0,0,0.34
66,D6,0,0,0.34
66.25,D6,0,0,0.34
66.5,D6,0,0,0.34
66.75,D6,0,0,0.34
67,D6,0,0,0.34
67.25,D6,0,0,0.34
67.5,D6,0,0,0.34
67.75,D6,0,0,0.34
68,D6,0,0,0.34
68.25,D6,0,0,0.34
68.5,D6,0,0,0.34
68.75,D6,0,0,0.34
69,D6,0,0,0.34
69.25,D6,0,0,0.34
69.5,D6,0,0,0.341
69.75,D6,0,0,0.34
