time,replicate,AO,LP,LB
0,F5,0,0.157,0
0.25,F5,0,0.157,0
0.5,F5,0,0.156,0
0.75,F5,0,0.156,0
1,F5,0,0.156,0
1.25,F5,0,0.156,0
1.5,F5,0,0.155,0
1.75,F5,0,0.155,0
2,F5,0,0.155,0
2.25,F5,0,0.155,0
2.5,F5,0,0.155,0
2.75,F5,0,0.155,0
3,F5,0,0.154,0
3.25,F5,0,0.154,0
3.5,F5,0,0.154,0
3.75,F5,0,0.155,0
4,F5,0,0.155,0
4.25,F5,0,0.155,0
4.5,F5,0,0.155,0
4.75,F5,0,0.155,0
5,F5,0,0.155,0
5.25,F5,0,0.155,0
5.5,F5,0,0.156,0
5.75,F5,0,0.155,0
6,F5,0,0.156,0
6.25,F5,0,0.156,0
6.5,F5,0,0.157,0
6.75,F5,0,0.157,0
7,F5,0,0.158,0
7.25,F5,0,0.158,0
7.5,F5,0,0.159,0
7.75,F5,0,0.16,0
8,F5,0,0.161,0
8.25,F5,0,0.162,0
8.5,F5,0,0.163,0
8.75,F5,0,0.164,0
9,F5,0,0.165,0
9.25,F5,0,0.167,0
9.5,F5,0,0.168,0
9.75,F5,0,0.17,0
10,F5,0,0.172,0
10.25,F5,0,0.173,0
10.5,F5,0,0.175,0
10.75,F5,0,0.177,0
11,F5,0,0.179,0
11.25,F5,0,0.182,0
11.5,F5,0,0.184,0
11.75,F5,0,0.186,0
12,F5,0,0.188,0
12.25,F5,0,0.191,0
12.5,F5,0,0.193,0
12.75,F5,0,0.195,0
13,F5,0,0.198,0
13.25,F5,0,0.201,0
13.5,F5,0,0.203,0
13.75,F5,0,0.206,0
14,F5,0,0.209,0
14.25,F5,0,0.212,0
14.5,F5,0,0.214,0
14.75,F5,0,0.217,0
15,F5,0,0.219,0
15.25,F5,0,0.222,0
15.5,F5,0,0.224,0
15.75,F5,0,0.226,0
16,F5,0,0.229,0
16.25,F5,0,0.231,0
16.5,F5,0,0.233,0
16.75,F5,0,0.235,0
17,F5,0,0.237,0
17.25,F5,0,0.239,0
17.5,F5,0,0.241,0
17.75,F5,0,0.244,0
18,F5,0,0.246,0
18.25,F5,0,0.248,0
18.5,F5,0,0.25,0
18.75,F5,0,0.252,0
19,F5,0,0.254,0
19.25,F5,0,0.256,0
19.5,F5,0,0.258,0
19.75,F5,0,0.259,0
20,F5,0,0.261,0
20.25,F5,0,0.263,0
20.5,F5,0,0.264,0
20.75,F5,0,0.266,0
21,F5,0,0.268,0
21.25,F5,0,0.27,0
21.5,F5,0,0.272,0
21.75,F5,0,0.273,0
22,F5,0,0.275,0
22.25,F5,0,0.277,0
22.5,F5,0,0.278,0
22.75,F5,0,0.28,0
23,F5,0,0.282,0
23.25,F5,0,0.284,0
23.5,F5,0,0.286,0
23.75,F5,0,0.288,0
24,F5,0,0.289,0
24.25,F5,0,0.291,0
24.5,F5,0,0.292,0
24.75,F5,0,0.294,0
25,F5,0,0.296,0
25.25,F5,0,0.297,0
25.5,F5,0,0.299,0
25.75,F5,0,0.301,0
26,F5,0,0.303,0
26.25,F5,0,0.304,0
26.5,F5,0,0.306,0
26.75,F5,0,0.308,0
27,F5,0,0.309,0
27.25,F5,0,0.311,0
27.5,F5,0,0.313,0
27.75,F5,0,0.315,0
28,F5,0,0.317,0
28.25,F5,0,0.318,0
28.5,F5,0,0.32,0
28.75,F5,0,0.322,0
29,F5,0,0.324,0
29.25,F5,0,0.325,0
29.5,F5,0,0.327,0
29.75,F5,0,0.328,0
30,F5,0,0.33,0
30.25,F5,0,0.331,0
30.5,F5,0,0.333,0
30.75,F5,0,0.335,0
31,F5,0,0.336,0
31.25,F5,0,0.338,0
31.5,F5,0,0.339,0
31.75,F5,0,0.341,0
32,F5,0,0.343,0
32.25,F5,0,0.344,0
32.5,F5,0,0.345,0
32.75,F5,0,0.347,0
33,F5,0,0.349,0
33.25,F5,0,0.35,0
33.5,F5,0,0.352,0
33.75,F5,0,0.353,0
34,F5,0,0.355,0
34.25,F5,0,0.356,0
34.5,F5,0,0.358,0
34.75,F5,0,0.359,0
35,F5,0,0.361,0
35.25,F5,0,0.362,0
35.5,F5,0,0.364,0
35.75,F5,0,0.365,0
36,F5,0,0.367,0
36.25,F5,0,0.368,0
36.5,F5,0,0.369,0
36.75,F5,0,0.371,0
37,F5,0,0.372,0
37.25,F5,0,0.373,0
37.5,F5,0,0.375,0
37.75,F5,0,0.376,0
38,F5,0,0.377,0
38.25,F5,0,0.379,0
38.5,F5,0,0.38,0
38.75,F5,0,0.381,0
39,F5,0,0.383,0
39.25,F5,0,0.384,0
39.5,F5,0,0.385,0
39.75,F5,0,0.387,0
40,F5,0,0.388,0
40.25,F5,0,0.39,0
40.5,F5,0,0.391,0
40.75,F5,0,0.392,0
41,F5,0,0.393,0
41.25,F5,0,0.395,0
41.5,F5,0,0.396,0
41.75,F5,0,0.397,0
42,F5,0,0.399,0
42.25,F5,0,0.4,0
42.5,F5,0,0.402,0
42.75,F5,0,0.403,0
43,F5,0,0.404,0
43.25,F5,0,0.406,0
43.5,F5,0,0.406,0
43.75,F5,0,0.407,0
44,F5,0,0.408,0
44.25,F5,0,0.41,0
44.5,F5,0,0.411,0
44.75,F5,0,0.412,0
45,F5,0,0.414,0
45.25,F5,0,0.415,0
45.5,F5,0,0.416,0
45.75,F5,0,0.417,0
46,F5,0,0.418,0
46.25,F5,0,0.42,0
46.5,F5,0,0.421,0
46.75,F5,0,0.422,0
47,F5,0,0.423,0
47.25,F5,0,0.424,0
47.5,F5,0,0.425,0
47.75,F5,0,0.426,0
48,F5,0,0.427,0
48.25,F5,0,0.428,0
48.5,F5,0,0.43,0
48.75,F5,0,0.431,0
49,F5,0,0.431,0
49.25,F5,0,0.433,0
49.5,F5,0,0.434,0
49.75,F5,0,0.435,0
50,F5,0,0.436,0
50.25,F5,0,0.437,0
50.5,F5,0,0.438,0
50.75,F5,0,0.439,0
51,F5,0,0.44,0
51.25,F5,0,0.441,0
51.5,F5,0,0.443,0
51.75,F5,0,0.443,0
52,F5,0,0.445,0
52.25,F5,0,0.445,0
52.5,F5,0,0.447,0
52.75,F5,0,0.448,0
53,F5,0,0.449,0
53.25,F5,0,0.449,0
53.5,F5,0,0.45,0
53.75,F5,0,0.451,0
54,F5,0,0.452,0
54.25,F5,0,0.453,0
54.5,F5,0,0.454,0
54.75,F5,0,0.455,0
55,F5,0,0.456,0
55.25,F5,0,0.457,0
55.5,F5,0,0.458,0
55.75,F5,0,0.459,0
56,F5,0,0.459,0
56.25,F5,0,0.46,0
56.5,F5,0,0.461,0
56.75,F5,0,0.462,0
57,F5,0,0.463,0
57.25,F5,0,0.464,0
57.5,F5,0,0.465,0
57.75,F5,0,0.466,0
58,F5,0,0.466,0
58.25,F5,0,0.467,0
58.5,F5,0,0.468,0
58.75,F5,0,0.469,0
59,F5,0,0.47,0
59.25,F5,0,0.47,0
59.5,F5,0,0.471,0
59.75,F5,0,0.472,0
60,F5,0,0.472,0
60.25,F5,0,0.473,0
60.5,F5,0,0.474,0
60.75,F5,0,0.475,0
61,F5,0,0.476,0
61.25,F5,0,0.477,0
61.5,F5,0,0.477,0
61.75,F5,0,0.478,0
62,F5,0,0.479,0
62.25,F5,0,0.479,0
62.5,F5,0,0.48,0
62.75,F5,0,0.481,0
63,F5,0,0.482,0
63.25,F5,0,0.483,0
63.5,F5,0,0.483,0
63.75,F5,0,0.484,0
64,F5,0,0.485,0
64.25,F5,0,0.485,0
64.5,F5,0,0.486,0
64.75,F5,0,0.487,0
65,F5,0,0.487,0
65.25,F5,0,0.488,0
65.5,F5,0,0.489,0
65.75,F5,0,0.489,0
66,F5,0,0.49,0
66.25,F5,0,0.491,0
66.5,F5,0,0.491,0
66.75,F5,0,0.492,0
67,F5,0,0.493,0
67.25,F5,0,0.493,0
67.5,F5,0,0.494,0
67.75,F5,0,0.495,0
68,F5,0,0.495,0
68.25,F5,0,0.496,0
68.5,F5,0,0.497,0
68.75,F5,0,0.497,0
69,F5,0,0.498,0
69.25,F5,0,0.498,0
69.5,F5,0,0.499,0
69.75,F5,0,0.499,0
70,F5,0,0.5,0
70.25,F5,0,0.501,0
70.5,F5,0,0.501,0
70.75,F5,0,0.502,0
71,F5,0,0.503,0
71.25,F5,0,0.503,0
71.5,F5,0,0.503,0
71.75,F5,0,0.504,0
72,F5,0,0.505,0
72.25,F5,0,0.505,0
72.5,F5,0,0.506,0
72.75,F5,0,0.506,0
73,F5,0,0.507,0
73.25,F5,0,0.507,0
73.5,F5,0,0.508,0
73.75,F5,0,0.509,0
74,F5,0,0.509,0
74.25,F5,0,0.51,0
74.5,F5,0,0.51,0
74.75,F5,0,0.511,0
75,F5,0,0.511,0
75.25,F5,0,0.512,0
75.5,F5,0,0.513,0
75.75,F5,0,0.513,0
76,F5,0,0.514,0
76.25,F5,0,0.514,0
76.5,F5,0,0.515,0
76.75,F5,0,0.515,0
77,F5,0,0.516,0
77.25,F5,0,0.517,0
77.5,F5,0,0.517,0
77.75,F5,0,0.518,0
78,F5,0,0.518,0
78.25,F5,0,0.519,0
78.5,F5,0,0.519,0
78.75,F5,0,0.52,0
79,F5,0,0.52,0
79.25,F5,0,0.521,0
79.5,F5,0,0.521,0
79.75,F5,0,0.522,0
80,F5,0,0.523,0
80.25,F5,0,0.523,0
80.5,F5,0,0.524,0
80.75,F5,0,0.524,0
81,F5,0,0.525,0
81.25,F5,0,0.526,0
81.5,F5,0,0.526,0
81.75,F5,0,0.527,0
82,F5,0,0.527,0
82.25,F5,0,0.528,0
82.5,F5,0,0.528,0
82.75,F5,0,0.529,0
83,F5,0,0.529,0
83.25,F5,0,0.53,0
83.5,F5,0,0.53,0
83.75,F5,0,0.531,0
84,F5,0,0.531,0
84.25,F5,0,0.532,0
84.5,F5,0,0.532,0
84.75,F5,0,0.533,0
85,F5,0,0.534,0
85.25,F5,0,0.534,0
85.5,F5,0,0.535,0
85.75,F5,0,0.535,0
86,F5,0,0.536,0
86.25,F5,0,0.536,0
86.5,F5,0,0.537,0
86.75,F5,0,0.537,0
87,F5,0,0.538,0
87.25,F5,0,0.538,0
87.5,F5,0,0.539,0
87.75,F5,0,0.539,0
88,F5,0,0.539,0
88.25,F5,0,0.54,0
88.5,F5,0,0.541,0
88.75,F5,0,0.541,0
89,F5,0,0.542,0
89.25,F5,0,0.542,0
89.5,F5,0,0.543,0
89.75,F5,0,0.543,0
90,F5,0,0.543,0
90.25,F5,0,0.544,0
90.5,F5,0,0.544,0
90.75,F5,0,0.545,0
91,F5,0,0.545,0
91.25,F5,0,0.546,0
91.5,F5,0,0.547,0
91.75,F5,0,0.547,0
92,F5,0,0.547,0
92.25,F5,0,0.548,0
92.5,F5,0,0.548,0
92.75,F5,0,0.549,0
93,F5,0,0.549,0
93.25,F5,0,0.55,0
93.5,F5,0,0.55,0
93.75,F5,0,0.551,0
94,F5,0,0.551,0
94.25,F5,0,0.552,0
94.5,F5,0,0.552,0
94.75,F5,0,0.553,0
95,F5,0,0.553,0
95.25,F5,0,0.553,0
95.5,F5,0,0.554,0
95.75,F5,0,0.555,0
96,F5,0,0.555,0
