time,AO,LP,LB
0,0,0,0.15
0.25,0,0,0.15
0.5,0,0,0.15
0.75,0,0,0.15
1,0,0,0.149
1.25,0,0,0.15
1.5,0,0,0.15
1.75,0,0,0.15
2,0,0,0.15
2.25,0,0,0.152
2.5,0,0,0.153
2.75,0,0,0.154
3,0,0,0.154
3.25,0,0,0.154
3.5,0,0,0.154
3.75,0,0,0.156
4,0,0,0.156
4.25,0,0,0.156
4.5,0,0,0.156
4.75,0,0,0.156
5,0,0,0.159
5.25,0,0,0.16
5.5,0,0,0.161
5.75,0,0,0.162
6,0,0,0.163
6.25,0,0,0.163
6.5,0,0,0.163
6.75,0,0,0.165
7,0,0,0.166
7.25,0,0,0.167
7.5,0,0,0.168
7.75,0,0,0.168
8,0,0,0.17
8.25,0,0,0.171
8.5,0,0,0.172
8.75,0,0,0.172
9,0,0,0.173
9.25,0,0,0.174
9.5,0,0,0.176
9.75,0,0,0.178
10,0,0,0.181
10.25,0,0,0.182
10.5,0,0,0.184
10.75,0,0,0.188
11,0,0,0.191
11.25,0,0,0.193
11.5,0,0,0.196
11.75,0,0,0.2
12,0,0,0.203
12.25,0,0,0.205
12.5,0,0,0.208
12.75,0,0,0.211
13,0,0,0.214
13.25,0,0,0.218
13.5,0,0,0.22
13.75,0,0,0.223
14,0,0,0.226
14.25,0,0,0.229
14.5,0,0,0.231
14.75,0,0,0.235
15,0,0,0.237
15.25,0,0,0.24
15.5,0,0,0.242
15.75,0,0,0.245
16,0,0,0.247
16.25,0,0,0.248
16.5,0,0,0.249
16.75,0,0,0.251
17,0,0,0.253
17.25,0,0,0.256
17.5,0,0,0.257
17.75,0,0,0.258
18,0,0,0.259
18.25,0,0,0.261
18.5,0,0,0.261
18.75,0,0,0.263
19,0,0,0.264
19.25,0,0,0.263
19.5,0,0,0.266
19.75,0,0,0.267
20,0,0,0.268
20.25,0,0,0.268
20.5,0,0,0.27
20.75,0,0,0.271
21,0,0,0.271
21.25,0,0,0.273
21.5,0,0,0.273
21.75,0,0,0.274
22,0,0,0.275
22.25,0,0,0.276
22.5,0,0,0.277
22.75,0,0,0.278
23,0,0,0.279
23.25,0,0,0.279
23.5,0,0,0.28
23.75,0,0,0.28
24,0,0,0.281
24.25,0,0,0.281
24.5,0,0,0.282
24.75,0,0,0.282
25,0,0,0.283
25.25,0,0,0.284
25.5,0,0,0.285
25.75,0,0,0.285
26,0,0,0.285
26.25,0,0,0.286
26.5,0,0,0.286
26.75,0,0,0.287
27,0,0,0.288
27.25,0,0,0.288
27.5,0,0,0.288
27.75,0,0,0.289
28,0,0,0.29
28.25,0,0,0.291
28.5,0,0,0.291
28.75,0,0,0.291
29,0,0,0.292
29.25,0,0,0.292
29.5,0,0,0.293
29.75,0,0,0.293
30,0,0,0.293
