time,AO,LB,LP
2,0,0.151,0.157
2.25,0,0.151,0.157
2.5,0,0.151,0.157
2.75,0,0.151,0.158
3,0,0.151,0.158
3.25,0,0.151,0.158
3.5,0,0.152,0.158
3.75,0,0.152,0.158
4,0,0.152,0.158
4.25,0,0.152,0.158
4.5,0,0.153,0.158
4.75,0,0.153,0.159
5,0,0.153,0.159
5.25,0,0.154,0.159
5.5,0,0.154,0.16
5.75,0,0.155,0.16
6,0,0.155,0.16
6.25,0,0.157,0.161
6.5,0,0.157,0.161
6.75,0,0.158,0.162
7,0,0.159,0.163
7.25,0,0.161,0.164
7.5,0,0.163,0.165
7.75,0,0.164,0.166
8,0,0.167,0.167
8.25,0,0.169,0.169
8.5,0,0.172,0.17
8.75,0,0.174,0.171
9,0,0.177,0.173
9.25,0,0.18,0.175
9.5,0,0.184,0.176
9.75,0,0.189,0.178
10,0,0.192,0.181
10.25,0,0.196,0.183
10.5,0,0.2,0.185
10.75,0,0.205,0.188
11,0,0.209,0.19
11.25,0,0.214,0.193
11.5,0,0.218,0.196
11.75,0,0.224,0.198
12,0,0.227,0.201
12.25,0,0.23,0.203
12.5,0,0.235,0.206
12.75,0,0.24,0.208
13,0,0.244,0.212
13.25,0,0.246,0.214
13.5,0,0.248,0.217
13.75,0,0.254,0.22
14,0,0.255,0.223
14.25,0,0.26,0.226
14.5,0,0.264,0.229
14.75,0,0.266,0.232
15,0,0.269,0.236
15.25,0,0.27,0.238
15.5,0,0.274,0.241
15.75,0,0.275,0.244
16,0,0.278,0.247
16.25,0,0.281,0.25
16.5,0,0.283,0.253
16.75,0,0.285,0.257
17,0,0.284,0.261
17.25,0,0.285,0.264
17.5,0,0.285,0.266
17.75,0,0.288,0.268
18,0,0.291,0.272
18.25,0,0.293,0.274
18.5,0,0.297,0.277
18.75,0,0.295,0.279
19,0,0.299,0.281
19.25,0,0.299,0.283
19.5,0,0.302,0.285
19.75,0,0.305,0.288
20,0,0.302,0.29
20.25,0,0.301,0.292
20.5,0,0.303,0.295
20.75,0,0.306,0.296
21,0,0.306,0.299
21.25,0,0.306,0.301
21.5,0,0.307,0.303
21.75,0,0.309,0.305
22,0,0.314,0.307
22.25,0,0.311,0.309
22.5,0,0.314,0.311
22.75,0,0.316,0.314
23,0,0.314,0.316
23.25,0,0.315,0.318
