time,LP,LB
2,0.152,0.159
2.25,0.152,0.159
2.5,0.152,0.159
2.75,0.152,0.159
3,0.152,0.159
3.25,0.152,0.159
3.5,0.152,0.16
3.75,0.152,0.16
4,0.153,0.16
4.25,0.153,0.16
4.5,0.153,0.161
4.75,0.154,0.162
5,0.154,0.162
5.25,0.154,0.163
5.5,0.155,0.163
5.75,0.155,0.163
6,0.156,0.164
6.25,0.156,0.165
6.5,0.157,0.165
6.75,0.158,0.166
7,0.158,0.167
7.25,0.159,0.168
7.5,0.16,0.169
7.75,0.162,0.171
8,0.163,0.172
8.25,0.164,0.173
8.5,0.166,0.175
8.75,0.167,0.177
9,0.169,0.178
9.25,0.171,0.18
9.5,0.172,0.183
9.75,0.174,0.185
10,0.177,0.188
10.25,0.179,0.191
10.5,0.181,0.193
10.75,0.183,0.196
11,0.186,0.199
11.25,0.189,0.202
11.5,0.192,0.205
11.75,0.194,0.209
12,0.197,0.213
12.25,0.199,0.215
12.5,0.202,0.219
12.75,0.204,0.222
13,0.207,0.222
13.25,0.21,0.226
13.5,0.212,0.23
13.75,0.216,0.233
14,0.219,0.237
14.25,0.222,0.239
14.5,0.225,0.24
14.75,0.228,0.243
15,0.23,0.246
15.25,0.233,0.248
15.5,0.236,0.25
15.75,0.239,0.253
16,0.241,0.254
16.25,0.244,0.256
16.5,0.246,0.258
16.75,0.247,0.259
17,0.25,0.258
17.25,0.253,0.262
17.5,0.256,0.264
17.75,0.258,0.265
18,0.26,0.267
18.25,0.262,0.268
18.5,0.265,0.27
18.75,0.267,0.271
19,0.268,0.272
19.25,0.271,0.273
19.5,0.273,0.274
19.75,0.275,0.275
20,0.277,0.275
20.25,0.279,0.277
20.5,0.282,0.279
20.75,0.284,0.279
21,0.285,0.281
21.25,0.287,0.281
21.5,0.289,0.282
21.75,0.292,0.283
22,0.293,0.283
22.25,0.295,0.285
22.5,0.297,0.285
22.75,0.3,0.285
23,0.301,0.287
23.25,0.303,0.288
23.5,0.305,0.288
23.75,0.307,0.289
24,0.309,0.289
24.25,0.311,0.29
24.5,0.313,0.29
24.75,0.315,0.291
25,0.317,0.293
25.25,0.319,0.293
25.5,0.321,0.294
25.75,0.323,0.295
26,0.325,0.295
26.25,0.327,0.296
26.5,0.33,0.296
26.75,0.331,0.297
27,0.334,0.297
27.25,0.335,0.298
27.5,0.337,0.299
27.75,0.339,0.299
28,0.341,0.3
28.25,0.343,0.3
28.5,0.345,0.3
28.75,0.347,0.301
29,0.349,0.302
29.25,0.35,0.303
29.5,0.352,0.304
29.75,0.354,0.304
30,0.355,0.305
30.25,0.357,0.305
30.5,0.359,0.306
30.75,0.361,0.306
31,0.363,0.306
31.25,0.365,0.307
31.5,0.366,0.307
31.75,0.368,0.308
32,0.37,0.308
32.25,0.371,0.309
32.5,0.373,0.31
32.75,0.375,0.31
33,0.377,0.31
33.25,0.378,0.31
33.5,0.38,0.311
33.75,0.382,0.311
34,0.383,0.312
34.25,0.385,0.312
34.5,0.386,0.313
34.75,0.388,0.313
35,0.39,0.314
35.25,0.391,0.314
35.5,0.393,0.315
35.75,0.394,0.315
36,0.396,0.315
36.25,0.398,0.316
36.5,0.399,0.316
36.75,0.401,0.317
37,0.403,0.317
37.25,0.404,0.317
37.5,0.405,0.318
37.75,0.407,0.318
38,0.409,0.319
38.25,0.41,0.319
38.5,0.412,0.32
38.75,0.413,0.32
39,0.415,0.32
39.25,0.416,0.321
39.5,0.418,0.321
39.75,0.419,0.321
40,0.42,0.322
40.25,0.422,0.322
40.5,0.423,0.322
40.75,0.425,0.322
41,0.426,0.323
41.25,0.427,0.323
41.5,0.429,0.324
41.75,0.43,0.324
42,0.431,0.324
42.25,0.433,0.325
42.5,0.434,0.325
42.75,0.435,0.325
43,0.437,0.325
43.25,0.439,0.326
43.5,0.44,0.326
43.75,0.441,0.327
44,0.442,0.327
44.25,0.444,0.327
44.5,0.445,0.327
44.75,0.446,0.327
45,0.447,0.328
45.25,0.449,0.328
45.5,0.45,0.328
45.75,0.451,0.329
46,0.453,0.329
46.25,0.454,0.329
46.5,0.455,0.329
46.75,0.456,0.329
47,0.457,0.33
47.25,0.459,0.33
