time,replicate,AO,LP,LB
0,A5,0,0.157,0
0.25,A5,0,0.157,0
0.5,A5,0,0.157,0
0.75,A5,0,0.157,0
1,A5,0,0.157,0
1.25,A5,0,0.157,0
1.5,A5,0,0.156,0
1.75,A5,0,0.156,0
2,A5,0,0.157,0
2.25,A5,0,0.157,0
2.5,A5,0,0.157,0
2.75,A5,0,0.157,0
3,A5,0,0.157,0
3.25,A5,0,0.157,0
3.5,A5,0,0.157,0
3.75,A5,0,0.157,0
4,A5,0,0.157,0
4.25,A5,0,0.157,0
4.5,A5,0,0.157,0
4.75,A5,0,0.158,0
5,A5,0,0.158,0
5.25,A5,0,0.158,0
5.5,A5,0,0.158,0
5.75,A5,0,0.159,0
6,A5,0,0.159,0
6.25,A5,0,0.159,0
6.5,A5,0,0.16,0
6.75,A5,0,0.16,0
7,A5,0,0.161,0
7.25,A5,0,0.161,0
7.5,A5,0,0.162,0
7.75,A5,0,0.163,0
8,A5,0,0.164,0
8.25,A5,0,0.165,0
8.5,A5,0,0.166,0
8.75,A5,0,0.167,0
9,A5,0,0.169,0
9.25,A5,0,0.17,0
9.5,A5,0,0.172,0
9.75,A5,0,0.174,0
10,A5,0,0.176,0
10.25,A5,0,0.178,0
10.5,A5,0,0.18,0
10.75,A5,0,0.183,0
11,A5,0,0.185,0
11.25,A5,0,0.188,0
11.5,A5,0,0.191,0
11.75,A5,0,0.194,0
12,A5,0,0.197,0
12.25,A5,0,0.2,0
12.5,A5,0,0.203,0
12.75,A5,0,0.206,0
13,A5,0,0.21,0
13.25,A5,0,0.213,0
13.5,A5,0,0.217,0
13.75,A5,0,0.221,0
14,A5,0,0.225,0
14.25,A5,0,0.227,0
14.5,A5,0,0.231,0
14.75,A5,0,0.234,0
15,A5,0,0.236,0
15.25,A5,0,0.24,0
15.5,A5,0,0.244,0
15.75,A5,0,0.247,0
16,A5,0,0.252,0
16.25,A5,0,0.256,0
16.5,A5,0,0.259,0
16.75,A5,0,0.262,0
17,A5,0,0.266,0
17.25,A5,0,0.27,0
17.5,A5,0,0.273,0
17.75,A5,0,0.276,0
18,A5,0,0.28,0
18.25,A5,0,0.283,0
18.5,A5,0,0.287,0
18.75,A5,0,0.289,0
19,A5,0,0.293,0
19.25,A5,0,0.296,0
19.5,A5,0,0.299,0
19.75,A5,0,0.301,0
20,A5,0,0.305,0
20.25,A5,0,0.307,0
20.5,A5,0,0.309,0
20.75,A5,0,0.312,0
21,A5,0,0.314,0
21.25,A5,0,0.317,0
21.5,A5,0,0.32,0
21.75,A5,0,0.322,0
22,A5,0,0.325,0
22.25,A5,0,0.327,0
22.5,A5,0,0.33,0
22.75,A5,0,0.333,0
23,A5,0,0.336,0
23.25,A5,0,0.338,0
23.5,A5,0,0.341,0
23.75,A5,0,0.344,0
24,A5,0,0.347,0
24.25,A5,0,0.35,0
24.5,A5,0,0.352,0
24.75,A5,0,0.354,0
25,A5,0,0.357,0
