time,LP
2,0.157
2.25,0.157
2.5,0.157
2.75,0.157
3,0.157
3.25,0.157
3.5,0.157
3.75,0.157
4,0.157
4.25,0.157
4.5,0.157
4.75,0.158
5,0.158
5.25,0.158
5.5,0.158
5.75,0.159
6,0.159
6.25,0.159
6.5,0.16
6.75,0.16
7,0.161
7.25,0.161
7.5,0.162
7.75,0.163
8,0.164
8.25,0.165
8.5,0.166
8.75,0.167
9,0.169
9.25,0.17
9.5,0.172
9.75,0.174
10,0.176
10.25,0.178
10.5,0.18
10.75,0.183
11,0.185
11.25,0.188
11.5,0.191
11.75,0.194
12,0.197
12.25,0.2
12.5,0.203
12.75,0.206
13,0.21
13.25,0.213
13.5,0.217
13.75,0.221
14,0.225
14.25,0.227
14.5,0.231
14.75,0.234
15,0.236
15.25,0.24
15.5,0.244
15.75,0.247
16,0.252
16.25,0.256
16.5,0.259
16.75,0.262
17,0.266
17.25,0.27
17.5,0.273
17.75,0.276
18,0.28
18.25,0.283
18.5,0.287
18.75,0.289
19,0.293
19.25,0.296
19.5,0.299
19.75,0.301
20,0.305
20.25,0.307
20.5,0.309
20.75,0.312
21,0.314
21.25,0.317
21.5,0.32
21.75,0.322
22,0.325
22.25,0.327
22.5,0.33
22.75,0.333
23,0.336
23.25,0.338
23.5,0.341
23.75,0.344
24,0.347
24.25,0.35
24.5,0.352
24.75,0.354
25,0.357
25.25,0.361
25.5,0.363
25.75,0.366
26,0.369
26.25,0.372
26.5,0.374
26.75,0.376
27,0.379
27.25,0.382
27.5,0.384
27.75,0.386
28,0.389
28.25,0.391
28.5,0.394
28.75,0.396
29,0.399
29.25,0.401
29.5,0.403
29.75,0.406
30,0.408
30.25,0.41
30.5,0.413
30.75,0.415
31,0.418
31.25,0.42
31.5,0.422
31.75,0.424
32,0.427
32.25,0.429
32.5,0.432
32.75,0.434
33,0.436
33.25,0.439
33.5,0.44
33.75,0.443
34,0.446
34.25,0.447
34.5,0.449
34.75,0.451
35,0.453
35.25,0.456
35.5,0.458
35.75,0.46
36,0.463
36.25,0.465
36.5,0.467
36.75,0.469
37,0.471
37.25,0.473
37.5,0.474
37.75,0.477
38,0.479
38.25,0.481
38.5,0.483
38.75,0.485
39,0.487
39.25,0.489
39.5,0.491
39.75,0.493
40,0.495
40.25,0.497
40.5,0.499
40.75,0.501
41,0.502
41.25,0.504
41.5,0.506
41.75,0.508
42,0.51
42.25,0.512
42.5,0.514
42.75,0.515
43,0.517
43.25,0.519
43.5,0.521
43.75,0.522
44,0.524
44.25,0.526
44.5,0.527
44.75,0.529
45,0.531
45.25,0.533
45.5,0.534
45.75,0.536
46,0.538
46.25,0.539
46.5,0.541
46.75,0.543
47,0.544
47.25,0.545
47.5,0.547
47.75,0.549
48,0.55
48.25,0.552
48.5,0.553
48.75,0.555
49,0.556
49.25,0.558
49.5,0.56
49.75,0.561
50,0.563
50.25,0.564
50.5,0.566
50.75,0.567
51,0.569
51.25,0.57
51.5,0.572
51.75,0.573
52,0.574
52.25,0.576
52.5,0.577
52.75,0.579
53,0.58
53.25,0.581
53.5,0.582
53.75,0.584
54,0.585
54.25,0.587
54.5,0.588
54.75,0.59
55,0.591
55.25,0.593
55.5,0.594
55.75,0.595
56,0.595
56.25,0.597
56.5,0.598
56.75,0.6
57,0.601
57.25,0.603
57.5,0.603
57.75,0.605
58,0.606
58.25,0.607
58.5,0.608
58.75,0.61
59,0.611
59.25,0.612
59.5,0.613
59.75,0.615
60,0.616
60.25,0.617
60.5,0.618
60.75,0.62
61,0.62
61.25,0.621
61.5,0.623
61.75,0.624
62,0.625
62.25,0.626
62.5,0.627
62.75,0.628
63,0.629
63.25,0.63
63.5,0.631
63.75,0.633
64,0.634
64.25,0.635
