time,AO,LB,LP
2,0,0,0.154
2.25,0,0,0.154
2.5,0,0,0.154
2.75,0,0,0.154
3,0,0,0.154
3.25,0,0,0.154
3.5,0,0,0.154
3.75,0,0,0.154
4,0,0,0.154
4.25,0,0,0.154
4.5,0,0,0.154
4.75,0,0,0.155
5,0,0,0.155
5.25,0,0,0.155
5.5,0,0,0.155
5.75,0,0,0.156
6,0,0,0.156
6.25,0,0,0.157
6.5,0,0,0.157
6.75,0,0,0.158
7,0,0,0.159
7.25,0,0,0.16
7.5,0,0,0.161
7.75,0,0,0.162
8,0,0,0.164
8.25,0,0,0.165
8.5,0,0,0.166
8.75,0,0,0.168
9,0,0,0.17
9.25,0,0,0.172
9.5,0,0,0.174
9.75,0,0,0.177
10,0,0,0.179
10.25,0,0,0.182
10.5,0,0,0.184
10.75,0,0,0.187
11,0,0,0.191
11.25,0,0,0.194
11.5,0,0,0.198
11.75,0,0,0.201
12,0,0,0.205
12.25,0,0,0.209
12.5,0,0,0.213
12.75,0,0,0.216
13,0,0,0.22
13.25,0,0,0.224
13.5,0,0,0.228
13.75,0,0,0.233
14,0,0,0.236
14.25,0,0,0.241
14.5,0,0,0.245
14.75,0,0,0.249
15,0,0,0.253
15.25,0,0,0.257
15.5,0,0,0.261
15.75,0,0,0.266
16,0,0,0.269
16.25,0,0,0.273
16.5,0,0,0.277
16.75,0,0,0.281
17,0,0,0.285
17.25,0,0,0.288
17.5,0,0,0.292
17.75,0,0,0.296
18,0,0,0.3
18.25,0,0,0.303
18.5,0,0,0.307
18.75,0,0,0.31
19,0,0,0.314
19.25,0,0,0.317
19.5,0,0,0.321
19.75,0,0,0.324
20,0,0,0.327
20.25,0,0,0.33
20.5,0,0,0.334
20.75,0,0,0.337
21,0,0,0.34
21.25,0,0,0.343
21.5,0,0,0.346
21.75,0,0,0.35
22,0,0,0.352
22.25,0,0,0.355
22.5,0,0,0.358
22.75,0,0,0.362
23,0,0,0.364
23.25,0,0,0.367
23.5,0,0,0.37
23.75,0,0,0.373
24,0,0,0.376
24.25,0,0,0.379
24.5,0,0,0.381
24.75,0,0,0.384
25,0,0,0.387
25.25,0,0,0.39
25.5,0,0,0.393
25.75,0,0,0.395
26,0,0,0.399
26.25,0,0,0.402
26.5,0,0,0.404
26.75,0,0,0.407
27,0,0,0.41
27.25,0,0,0.413
27.5,0,0,0.415
27.75,0,0,0.418
28,0,0,0.421
28.25,0,0,0.424
28.5,0,0,0.427
28.75,0,0,0.43
29,0,0,0.433
29.25,0,0,0.435
29.5,0,0,0.438
29.75,0,0,0.441
30,0,0,0.443
30.25,0,0,0.446
30.5,0,0,0.449
30.75,0,0,0.451
31,0,0,0.454
31.25,0,0,0.457
31.5,0,0,0.459
31.75,0,0,0.462
32,0,0,0.465
32.25,0,0,0.467
32.5,0,0,0.47
32.75,0,0,0.473
33,0,0,0.475
33.25,0,0,0.478
33.5,0,0,0.48
33.75,0,0,0.483
34,0,0,0.486
34.25,0,0,0.488
34.5,0,0,0.49
34.75,0,0,0.493
35,0,0,0.495
35.25,0,0,0.498
35.5,0,0,0.5
35.75,0,0,0.502
36,0,0,0.505
36.25,0,0,0.507
36.5,0,0,0.51
36.75,0,0,0.512
37,0,0,0.515
37.25,0,0,0.517
37.5,0,0,0.519
37.75,0,0,0.521
38,0,0,0.524
38.25,0,0,0.526
38.5,0,0,0.528
38.75,0,0,0.53
39,0,0,0.532
39.25,0,0,0.535
39.5,0,0,0.537
39.75,0,0,0.539
40,0,0,0.542
40.25,0,0,0.544
40.5,0,0,0.546
40.75,0,0,0.548
41,0,0,0.55
41.25,0,0,0.552
41.5,0,0,0.555
41.75,0,0,0.556
42,0,0,0.559
42.25,0,0,0.561
42.5,0,0,0.563
42.75,0,0,0.565
43,0,0,0.567
43.25,0,0,0.569
43.5,0,0,0.571
43.75,0,0,0.573
44,0,0,0.575
44.25,0,0,0.577
44.5,0,0,0.579
44.75,0,0,0.58
45,0,0,0.582
45.25,0,0,0.584
45.5,0,0,0.586
45.75,0,0,0.588
46,0,0,0.59
46.25,0,0,0.591
46.5,0,0,0.594
46.75,0,0,0.595
47,0,0,0.597
47.25,0,0,0.599
47.5,0,0,0.601
47.75,0,0,0.603
48,0,0,0.604
48.25,0,0,0.606
48.5,0,0,0.607
48.75,0,0,0.609
49,0,0,0.611
49.25,0,0,0.613
49.5,0,0,0.614
49.75,0,0,0.616
50,0,0,0.618
50.25,0,0,0.619
50.5,0,0,0.621
50.75,0,0,0.622
51,0,0,0.624
51.25,0,0,0.625
51.5,0,0,0.627
51.75,0,0,0.629
52,0,0,0.63
52.25,0,0,0.632
52.5,0,0,0.633
52.75,0,0,0.635
53,0,0,0.637
53.25,0,0,0.638
53.5,0,0,0.639
53.75,0,0,0.641
54,0,0,0.643
54.25,0,0,0.644
54.5,0,0,0.645
54.75,0,0,0.647
55,0,0,0.648
55.25,0,0,0.649
55.5,0,0,0.651
55.75,0,0,0.652
56,0,0,0.654
56.25,0,0,0.655
56.5,0,0,0.657
56.75,0,0,0.658
57,0,0,0.659
57.25,0,0,0.661
57.5,0,0,0.662
57.75,0,0,0.663
58,0,0,0.664
58.25,0,0,0.666
58.5,0,0,0.667
58.75,0,0,0.668
59,0,0,0.67
59.25,0,0,0.671
59.5,0,0,0.672
59.75,0,0,0.674
60,0,0,0.675
60.25,0,0,0.676
60.5,0,0,0.678
60.75,0,0,0.679
61,0,0,0.68
61.25,0,0,0.682
61.5,0,0,0.683
61.75,0,0,0.684
62,0,0,0.685
62.25,0,0,0.686
62.5,0,0,0.688
62.75,0,0,0.689
63,0,0,0.69
63.25,0,0,0.691
63.5,0,0,0.692
63.75,0,0,0.694
64,0,0,0.695
64.25,0,0,0.696
64.5,0,0,0.698
64.75,0,0,0.699
65,0,0,0.7
65.25,0,0,0.701
65.5,0,0,0.702
65.75,0,0,0.703
66,0,0,0.705
66.25,0,0,0.706
66.5,0,0,0.707
66.75,0,0,0.708
67,0,0,0.709
67.25,0,0,0.71
67.5,0,0,0.712
67.75,0,0,0.713
68,0,0,0.714
68.25,0,0,0.715
68.5,0,0,0.716
68.75,0,0,0.717
69,0,0,0.719
69.25,0,0,0.719
69.5,0,0,0.721
69.75,0,0,0.721
70,0,0,0.723
70.25,0,0,0.724
70.5,0,0,0.725
70.75,0,0,0.726
71,0,0,0.727
71.25,0,0,0.728
71.5,0,0,0.729
71.75,0,0,0.73
72,0,0,0.731
72.25,0,0,0.732
72.5,0,0,0.733
72.75,0,0,0.734
73,0,0,0.735
73.25,0,0,0.737
73.5,0,0,0.737
73.75,0,0,0.738
74,0,0,0.739
74.25,0,0,0.74
74.5,0,0,0.742
74.75,0,0,0.742
75,0,0,0.743
75.25,0,0,0.744
75.5,0,0,0.745
75.75,0,0,0.746
76,0,0,0.747
76.25,0,0,0.748
76.5,0,0,0.749
